seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
51,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224,0.0342
51,7,5,5,333,353,2,5,210,56,3198,2988,2990,10,6,16,6,8,14,0.0275,0.0354
51,8,5,5,334,342,2,2,213,63,3114,2901,2904,7,12,19,8,3,11,0.0262,0.0484
51,9,5,5,330,335,2,4,146,85,3464,3318,3310,16,12,28,8,4,12,0.0366,0.0589
51,10,5,5,309,328,2,9,181,86,3342,3161,3164,6,15,21,6,4,10,0.0369,0.0672
51,11,5,5,307,313,2,7,164,47,3008,2844,2847,14,9,23,10,0,10,0.0426,0.0705
51,12,5,5,282,308,2,12,59,36,2346,2287,2287,5,8,13,12,16,28,0.0331,0.0648
51,13,5,5,313,327,2,9,49,27,1690,1641,1639,4,6,10,6,0,6,0.0308,0.0616
51,14,5,5,316,325,2,2,172,95,3106,2934,2934,11,8,19,15,21,36,0.0248,0.0679
51,15,5,5,330,340,2,7,124,59,3038,2914,2918,12,11,23,8,0,8,0.0303,0.0738
51,16,5,5,312,326,2,9,169,54,3212,3043,3041,15,10,25,13,9,22,0.0329,0.0751
51,17,5,5,289,303,2,6,155,55,3468,3313,3305,14,17,31,14,0,14,0.0332,0.0903
51,18,5,5,315,333,2,1,124,55,2942,2818,2824,12,7,19,11,9,20,0.0342,0.0972
51,19,5,5,309,316,2,10,68,42,2260,2192,2195,3,5,8,5,6,11,0.0317,0.0911
51,20,5,5,260,273,2,11,59,59,1708,1649,1647,12,8,20,13,11,24,0.0304,0.0872
51,21,5,5,309,328,2,4,153,57,2980,2827,2823,14,9,23,11,0,11,0.0345,0.0943
51,22,5,5,287,306,2,12,137,63,3042,2905,2908,16,10,26,16,11,27,0.0332,0.0918
51,23,5,5,318,330,2,6,126,78,3154,3028,3031,8,14,22,13,4,17,0.028,0.1027
51,24,5,5,328,342,2,7,131,41,3444,3313,3307,13,9,22,6,18,24,0.0368,0.1038
51,25,5,5,327,340,2,8,159,60,3078,2919,2927,13,7,20,4,7,11,0.0487,0.1026
51,26,5,5,302,303,2,1,66,38,2256,2190,2189,12,9,21,15,0,15,0.0448,0.1133
51,27,5,5,239,265,2,13,43,20,1724,1681,1676,5,10,15,21,8,29,0.0239,0.1101
