seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
49,7,4,0,0,0,0,0,0,0,0.0133,0.0226,0,0,0,0,0,0,0,0,0,-25,-20,-24,-26,-10,-18,-12
49,7,5,0,0,0,0,0,1,2,0.0133,0.0253,0,0,3,0,8,3,182,156,190,0,0,0,3,0,0,0
49,7,6,23,15,1,0,4,1,2,0.016,0.0279,0,0,3,0,6,1,180,185,186,0,0,2,1,0,0,0
49,7,7,13,33,0,0,3,2,0,0.016,0.0279,0,0,2,0,7,3,143,124,150,1,0,0,1,0,0,0
49,7,8,26,26,0,0,4,0,1,0.0173,0.0293,1,0,1,1,7,1,105,123,112,0,0,0,0,0,1,0
49,7,9,20,20,0,0,4,1,0,0.0173,0.0293,0,0,1,0,2,2,142,144,144,1,0,0,0,0,0,0
49,7,10,20,20,0,0,5,0,1,0.0173,0.0306,1,0,1,1,6,5,200,176,206,0,0,0,1,0,0,0
49,7,11,31,31,0,0,4,2,1,0.0186,0.0319,0,0,3,0,16,9,174,185,190,1,0,0,0,1,1,0
49,7,12,30,12,0,0,4,1,1,0.0199,0.0319,0,0,2,0,6,4,210,204,216,1,0,0,0,0,1,0
49,7,13,19,29,0,0,4,0,0,0.0213,0.0332,0,0,0,0,13,8,219,216,232,0,0,0,0,0,0,0
49,7,14,30,38,0,0,5,2,3,0.0226,0.0346,0,0,5,0,26,14,430,413,456,1,0,0,1,1,1,1
49,7,15,17,17,0,0,3,0,2,0.0239,0.0386,0,0,2,0,20,2,238,255,258,0,1,0,0,0,0,1
49,7,16,28,22,0,0,4,0,0,0.0226,0.0399,1,0,0,1,22,12,160,176,182,0,0,0,0,0,0,0
49,7,17,22,28,0,0,5,0,1,0.0226,0.0399,0,0,1,0,9,10,159,152,168,0,1,0,0,0,0,0
49,7,18,29,17,0,0,3,0,0,0.0226,0.0412,0,0,0,0,13,7,175,181,188,0,0,0,0,0,0,0
49,7,19,19,24,1,1,5,0,0,0.0223,0.0394,0,10,0,10,2,6,68,81,70,0,0,0,0,0,0,0
49,7,20,0,0,0,0,0,0,0,0.0223,0.0394,0,0,0,0,1,6,117,111,118,0,0,0,0,0,0,0
49,7,21,0,0,0,0,0,1,0,0.0237,0.0394,0,0,1,0,0,2,66,78,66,0,0,1,0,0,0,0
49,7,22,0,0,0,0,0,0,0,0.0237,0.0394,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0
49,7,23,0,0,0,0,0,0,0,0.0237,0.0394,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
49,8,0,0,0,0,0,0,0,0,0.0237,0.0394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,8,1,0,0,0,0,0,0,0,0.0237,0.0394,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
49,8,2,0,0,0,0,0,0,0,0.0237,0.0394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,8,3,0,0,0,0,0,0,0,0.0237,0.0394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,8,4,0,0,0,0,0,0,1,0.0237,0.0407,0,0,1,0,0,0,20,17,20,0,0,0,0,1,0,0
49,8,5,0,0,0,0,0,0,1,0.0237,0.0407,0,0,1,0,11,19,249,213,260,1,0,0,0,0,0,0
49,8,6,14,14,1,0,3,0,0,0.0236,0.0419,0,2,0,2,25,21,173,178,198,0,0,0,0,0,0,0
49,8,7,20,20,0,0,5,0,0,0.0197,0.0419,3,0,0,3,19,4,121,131,140,0,0,0,0,0,0,0
49,8,8,10,30,0,0,4,1,1,0.0183,0.0433,2,0,2,2,13,1,129,129,142,0,0,0,1,0,1,0
49,8,9,28,26,0,0,4,0,1,0.017,0.0446,1,0,1,1,15,4,145,147,160,0,0,0,0,0,1,0
49,8,10,31,33,0,0,4,1,0,0.017,0.0446,0,0,1,0,4,10,126,120,130,0,1,0,0,0,0,0
49,8,11,33,14,0,0,3,1,1,0.0197,0.0459,0,0,2,0,3,3,199,198,202,0,0,1,0,0,1,0
49,8,12,24,35,0,0,5,2,1,0.0223,0.0472,1,0,3,1,12,1,214,218,226,2,0,0,0,1,0,0
49,8,13,11,19,0,0,3,0,2,0.0197,0.0485,1,0,2,1,15,5,315,290,330,0,0,1,0,0,1,0
49,8,14,34,19,0,0,3,1,2,0.021,0.0524,0,0,3,0,21,5,361,332,382,1,0,1,0,0,1,0
49,8,15,19,26,0,0,4,0,0,0.0197,0.0524,1,0,0,1,9,16,191,234,200,0,0,0,0,0,0,0
49,8,16,12,20,0,0,3,0,0,0.0183,0.0524,1,0,0,1,8,12,202,198,210,0,0,0,0,0,0,0
49,8,17,27,9,0,0,5,0,1,0.0183,0.0524,0,0,1,0,4,8,170,178,174,0,0,1,0,0,0,0
49,8,18,10,20,0,0,3,0,0,0.0183,0.0537,0,0,0,0,2,1,162,166,164,0,0,0,0,0,0,0
49,8,19,18,10,1,2,6,0,0,0.0183,0.0511,0,2,0,2,0,0,78,86,78,0,0,0,0,0,0,0
49,8,20,0,0,0,0,0,0,0,0.0183,0.0511,0,0,0,0,0,0,88,92,88,0,0,0,0,0,0,0
49,8,21,0,0,0,0,0,1,0,0.0197,0.0511,0,0,1,0,0,0,40,51,40,0,0,0,0,0,1,0
49,8,22,0,0,0,0,0,0,0,0.0197,0.0511,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
49,8,23,0,0,0,0,0,0,0,0.0197,0.0511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,9,0,0,0,0,0,0,0,0,0.0197,0.0511,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,9,1,0,0,0,0,0,0,0,0.0197,0.0511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,9,2,0,0,0,0,0,0,0,0.0197,0.0511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,9,3,0,0,0,0,0,0,0,0.0197,0.0511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,9,4,0,0,0,0,0,1,0,0.021,0.0511,0,0,1,0,0,1,28,23,28,1,0,0,0,0,0,0
49,9,5,0,0,0,0,0,1,1,0.0223,0.0524,0,0,2,0,10,1,168,149,178,0,0,1,1,0,0,0
49,9,6,19,20,1,0,3,0,1,0.0223,0.0524,0,0,1,0,45,2,167,156,212,1,0,0,0,0,0,0
49,9,7,16,35,0,0,6,0,0,0.021,0.0537,1,0,0,1,28,1,138,143,166,0,0,0,0,0,0,0
49,9,8,26,17,0,0,4,0,0,0.021,0.0537,1,0,0,1,8,1,120,129,128,0,0,0,0,0,0,0
49,9,9,19,25,0,0,4,0,0,0.0197,0.0537,0,0,0,0,10,1,112,107,122,0,0,0,0,0,0,0
49,9,10,16,19,0,0,5,2,0,0.021,0.0537,1,0,2,1,13,4,193,183,206,1,0,0,1,0,0,0
49,9,11,24,24,0,0,4,1,0,0.021,0.0537,1,0,1,1,3,0,175,181,178,0,0,1,0,0,0,0
49,9,12,22,22,0,0,4,1,0,0.0223,0.0537,0,0,1,0,19,4,221,212,240,0,0,0,1,0,0,0
49,9,13,25,10,0,0,3,1,2,0.0236,0.0564,0,0,3,0,13,6,271,256,284,1,0,1,1,0,0,0
49,9,14,15,23,0,0,5,2,1,0.0236,0.0564,2,0,3,2,19,2,351,329,370,0,1,0,1,0,1,0
