seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
43,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0239,0.0305
43,7,5,5,292,317,2,5,173,71,3014,2841,2841,5,14,19,6,9,15,0.0225,0.0423
43,8,5,5,331,335,2,2,154,122,3138,2984,2981,10,8,18,3,9,12,0.0301,0.0497
43,9,5,5,297,303,2,4,159,75,3148,2989,2990,12,9,21,8,2,10,0.0367,0.0551
43,10,5,5,270,288,2,6,165,122,3470,3305,3310,12,11,23,12,0,12,0.037,0.0635
43,11,5,5,332,331,1,0,116,68,3178,3062,3063,11,14,25,9,4,13,0.0395,0.0816
43,12,5,5,301,302,2,7,84,26,2370,2286,2287,7,4,11,10,6,16,0.0356,0.0777
43,13,5,5,270,291,2,4,35,35,1692,1657,1651,6,5,11,13,4,17,0.0264,0.0791
43,14,5,5,303,315,2,9,158,55,3030,2872,2872,8,9,17,7,3,10,0.0279,0.0797
43,15,5,5,294,299,2,2,160,58,2938,2778,2784,8,9,17,4,4,8,0.0331,0.0887
43,16,5,5,286,285,2,2,225,36,3262,3037,3032,11,15,26,7,9,16,0.0381,0.105
43,17,5,5,295,326,2,12,180,34,3470,3290,3289,7,14,21,7,4,11,0.0385,0.1088
43,18,5,5,293,306,2,11,228,45,3142,2914,2914,5,9,14,5,0,5,0.039,0.1077
43,19,5,5,251,265,2,11,68,56,2326,2258,2267,16,7,23,11,12,23,0.0457,0.1022
43,20,5,5,274,297,2,10,16,21,1720,1704,1699,7,2,9,15,22,37,0.0344,0.0899
43,21,5,5,288,302,2,8,204,93,3236,3032,3031,13,9,22,6,8,14,0.0423,0.0913
43,22,5,5,307,330,2,9,167,54,3076,2909,2907,14,9,23,7,2,9,0.0521,0.0908
43,23,5,5,288,312,2,8,180,62,3268,3088,3090,17,8,25,8,17,25,0.0633,0.0897
43,24,5,5,320,327,2,3,233,62,3372,3139,3140,17,8,25,9,0,9,0.0742,0.0967
43,25,5,5,287,302,2,9,200,95,3304,3104,3101,9,11,20,17,8,25,0.0637,0.0995
43,26,5,5,264,273,2,3,69,46,2308,2239,2242,6,8,14,21,3,24,0.0438,0.1061
43,27,5,5,267,266,1,0,48,48,1610,1562,1558,5,7,12,13,9,22,0.0328,0.114
