seed,exp_name,alpha,duration_hours,total_runtime_s,service_level,avg_bike_km_driven,starvations,congestions,total_trips,bike_departures,bike_arrivals,total_depot_deliveries,total_depot_visits,total_fixed_on_site,total_picked_up_to_depot,total_depot_fixes,total_bikes_redistributed_from_depot,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,broken_bikes_end_onsite,broken_bikes_end_depot,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
42,R6_BreadthDepth_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9304,399.3497,2987,1194,60092,57105,57104,171,41,201,171,171,163,5996,6346,0.025,0.0329,0.9421,0.0247,0.1107,0.8646,19,85,203,224,201,163
43,R6_BreadthDepth_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9278,397.7443,2853,1485,60072,57219,57222,147,41,203,147,147,148,6094,6386,0.0235,0.047,0.9295,0.0248,0.1123,0.8629,19,86,204,200,203,148
44,R6_BreadthDepth_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9241,397.5492,3278,1269,59914,56636,56637,155,41,218,155,155,155,6080,6390,0.0172,0.0385,0.9443,0.0314,0.1296,0.839,24,99,232,219,218,155
45,R6_BreadthDepth_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9242,395.8724,3192,1317,59498,56306,56308,160,42,225,160,160,156,5966,6284,0.0303,0.0421,0.9276,0.0208,0.1146,0.8646,16,88,218,203,225,156
46,R6_BreadthDepth_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9294,396.6058,3008,1171,59172,56164,56162,141,40,194,139,141,131,6076,6357,0.0185,0.0278,0.9536,0.0143,0.1604,0.8253,11,123,191,233,194,131
47,R6_BreadthDepth_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9349,397.3826,2782,1086,59398,56616,56616,162,42,178,162,162,170,6068,6400,0.0105,0.0553,0.9342,0.0195,0.1159,0.8646,15,89,186,210,178,170
48,R6_BreadthDepth_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9274,397.1111,3040,1297,59704,56664,56668,159,41,199,159,159,164,6116,6447,0.0119,0.045,0.943,0.0262,0.1258,0.848,20,96,211,218,199,164
49,R6_BreadthDepth_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9309,396.7986,2747,1341,59148,56401,56397,147,41,174,147,147,148,6199,6496,0.013,0.0417,0.9452,0.0352,0.1186,0.8462,27,91,191,208,174,148
50,R6_BreadthDepth_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9261,396.2566,3079,1310,59412,56333,56329,171,38,220,171,171,163,5999,6340,0.0225,0.0436,0.9339,0.0196,0.132,0.8484,15,101,222,236,220,163
51,R6_BreadthDepth_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9287,397.9333,3036,1210,59574,56538,56537,171,41,221,168,171,156,6126,6461,0.0224,0.0342,0.9434,0.0273,0.1315,0.8411,21,101,226,234,221,156
