seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_exponential_starvation_penalty,phi_exponential_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_global_depot_backlog,phi_demand_weighted_depot_backlog,phi_demand_weighted_onsite_backlog,phi_fleet_broken_fraction,phi_depot_idle_fraction,phi_recoverable_starvation,phi_maintenance_urgency,phi_rush_hour_onsite_backlog,phi_fleet_failure_risk,phi_fleet_health_deficit,phi_fleet_low_health_fraction,phi_depot_bound_health_deficit,phi_onsite_health_deficit,phi_maintenance_restoration_value,phi_onsite_shortage_pressure,phi_depot_shortage_pressure,phi_current_station_onsite_shortage_pressure,phi_current_station_depot_shortage_pressure,phi_broken_cargo_distance_pressure,phi_late_broken_cargo_pressure,phi_repaired_idle_away_pressure,phi_depot_pipeline_pressure,phi_depot_queue_pickup_opportunity,phi_degradation_demand_exposure,phi_time_remaining_fraction,phi_functional_bikes_time_penalty,phi_reachable_imbalance_fraction,phi_recoverable_imbalance_fraction,phi_imbalance_hotspot_distance,phi_destination_starv_ratio,phi_destination_cong_ratio,phi_destination_onsite_fraction,phi_destination_depot_fraction,phi_destination_travel_penalty,phi_destination_roi_starvation,phi_cur_station_onsite_fraction,phi_cur_station_func_deficit,phi_functional_load_late_pressure,phi_depot_load_late_pressure,phi_non_depot_late_load_pressure,phi_late_depot_return,phi_depot_slack_fraction,phi_can_return_to_depot,phi_depot_return_urgency
46,7,6,1,S33,False,0,20,20,0,0,0,0,0,0,[],3.0,S16,1.49,0,20,20,0.0,,-0.779183,-13.630347,-14.40953,True,False,5,S54,True,0,0.2018,do_nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,6,6,S16,False,0,20,20,0,0,2,0,0,0,[],9.0,S47,6.36,0,20,20,0.0,,-0.803005,-13.740348,-14.543353,True,True,20,S54,True,14,0.8005,do_nothing+onsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,6,21,S47,False,0,20,20,0,0,4,0,0,0,[],15.0,S16,6.36,0,20,20,0.0,,-0.768879,-13.990287,-14.759167,True,True,25,S61,True,22,0.9032,do_nothing+onsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,6,42,S16,False,0,20,20,0,0,0,0,0,0,[],3.0,S35,6.87,0,20,20,0.0,,-0.527509,-14.034118,-14.561627,True,False,10,S54,True,2,0.3776,do_nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,6,52,S35,False,0,20,20,0,0,2,0,0,0,[],9.0,S16,6.87,0,20,20,0.0,,-0.580398,-14.087948,-14.668345,True,True,15,S16,False,13,0.4617,do_nothing+onsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,7,8,S16,False,0,20,20,0,0,0,0,0,0,[],3.0,S40,2.95,0,20,20,0.0,,-0.43076,-13.852135,-14.282895,True,False,10,S54,True,4,0.3751,do_nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,7,14,S40,False,0,20,20,0,0,2,0,0,0,[],9.0,S61,2.69,0,20,20,0.0,,-0.467235,-13.891475,-14.35871,True,True,15,S54,True,13,0.542,do_nothing+onsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,7,26,S61,False,0,20,20,0,0,2,0,0,0,[],9.0,S51,6.56,0,20,20,0.0,,-0.597813,-13.757199,-14.355012,True,True,15,S65,True,13,0.5,do_nothing+onsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,7,41,S51,False,0,20,20,0,0,2,0,0,0,[],9.0,S19,1.21,0,20,20,0.0,,-0.496282,-13.902735,-14.399016,True,True,15,S54,True,13,0.5354,do_nothing+onsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,7,52,S19,False,0,20,20,0,0,2,0,0,0,[],9.0,S12,1.21,0,20,20,0.0,,-0.502348,-13.793964,-14.296313,True,True,15,S54,True,14,0.4588,do_nothing+onsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
