seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
50,6,5,5,0,0,0,0,0,0,26,26,18,0,0,0,0,0,0,0.0118,0.0408
50,7,5,5,301,315,2,7,201,75,3028,2827,2829,10,9,19,6,7,13,0.0171,0.0434
50,8,5,5,304,332,2,8,208,71,3014,2806,2807,14,12,26,5,1,6,0.0292,0.0491
50,9,5,5,294,309,2,8,129,42,3226,3097,3100,13,11,24,8,7,15,0.0359,0.0532
50,10,5,5,288,295,1,0,200,57,3570,3370,3366,15,15,30,19,8,27,0.0303,0.0724
50,11,5,5,336,350,2,17,95,56,2944,2849,2853,9,11,20,3,8,11,0.0386,0.0652
50,12,5,5,240,273,2,13,24,43,2244,2220,2222,7,6,13,15,17,32,0.0278,0.0556
50,13,5,5,255,263,2,9,38,6,1596,1558,1555,6,3,9,7,9,16,0.0265,0.0464
50,14,5,5,303,331,2,8,166,46,3184,3018,3017,10,9,19,7,4,11,0.0293,0.0493
50,15,5,5,316,324,2,7,176,53,3008,2832,2831,13,15,28,10,17,27,0.0329,0.0591
50,16,5,5,310,339,2,9,222,63,3248,3026,3029,14,8,22,9,0,9,0.0399,0.0585
50,17,5,5,283,300,2,10,193,77,3420,3227,3222,12,11,23,15,16,31,0.0356,0.0594
50,18,5,5,299,304,2,8,150,34,3024,2874,2880,14,10,24,8,0,8,0.044,0.0627
50,19,5,5,284,315,2,11,59,32,2352,2293,2292,11,9,20,9,10,19,0.0467,0.0601
50,20,5,5,241,265,2,14,17,15,1626,1609,1606,5,6,11,13,8,21,0.0363,0.0498
50,21,5,5,325,330,2,7,194,41,3154,2960,2963,14,7,21,6,18,24,0.0464,0.0491
50,22,5,5,299,321,2,8,161,79,3060,2899,2896,12,8,20,7,7,14,0.0518,0.0491
50,23,5,5,310,326,2,8,187,71,3166,2979,2983,9,11,20,9,15,24,0.0513,0.0526
50,24,5,5,302,329,2,7,235,73,3446,3211,3211,12,9,21,11,0,11,0.0531,0.0558
50,25,5,5,314,322,1,0,122,38,3094,2972,2969,7,12,19,14,8,22,0.0434,0.071
50,26,5,5,255,282,2,20,64,17,2292,2228,2228,8,13,21,16,7,23,0.0334,0.0615
50,27,5,5,256,273,2,8,55,24,1680,1625,1626,6,4,10,10,20,30,0.0276,0.0553
