seed,exp_name,alpha,duration_hours,total_runtime_s,service_level,avg_bike_km_driven,starvations,congestions,total_trips,bike_departures,bike_arrivals,total_depot_deliveries,total_depot_visits,total_fixed_on_site,total_picked_up_to_depot,total_depot_fixes,total_bikes_redistributed_from_depot,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,broken_bikes_end_onsite,broken_bikes_end_depot,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
42,M3_RepairOpportunityLogistics_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9209,399.1363,3298,1470,60282,56984,56983,78,44,244,78,78,81,6198,6369,0.0302,0.0302,0.9396,0.0234,0.2135,0.763,18,164,239,216,244,81
43,M3_RepairOpportunityLogistics_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9267,396.5237,3089,1315,60062,56973,56973,85,46,200,85,85,82,6140,6313,0.0156,0.0495,0.9349,0.0182,0.2201,0.7617,14,169,203,213,200,82
44,M3_RepairOpportunityLogistics_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9163,396.0281,3472,1503,59410,55938,55940,91,46,222,91,91,80,6095,6282,0.0301,0.0393,0.9306,0.0208,0.2448,0.7344,16,188,216,236,222,80
45,M3_RepairOpportunityLogistics_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9226,395.3654,3263,1343,59520,56257,56260,82,43,228,82,82,73,6069,6234,0.0223,0.0446,0.9332,0.0157,0.205,0.7794,12,157,223,198,228,73
46,M3_RepairOpportunityLogistics_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9238,395.939,3085,1408,58938,55853,55855,99,42,200,99,99,103,6152,6351,0.0237,0.0316,0.9447,0.0222,0.2086,0.7692,17,160,199,232,200,103
47,M3_RepairOpportunityLogistics_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9257,396.5543,3102,1314,59402,56300,56299,68,42,219,68,68,82,6125,6295,0.0237,0.0421,0.9342,0.0247,0.2292,0.7461,19,176,223,219,219,82
48,M3_RepairOpportunityLogistics_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.92,396.3016,3332,1437,59646,56314,56315,85,46,193,85,85,90,6013,6208,0.0146,0.0412,0.9441,0.0275,0.2435,0.7291,21,186,203,236,193,90
49,M3_RepairOpportunityLogistics_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9303,395.8808,3044,1078,59136,56092,56091,75,45,193,75,75,80,6134,6290,0.0131,0.0458,0.9412,0.0261,0.2092,0.7647,20,160,203,206,193,80
50,M3_RepairOpportunityLogistics_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9305,396.3004,3080,1048,59402,56322,56319,79,46,188,79,79,80,6190,6364,0.0118,0.0433,0.9449,0.0195,0.2422,0.7383,15,186,194,227,188,80
51,M3_RepairOpportunityLogistics_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.927,398.3766,3072,1298,59852,56780,56777,91,47,222,91,91,92,6085,6248,0.0146,0.037,0.9484,0.0314,0.2105,0.7582,24,161,235,220,222,92
