seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_exponential_starvation_penalty,phi_exponential_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_global_depot_backlog,phi_demand_weighted_depot_backlog,phi_demand_weighted_onsite_backlog,phi_fleet_broken_fraction,phi_depot_idle_fraction,phi_recoverable_starvation,phi_maintenance_urgency,phi_rush_hour_onsite_backlog,phi_fleet_failure_risk,phi_fleet_health_deficit,phi_fleet_low_health_fraction,phi_depot_bound_health_deficit,phi_onsite_health_deficit,phi_maintenance_restoration_value,phi_onsite_shortage_pressure,phi_depot_shortage_pressure,phi_current_station_onsite_shortage_pressure,phi_current_station_depot_shortage_pressure,phi_broken_cargo_distance_pressure,phi_late_broken_cargo_pressure,phi_repaired_idle_away_pressure,phi_depot_pipeline_pressure,phi_depot_queue_pickup_opportunity,phi_degradation_demand_exposure,phi_time_remaining_fraction,phi_functional_bikes_time_penalty,phi_reachable_imbalance_fraction,phi_recoverable_imbalance_fraction,phi_imbalance_hotspot_distance,phi_destination_starv_ratio,phi_destination_cong_ratio,phi_destination_onsite_fraction,phi_destination_depot_fraction,phi_destination_travel_penalty,phi_destination_roi_starvation,phi_cur_station_onsite_fraction,phi_cur_station_func_deficit,phi_functional_load_late_pressure,phi_depot_load_late_pressure,phi_non_depot_late_load_pressure,phi_late_depot_return,phi_depot_slack_fraction,phi_can_return_to_depot,phi_depot_return_urgency
42,7,6,5,D0,True,14,0,14,0,0,0,0,0,6,"['B738', 'B223', 'B149', 'B517', 'B127', 'B733']",6.0,S43,2.15,20,0,20,0.0,,-0.667951,-6.670928,-7.338879,True,True,5,S43,False,1,0.6884,load_queue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7,6,29,S43,False,20,0,20,20,0,0,0,0,0,"['B730', 'B12', 'B488', 'B42', 'B607', 'B306', 'B374', 'B487', 'B473', 'B300', 'B481', 'B264', 'B684', 'B413', 'B738', 'B223', 'B149', 'B517', 'B127', 'B733']",13.0,S39,4.89,0,0,0,0.0,,-0.520925,-6.636344,-7.157269,False,False,12,S33,True,8,0.9384,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7,6,46,S39,False,0,0,0,0,20,0,0,0,0,"['B619', 'B196', 'B672', 'B673', 'B697', 'B650', 'B50', 'B117', 'B655', 'B414', 'B455', 'B247', 'B532', 'B170', 'B333', 'B19', 'B326', 'B408', 'B431', 'B520']",13.0,S65,5.08,20,0,20,0.0,,-0.473455,-6.683472,-7.156927,False,False,12,S66,True,9,0.6564,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7,7,5,S65,False,20,0,20,14,0,0,0,0,0,"['B619', 'B196', 'B672', 'B673', 'B697', 'B650', 'B50', 'B117', 'B655', 'B414', 'B455', 'B247', 'B532', 'B170']",10.0,S38,5.71,6,0,6,0.0,,-0.324594,-6.571997,-6.896592,False,False,18,S27,True,14,0.9707,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7,7,20,S38,False,6,0,6,0,14,0,0,0,0,"['B470', 'B361', 'B526', 'B548', 'B250', 'B296', 'B405', 'B390', 'B551', 'B671', 'B760', 'B388', 'B215', 'B331']",10.0,S61,3.09,20,0,20,0.0,,-0.23063,-6.550899,-6.781529,False,False,12,S61,False,10,0.8791,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7,7,33,S61,False,20,0,20,12,0,0,0,0,0,"['B333', 'B19', 'B326', 'B408', 'B431', 'B520', 'B470', 'B361', 'B526', 'B548', 'B250', 'B296']",9.0,S63,3.24,8,0,8,0.0,,-0.248682,-6.534504,-6.783185,True,False,60,S27,True,40,2.2084,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7,7,46,S63,False,8,0,8,0,12,0,0,0,0,"['B324', 'B362', 'B491', 'B345', 'B515', 'B156', 'B440', 'B201', 'B200', 'B347', 'B16', 'B432']",9.0,S51,3.43,20,0,20,0.0,,-0.266026,-6.524746,-6.790772,False,False,12,S51,False,10,0.6036,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7,7,58,S51,False,20,0,20,15,0,0,0,0,0,"['B405', 'B390', 'B551', 'B671', 'B760', 'B388', 'B215', 'B331', 'B324', 'B362', 'B491', 'B345', 'B515', 'B156', 'B440']",10.5,S33,4.94,5,0,5,0.0,,-0.254402,-6.559917,-6.814319,False,False,18,S60,True,13,0.9531,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7,8,13,S33,False,5,0,5,0,15,0,0,0,0,"['B279', 'B629', 'B751', 'B449', 'B451', 'B584', 'B596', 'B620', 'B611', 'B642', 'B722', 'B384', 'B729', 'B609', 'B276']",10.5,S60,3.7,20,0,20,0.0,,-0.230738,-6.426472,-6.657209,False,False,12,S21,True,7,0.6241,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7,8,28,S60,False,20,0,20,18,0,0,0,0,0,"['B201', 'B200', 'B347', 'B16', 'B432', 'B279', 'B629', 'B751', 'B449', 'B451', 'B584', 'B596', 'B620', 'B611', 'B642', 'B722', 'B384', 'B729']",12.0,S37,2.84,2,0,2,0.0,,-0.248352,-6.401433,-6.649785,False,False,18,S27,True,6,1.4726,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
