seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
48,6,5,5,0,0,0,0,3,2,32,29,26,0,0,0,0,0,0,0.0147,0.0335
48,7,5,5,328,340,2,0,179,82,3214,3035,3034,16,12,28,4,12,16,0.0303,0.0488
48,8,5,5,304,325,2,1,133,78,2986,2853,2855,8,10,18,13,6,19,0.0236,0.0603
48,9,5,5,310,316,2,0,214,64,3272,3058,3057,16,8,24,5,1,6,0.038,0.0707
48,10,5,5,324,313,2,4,178,84,3510,3332,3330,10,14,24,12,0,12,0.0355,0.0842
48,11,5,5,337,353,2,0,156,120,3104,2948,2948,5,14,19,4,4,8,0.0366,0.1021
48,12,5,5,280,279,2,4,55,30,2320,2265,2272,5,6,11,13,0,13,0.0263,0.1053
48,13,5,5,266,277,2,3,36,23,1490,1454,1450,1,6,7,5,4,9,0.021,0.1091
48,14,5,5,308,318,2,5,172,101,2996,2824,2814,8,12,20,8,3,11,0.0198,0.1186
48,15,5,5,286,284,2,5,227,36,3084,2857,2863,9,8,17,8,0,8,0.0225,0.1233
48,16,5,5,298,313,1,0,230,56,3266,3036,3040,5,10,15,8,5,13,0.0184,0.1357
48,17,5,5,304,313,2,6,188,63,3470,3282,3279,13,9,22,5,5,10,0.029,0.1398
48,18,5,5,296,298,2,0,149,74,3046,2897,2903,10,11,21,8,2,10,0.0316,0.1539
48,19,5,5,277,275,3,6,96,48,2274,2178,2175,11,11,22,12,4,16,0.0303,0.1609
48,20,5,5,253,279,3,10,54,29,1730,1676,1671,8,6,14,11,6,17,0.0265,0.1565
48,21,5,5,287,296,2,5,201,118,3092,2891,2895,9,8,17,8,10,18,0.0277,0.1594
48,22,5,5,229,243,3,12,216,61,3050,2834,2834,9,15,24,12,5,17,0.0239,0.1649
48,23,5,5,308,309,2,1,204,101,3208,3004,3003,14,20,34,8,7,15,0.0317,0.1887
48,24,5,5,267,281,3,9,254,128,3468,3214,3213,18,14,32,10,5,15,0.0424,0.1963
48,25,5,5,256,258,2,1,186,54,3042,2856,2858,8,15,23,18,1,19,0.0292,0.2149
48,26,5,5,263,269,2,3,139,31,2386,2247,2251,9,17,26,11,3,14,0.0265,0.2334
48,27,5,5,232,269,3,10,62,54,1606,1544,1544,11,10,21,10,7,17,0.028,0.2344
