seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
47,6,5,5,0,0,0,0,0,2,34,34,26,0,0,0,0,0,0,0.0241,0.0241
47,7,5,5,307,330,2,3,145,71,3062,2917,2916,9,10,19,5,19,24,0.0276,0.0328
47,8,5,5,287,311,2,4,164,154,3018,2854,2858,11,6,17,9,3,12,0.0315,0.0355
47,9,5,5,328,332,2,7,119,61,3170,3051,3048,10,13,23,13,7,20,0.0276,0.0434
47,10,5,5,320,330,2,0,192,95,3432,3240,3241,12,10,22,4,0,4,0.0381,0.0565
47,11,5,5,275,282,2,9,190,44,3062,2872,2875,12,13,25,11,7,18,0.0395,0.0619
47,12,5,5,255,265,2,9,70,26,2188,2118,2117,5,9,14,12,0,12,0.0307,0.0627
47,13,5,5,244,273,2,10,34,35,1730,1696,1696,1,6,7,8,9,17,0.0214,0.0574
47,14,5,5,295,311,2,9,183,68,3212,3029,3025,14,10,24,9,19,28,0.0264,0.058
47,15,5,5,317,319,2,5,153,53,2970,2817,2823,12,12,24,12,5,17,0.0264,0.0672
47,16,5,5,343,355,2,3,158,97,3240,3082,3082,8,9,17,8,9,17,0.0261,0.0745
47,17,5,5,329,353,2,6,173,97,3364,3191,3190,10,14,24,6,0,6,0.0316,0.0856
47,18,5,5,289,297,2,11,166,45,3024,2858,2858,14,12,26,8,3,11,0.0373,0.0879
47,19,5,5,295,318,2,9,85,29,2198,2113,2115,7,10,17,7,6,13,0.0374,0.0896
47,20,5,5,238,265,2,16,21,19,1678,1657,1650,2,9,11,8,11,19,0.0296,0.0808
47,21,5,5,322,334,2,3,150,90,3050,2900,2903,9,20,29,7,25,32,0.0314,0.1007
47,22,5,5,278,305,2,11,119,41,3112,2993,2986,9,13,22,7,3,10,0.0343,0.1044
47,23,5,5,267,272,2,11,214,84,3292,3078,3086,11,11,22,11,0,11,0.0349,0.1059
47,24,5,5,297,327,2,10,175,123,3418,3243,3241,12,14,26,6,22,28,0.0422,0.1095
47,25,5,5,296,297,2,5,164,75,3076,2912,2918,11,12,23,12,0,12,0.0412,0.1195
47,26,5,5,283,307,2,12,61,65,2476,2415,2414,12,10,22,11,15,26,0.0423,0.1164
47,27,5,5,221,253,2,14,40,35,1596,1556,1556,7,11,18,16,0,16,0.031,0.1146
