seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
49,6,5,5,0,0,0,0,0,3,16,16,14,0,1,1,0,0,0,0.0133,0.0332
49,7,5,5,318,336,2,7,170,48,3154,2984,2982,6,11,17,2,10,12,0.0185,0.0383
49,8,5,5,324,331,2,4,141,131,3152,3011,3013,9,11,20,4,1,5,0.0252,0.0477
49,9,5,5,306,333,2,7,174,68,3244,3070,3060,12,14,26,8,11,19,0.0303,0.0567
49,10,5,5,326,336,2,5,162,69,3392,3230,3236,18,12,30,13,7,20,0.0368,0.0658
49,11,5,5,322,329,2,7,124,36,3074,2950,2954,14,12,26,13,0,13,0.0385,0.073
49,12,5,5,278,292,2,10,55,26,2278,2223,2226,4,6,10,12,5,17,0.0281,0.0682
49,13,5,5,289,296,2,5,45,88,1652,1607,1605,6,3,9,9,12,21,0.0238,0.0649
49,14,5,5,294,316,2,4,161,72,3080,2919,2915,13,7,20,8,5,13,0.0304,0.0688
49,15,5,5,310,329,2,7,126,107,3026,2900,2904,7,12,19,8,5,13,0.0292,0.0756
49,16,5,5,295,296,2,4,185,44,3116,2931,2929,8,12,20,9,11,20,0.0276,0.0854
49,17,5,5,276,292,2,10,144,58,3386,3242,3239,14,16,30,8,0,8,0.036,0.0945
49,18,5,5,281,289,2,8,149,29,3094,2945,2946,6,15,21,8,12,20,0.0331,0.1033
49,19,5,5,291,321,2,10,56,36,2326,2270,2275,7,10,17,12,10,22,0.0265,0.1033
49,20,5,5,265,277,2,11,49,30,1640,1591,1588,11,8,19,9,0,9,0.0296,0.1008
49,21,5,5,302,315,2,7,166,86,3014,2848,2846,17,8,25,6,17,23,0.0438,0.1008
49,22,5,5,275,305,2,10,204,88,3120,2916,2914,13,7,20,12,11,23,0.045,0.0967
49,23,5,5,293,298,2,6,196,106,3168,2972,2973,12,10,22,10,8,18,0.0476,0.1017
49,24,5,5,290,306,2,8,165,96,3292,3127,3129,10,9,19,15,2,17,0.0413,0.1039
49,25,5,5,276,296,2,10,242,91,3060,2818,2819,11,15,26,9,14,23,0.0437,0.1099
49,26,5,5,272,290,2,10,70,38,2228,2158,2160,10,8,18,12,0,12,0.0416,0.1087
49,27,5,5,233,257,2,12,34,36,1624,1590,1590,3,8,11,10,20,30,0.0319,0.1023
