seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_global_depot_backlog,phi_demand_weighted_depot_backlog,phi_demand_weighted_onsite_backlog,phi_fleet_broken_fraction,phi_depot_idle_fraction,phi_recoverable_starvation,phi_maintenance_urgency,phi_rush_hour_onsite_backlog,phi_fleet_failure_risk,phi_fleet_health_deficit,phi_fleet_low_health_fraction,phi_depot_bound_health_deficit,phi_onsite_health_deficit,phi_maintenance_restoration_value,phi_onsite_shortage_pressure,phi_depot_shortage_pressure,phi_current_station_onsite_shortage_pressure,phi_current_station_depot_shortage_pressure,phi_broken_cargo_distance_pressure,phi_late_broken_cargo_pressure,phi_repaired_idle_away_pressure,phi_depot_pipeline_pressure,phi_depot_queue_pickup_opportunity,phi_degradation_demand_exposure,phi_time_remaining_fraction,phi_functional_bikes_time_penalty,phi_reachable_imbalance_fraction,phi_recoverable_imbalance_fraction,phi_imbalance_hotspot_distance,phi_destination_starv_ratio,phi_destination_cong_ratio,phi_destination_onsite_fraction,phi_destination_depot_fraction,phi_destination_travel_penalty,phi_destination_roi_starvation,phi_cur_station_onsite_fraction,phi_cur_station_func_deficit,phi_functional_load_late_pressure,phi_depot_load_late_pressure,phi_non_depot_late_load_pressure,phi_late_depot_return,phi_depot_slack_fraction,phi_can_return_to_depot,phi_depot_return_urgency
44,7,6,7,D0,True,20,0,20,0,0,0,0,0,0,[],3.0,S51,3.91,20,0,20,0.0,,-0.608164,-6.875969,-7.484133,True,True,5,S41,True,4,0.1776,depot_passthrough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7,6,29,S51,False,20,0,20,17,0,0,0,0,0,"['B91', 'B640', 'B175', 'B753', 'B215', 'B641', 'B630', 'B727', 'B428', 'B218', 'B691', 'B264', 'B219', 'B757', 'B22', 'B712', 'B280']",11.5,S46,3.14,3,0,3,0.0,,-0.504509,-6.841912,-7.346421,True,False,42,S41,True,7,2.0398,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7,6,43,S46,False,3,0,3,0,16,0,0,0,0,"['B415', 'B314', 'B670', 'B169', 'B52', 'B720', 'B442', 'B297', 'B72', 'B381', 'B427', 'B688', 'B230', 'B685', 'B341', 'B167']",11.0,S26,8.08,19,0,19,0.0,,-0.325633,-6.802106,-7.127739,False,False,18,S44,True,6,0.6941,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7,7,2,S26,False,19,0,19,19,0,0,0,0,0,"['B139', 'B2', 'B39', 'B415', 'B314', 'B670', 'B169', 'B52', 'B720', 'B442', 'B297', 'B72', 'B381', 'B427', 'B688', 'B230', 'B685', 'B341', 'B167']",12.5,S38,9.12,0,0,0,0.0,,-0.277904,-6.713648,-6.991552,False,False,12,S38,False,6,0.5094,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7,7,24,S38,False,0,0,0,0,19,0,0,0,0,"['B149', 'B305', 'B145', 'B64', 'B446', 'B83', 'B380', 'B278', 'B605', 'B23', 'B38', 'B420', 'B78', 'B103', 'B646', 'B618', 'B109', 'B254', 'B372']",12.5,S62,4.41,19,0,19,0.0,,-0.266326,-6.713648,-6.979974,False,False,12,S39,True,6,0.5396,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7,7,41,S62,False,19,0,19,18,0,0,1,0,0,"['B642', 'B149', 'B305', 'B145', 'B64', 'B446', 'B83', 'B380', 'B278', 'B605', 'B23', 'B38', 'B420', 'B78', 'B103', 'B646', 'B618', 'B109', 'B254']",12.5,S37,2.6,1,1,2,0.0,,-0.278,-6.71409,-6.99209,True,True,36,S40,True,18,1.6181,delivery+depot_removal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7,7,56,S37,False,1,1,2,0,18,0,0,0,0,"['B628', 'B550', 'B634', 'B403', 'B458', 'B300', 'B638', 'B413', 'B619', 'B115', 'B597', 'B530', 'B617', 'B742', 'B437', 'B20', 'B384', 'B221']",12.0,S32,4.74,19,1,20,0.0,,-0.206361,-6.724705,-6.931066,False,False,12,S40,True,7,0.5496,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7,8,13,S32,False,19,1,20,13,0,0,0,0,0,"['B372', 'B628', 'B550', 'B634', 'B403', 'B458', 'B300', 'B638', 'B413', 'B619', 'B115', 'B597', 'B530']",9.5,S63,3.1,6,1,7,0.0,,-0.212503,-6.717628,-6.930131,False,False,18,S15,True,12,0.7817,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7,8,25,S63,False,6,1,7,0,13,1,0,0,0,"['B484', 'B355', 'B577', 'B762', 'B12', 'B79', 'B100', 'B714', 'B104', 'B37', 'B705', 'B285', 'B369']",12.5,S15,5.25,19,1,20,0.0,,-0.112093,-6.679591,-6.791684,True,True,24,S36,True,19,0.9814,pickup+onsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7,8,43,S15,False,19,1,20,19,0,0,0,0,0,"['B617', 'B742', 'B437', 'B20', 'B384', 'B221', 'B484', 'B355', 'B577', 'B762', 'B12', 'B79', 'B100', 'B714', 'B104', 'B37', 'B705', 'B285', 'B369']",12.5,S33,3.7,0,1,1,0.0,,-0.194121,-6.679591,-6.873712,False,False,18,S33,True,12,1.0891,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7,8,59,S33,False,0,1,1,0,14,0,1,0,0,"['B730', 'B352', 'B365', 'B58', 'B267', 'B142', 'B164', 'B156', 'B112', 'B18', 'B51', 'B282', 'B453', 'B210', 'B648']",10.5,S46,2.0,14,2,16,0.0,,-0.242568,-6.695071,-6.93764,True,True,36,S45,True,22,1.7501,pickup+depot_removal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7,9,12,S46,False,14,2,16,13,0,0,0,0,0,"['B730', 'B352', 'B365', 'B58', 'B267', 'B142', 'B164', 'B156', 'B112', 'B18', 'B51', 'B282', 'B453']",9.5,S60,5.39,1,2,3,0.0,,-0.129965,-6.620766,-6.750731,False,False,18,S44,True,10,1.1874,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7,9,27,S60,False,1,2,3,0,17,0,0,0,0,"['B77', 'B172', 'B53', 'B343', 'B14', 'B21', 'B468', 'B7', 'B30', 'B545', 'B582', 'B547', 'B663', 'B188', 'B367', 'B239', 'B462']",11.5,S13,8.16,18,2,20,0.0,,-0.159685,-6.614132,-6.773817,True,False,30,S41,True,25,1.4194,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7,9,46,S13,False,18,2,20,18,0,0,0,0,0,"['B210', 'B77', 'B172', 'B53', 'B343', 'B14', 'B21', 'B468', 'B7', 'B30', 'B545', 'B582', 'B547', 'B663', 'B188', 'B367', 'B239', 'B462']",12.0,S62,11.46,0,2,2,0.0,,-0.106433,-6.545577,-6.65201,True,False,30,S17,True,19,1.5855,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7,10,10,S62,False,0,2,2,0,17,0,0,0,0,"['B64', 'B446', 'B83', 'B380', 'B278', 'B605', 'B23', 'B38', 'B420', 'B78', 'B103', 'B646', 'B618', 'B109', 'B254', 'B281', 'B362']",11.5,S17,7.52,17,2,19,0.0,,-0.100184,-6.590248,-6.690432,False,False,18,S3,True,14,0.9965,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7,10,29,S17,False,17,2,19,13,0,0,0,0,0,"['B64', 'B446', 'B83', 'B380', 'B278', 'B605', 'B23', 'B38', 'B420', 'B78', 'B103', 'B646', 'B618']",9.5,S31,7.72,4,2,6,0.0,,-0.035083,-6.542923,-6.578006,False,False,18,S27,True,12,0.7828,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7,10,46,S31,False,4,2,6,0,14,0,0,0,0,"['B447', 'B692', 'B98', 'B718', 'B28', 'B290', 'B321', 'B154', 'B729', 'B342', 'B627', 'B655', 'B456', 'B429']",10.0,S20,7.67,18,2,20,0.0,,-0.059199,-6.527885,-6.587084,False,False,12,S27,True,10,0.6267,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7,11,4,S20,False,18,2,20,16,0,0,0,0,0,"['B109', 'B254', 'B281', 'B362', 'B447', 'B692', 'B98', 'B718', 'B28', 'B290', 'B321', 'B154', 'B729', 'B342', 'B627', 'B655']",11.0,S18,9.13,2,2,4,0.0,,-0.123807,-6.525674,-6.649481,False,False,18,S26,True,6,0.8419,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7,11,24,S18,False,2,2,4,0,14,0,0,0,0,"['B508', 'B229', 'B174', 'B10', 'B36', 'B197', 'B490', 'B277', 'B0', 'B564', 'B26', 'B503', 'B269', 'B33']",10.0,S26,7.46,16,2,18,0.0,,-0.141125,-6.573441,-6.714566,False,False,18,S33,True,12,0.8667,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7,11,41,S26,False,16,2,18,16,0,0,0,0,0,"['B456', 'B429', 'B508', 'B229', 'B174', 'B10', 'B36', 'B197', 'B490', 'B277', 'B0', 'B564', 'B26', 'B503', 'B269', 'B33']",11.0,S39,9.74,0,2,2,0.0,,-0.129949,-6.539385,-6.669334,False,False,12,S33,True,7,0.6941,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7,12,2,S39,False,0,2,2,0,13,1,0,0,0,"['B482', 'B189', 'B364', 'B661', 'B140', 'B373', 'B578', 'B673', 'B67', 'B71', 'B758', 'B122', 'B639']",12.5,S16,4.94,13,2,15,0.0,,-0.242538,-6.572999,-6.815537,True,True,36,S16,True,21,1.5393,pickup+onsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7,12,20,S16,False,13,2,15,0,5,0,0,0,0,"['B148', 'B319', 'B440', 'B334', 'B430']",5.5,S29,5.41,18,2,20,0.0,,-0.312598,-6.550442,-6.86304,True,False,24,S29,False,12,1.1364,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7,12,31,S29,False,18,2,20,18,0,0,0,0,0,"['B482', 'B189', 'B364', 'B661', 'B140', 'B373', 'B578', 'B673', 'B67', 'B71', 'B758', 'B122', 'B639', 'B148', 'B319', 'B440', 'B334', 'B430']",12.0,S62,3.79,0,2,2,0.0,,-0.247508,-6.573441,-6.820949,True,False,30,S51,True,21,1.6229,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
