seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
49,6,23,0,0,0,0,0,0,0,0.0133,0.0318,0,0,0,0,0,0,0,0,0,-26,-20,-28,-19,-14,-12,-12
49,7,0,0,0,0,0,0,0,0,0.0133,0.0318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,7,1,0,0,0,0,0,0,0,0.0133,0.0318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,7,2,0,0,0,0,0,0,0,0.0133,0.0318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,7,3,0,0,0,0,0,0,0,0.0133,0.0318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,7,4,0,0,0,0,0,0,1,0.0133,0.0332,0,0,1,0,0,3,16,14,16,0,0,0,0,0,0,1
49,7,5,0,0,0,0,0,1,0,0.0146,0.0332,0,0,1,0,5,8,185,154,190,0,0,0,0,0,0,1
49,7,6,15,18,1,0,3,0,3,0.0146,0.0358,0,0,3,0,23,6,163,170,186,3,0,0,0,0,0,0
49,7,7,32,31,0,0,4,0,0,0.0146,0.0371,0,0,0,0,12,0,138,128,150,0,0,0,0,0,0,0
49,7,8,13,30,0,0,3,0,1,0.0146,0.0385,0,0,1,0,9,0,103,123,112,0,0,0,0,0,1,0
49,7,9,33,33,0,0,5,0,0,0.0146,0.0385,0,0,0,0,5,0,139,129,144,0,0,0,0,0,0,0
49,7,10,30,16,0,0,4,1,1,0.0159,0.0385,0,0,2,0,3,0,203,197,206,1,0,0,0,0,1,0
49,7,11,11,14,0,0,3,4,0,0.0212,0.0398,0,0,4,0,15,3,175,175,190,0,1,1,1,0,1,0
49,7,12,21,22,0,0,5,0,0,0.0199,0.0398,1,0,0,1,11,0,205,205,216,0,0,0,0,0,0,0
49,7,13,15,25,0,0,4,0,1,0.0199,0.0411,0,0,1,0,12,1,220,212,232,0,0,0,0,0,1,0
49,7,14,23,23,0,0,4,0,0,0.0199,0.0411,0,0,0,0,22,11,434,390,456,0,0,0,0,0,0,0
49,7,15,28,26,0,0,4,1,2,0.0212,0.0438,0,0,3,0,18,2,240,278,258,0,0,2,0,0,1,0
49,7,16,24,12,0,0,4,0,0,0.0199,0.0438,1,0,0,1,14,2,168,193,182,0,0,0,0,0,0,0
49,7,17,10,24,0,0,5,0,1,0.0159,0.0451,3,0,1,3,5,2,163,154,168,0,0,1,0,0,0,0
49,7,18,25,14,0,0,4,0,1,0.0159,0.0464,0,0,1,0,3,10,185,189,188,0,0,1,0,0,0,0
49,7,19,14,26,1,6,4,0,0,0.0158,0.0383,0,10,0,10,0,4,70,83,70,0,0,0,0,0,0,0
49,7,20,0,0,0,0,0,0,0,0.0158,0.0383,0,0,0,0,4,2,114,105,118,0,0,0,0,0,0,0
49,7,21,0,0,0,0,0,0,0,0.0158,0.0383,0,0,0,0,2,2,64,77,66,0,0,0,0,0,0,0
49,7,22,0,0,0,0,0,0,0,0.0158,0.0383,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0
49,7,23,0,0,0,0,0,0,0,0.0158,0.0383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,8,0,0,0,0,0,0,0,0,0.0158,0.0383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,8,1,0,0,0,0,0,0,0,0.0158,0.0383,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
49,8,2,0,0,0,0,0,0,0,0.0158,0.0383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,8,3,0,0,0,0,0,0,0,0.0158,0.0383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,8,4,0,0,0,0,0,0,0,0.0158,0.0383,0,0,0,0,0,0,20,18,20,0,0,0,0,0,0,0
49,8,5,0,0,0,0,0,0,1,0.0158,0.0396,0,0,1,0,10,4,250,212,260,0,1,0,0,0,0,0
49,8,6,16,16,1,0,3,0,0,0.0158,0.0395,0,1,0,1,28,11,170,177,198,0,0,0,0,0,0,0
49,8,7,19,31,0,0,3,0,0,0.0158,0.0395,0,0,0,0,18,1,122,133,140,0,0,0,0,0,0,0
49,8,8,21,25,0,0,4,2,0,0.0171,0.0395,1,0,2,1,10,0,132,132,142,0,1,0,1,0,0,0
49,8,9,33,14,0,0,3,0,1,0.0171,0.0408,0,0,1,0,15,2,145,138,160,0,0,0,1,0,0,0
49,8,10,32,33,0,0,5,0,0,0.0145,0.0408,2,0,0,2,2,1,128,129,130,0,0,0,0,0,0,0
49,8,11,14,32,0,0,3,0,2,0.0145,0.0422,0,0,2,0,2,0,200,197,202,0,1,0,0,1,0,0
49,8,12,26,26,0,0,4,3,0,0.0184,0.0435,0,0,3,0,4,0,222,217,226,0,1,0,0,0,0,2
49,8,13,30,11,0,0,3,1,3,0.0184,0.0461,0,0,4,0,10,3,320,295,330,1,1,1,0,0,1,0
49,8,14,0,19,0,0,2,0,3,0.0171,0.0514,2,0,3,2,14,8,368,368,382,0,0,1,0,1,0,1
49,8,15,21,8,0,0,4,0,0,0.0158,0.0514,1,0,0,1,6,8,194,224,200,0,0,0,0,0,0,0
49,8,16,30,24,0,0,4,0,0,0.0145,0.0514,1,0,0,1,6,8,204,187,210,0,0,0,0,0,0,0
49,8,17,24,29,0,0,5,1,0,0.0158,0.0514,0,0,1,0,4,3,170,197,174,0,1,0,0,0,0,0
49,8,18,19,26,0,0,3,0,0,0.0158,0.0514,0,0,0,0,0,0,164,162,164,0,0,0,0,0,0,0
49,8,19,24,18,0,0,5,0,0,0.0145,0.0514,1,0,0,1,3,3,75,83,78,0,0,0,0,0,0,0
49,8,20,0,0,0,0,0,0,0,0.0145,0.0514,0,0,0,0,1,3,87,86,88,0,0,0,0,0,0,0
49,8,21,0,0,0,0,0,0,0,0.0145,0.0514,0,0,0,0,1,2,39,48,40,0,0,0,0,0,0,0
49,8,22,0,0,0,0,0,0,0,0.0145,0.0514,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
49,8,23,0,0,0,0,0,0,0,0.0145,0.0514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,9,0,0,0,0,0,0,0,0,0.0145,0.0514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,9,1,0,0,0,0,0,0,0,0.0145,0.0514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,9,2,0,0,0,0,0,0,0,0.0145,0.0514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,9,3,0,0,0,0,0,0,0,0.0145,0.0514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,9,4,0,0,0,0,0,0,1,0.0145,0.0527,0,0,1,0,0,0,28,24,28,0,0,0,0,0,1,0
49,9,5,0,0,0,0,0,1,1,0.0158,0.054,0,0,2,0,34,4,144,129,178,1,1,0,0,0,0,0
49,9,6,20,20,1,1,3,1,0,0.017,0.0524,0,6,1,6,41,4,171,149,212,1,0,0,0,0,0,0
49,9,7,14,30,0,0,3,0,0,0.0157,0.0524,1,0,0,1,21,4,145,155,166,0,0,0,0,0,0,0
49,9,8,28,31,0,0,4,0,1,0.0157,0.0537,0,0,1,0,15,2,113,129,128,0,0,1,0,0,0,0
49,9,9,24,22,0,0,4,0,1,0.0157,0.055,0,0,1,0,4,1,118,111,122,0,0,0,0,0,1,0
49,9,10,13,16,0,0,3,0,1,0.0144,0.0563,1,0,1,1,3,4,203,190,206,0,0,0,0,1,0,0
49,9,11,33,16,0,0,5,1,1,0.0157,0.0576,0,0,2,0,7,2,171,175,178,1,0,0,1,0,0,0
49,9,12,12,29,0,0,3,1,0,0.017,0.0576,0,0,1,0,17,1,223,212,240,0,0,0,1,0,0,0
49,9,13,21,11,0,0,3,2,1,0.0183,0.0576,0,0,3,0,9,0,275,253,284,0,0,0,2,0,0,1
