seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
47,6,23,0,0,0,0,0,0,0,0.0241,0.0241,0,0,0,0,0,0,0,0,0,-30,-23,-27,-20,-20,-13,-7
47,7,0,0,0,0,0,0,0,0,0.0241,0.0241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7,1,0,0,0,0,0,0,0,0.0241,0.0241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7,2,0,0,0,0,0,0,0,0.0241,0.0241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7,3,0,0,0,0,0,0,0,0.0241,0.0241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7,4,0,0,0,0,0,0,0,0.0241,0.0241,0,0,0,0,0,2,34,26,34,0,0,0,0,0,0,0
47,7,5,0,0,0,0,0,0,0,0.0241,0.0241,0,0,0,0,29,4,161,145,190,0,0,0,0,0,0,0
47,7,6,14,18,1,0,3,2,1,0.0268,0.0255,0,0,3,0,9,4,183,167,192,0,0,2,1,0,0,0
47,7,7,25,27,0,0,4,0,1,0.0241,0.0268,2,0,1,2,6,0,148,159,154,0,1,0,0,0,0,0
47,7,8,16,30,0,0,5,0,0,0.0241,0.0268,0,0,0,0,3,0,103,108,106,0,0,0,0,0,0,0
47,7,9,22,22,0,0,4,1,0,0.0255,0.0268,0,0,1,0,8,0,158,147,166,0,0,0,0,0,1,0
47,7,10,32,17,0,0,5,0,0,0.0255,0.0268,1,0,0,1,8,1,178,179,186,0,0,0,0,0,0,0
47,7,11,19,34,0,0,3,0,0,0.0241,0.0268,0,0,0,0,0,0,156,162,156,0,0,0,0,0,0,0
47,7,12,20,20,0,0,4,1,1,0.0241,0.0282,1,0,2,1,2,0,242,235,244,1,0,0,1,0,0,0
47,7,13,24,11,0,0,3,1,1,0.0228,0.0282,2,0,2,2,7,5,231,224,238,1,0,1,0,0,0,0
