seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
42,6,5,5,0,0,0,0,1,0,34,33,26,0,0,0,0,0,0,0.0305,0.0225
42,7,5,5,284,306,2,11,208,130,3274,3066,3069,12,13,25,19,13,32,0.0211,0.0251
42,8,5,5,270,299,2,13,163,41,3104,2941,2943,10,11,21,11,0,11,0.0202,0.0228
42,9,5,5,262,280,2,13,153,61,3204,3051,3053,11,18,29,8,24,32,0.0238,0.0291
42,10,5,5,287,304,2,8,158,66,3486,3328,3322,14,11,25,13,10,23,0.0238,0.033
42,11,5,5,221,257,2,16,182,53,3064,2882,2885,9,11,20,14,3,17,0.0175,0.0269
42,12,5,5,262,277,2,12,105,57,2380,2275,2274,11,13,24,12,20,32,0.016,0.0279
42,13,5,5,223,258,2,15,27,27,1706,1679,1678,8,7,15,12,4,16,0.0108,0.0175
42,14,5,5,325,347,2,7,140,82,3136,2996,2993,11,9,20,6,27,33,0.0171,0.0197
42,15,5,5,300,316,2,10,95,106,2974,2879,2880,16,15,31,14,7,21,0.0185,0.0264
42,16,5,5,282,311,2,12,180,99,3248,3068,3069,10,9,19,10,0,10,0.0174,0.0228
42,17,5,5,271,294,2,13,148,92,3518,3370,3375,14,10,24,10,22,32,0.0238,0.0185
42,18,5,5,294,316,2,10,134,47,3074,2940,2942,17,9,26,18,0,18,0.0228,0.0174
42,19,5,5,305,326,2,9,70,36,2422,2352,2353,8,10,18,10,13,23,0.02,0.0187
42,20,5,5,272,283,2,10,40,5,1676,1636,1628,4,7,11,5,19,24,0.0185,0.0145
42,21,5,5,313,336,2,4,183,43,3088,2905,2902,8,11,19,4,10,14,0.0223,0.0236
42,22,5,5,257,271,2,12,168,51,3072,2904,2912,15,10,25,14,0,14,0.0239,0.0213
42,23,5,5,276,299,2,11,206,41,3342,3136,3135,11,11,22,14,16,30,0.0198,0.0211
42,24,5,5,342,350,2,5,241,91,3370,3129,3125,9,7,16,5,11,16,0.0249,0.0236
42,25,5,5,294,320,2,12,119,73,3066,2947,2952,8,6,14,12,0,12,0.02,0.016
42,26,5,5,264,271,2,8,64,30,2384,2320,2321,14,5,19,14,13,27,0.0198,0.0119
42,27,5,5,249,275,2,6,18,9,1660,1642,1643,9,7,16,12,4,16,0.0159,0.0133
