seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
46,6,23,0,0,0,0,0,0,0,0.0238,0.0278,0,0,0,0,0,0,0,0,0,-14,-25,-27,-20,-15,-21,-11
46,7,0,0,0,0,0,0,0,0,0.0238,0.0278,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46,7,1,0,0,0,0,0,0,0,0.0238,0.0278,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46,7,2,0,0,0,0,0,0,0,0.0238,0.0278,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
46,7,3,0,0,0,0,0,0,0,0.0238,0.0278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,7,4,0,0,0,0,0,0,0,0.0238,0.0278,0,0,0,0,0,1,20,18,20,0,0,0,0,0,0,0
46,7,5,0,0,0,0,0,0,2,0.0238,0.0304,0,0,2,0,18,2,174,142,192,0,1,0,1,0,0,0
46,7,6,18,36,1,0,4,0,2,0.0237,0.0329,0,3,2,3,20,12,190,197,210,0,0,0,0,0,0,2
46,7,7,26,24,0,0,4,2,1,0.025,0.0343,1,0,3,1,13,4,121,120,134,0,0,2,1,0,0,0
46,7,8,23,27,0,0,4,0,0,0.025,0.0343,0,0,0,0,4,5,150,150,154,0,0,0,0,0,0,0
46,7,9,28,28,0,0,4,0,1,0.025,0.0356,0,0,1,0,2,1,148,147,150,1,0,0,0,0,0,0
46,7,10,27,11,0,0,3,0,1,0.025,0.0356,0,0,1,0,1,4,189,184,190,0,0,0,0,0,1,0
46,7,11,13,29,0,0,3,2,0,0.0264,0.0369,1,0,2,1,3,2,155,156,158,0,1,0,0,0,1,0
46,7,12,19,19,0,0,4,0,0,0.0264,0.0369,0,0,0,0,18,0,206,208,224,0,0,0,0,0,0,0
46,7,13,20,20,0,0,4,1,1,0.0277,0.0382,0,0,2,0,16,7,266,250,282,1,0,0,0,1,0,0
46,7,14,18,18,0,0,4,2,0,0.0303,0.0382,0,0,2,0,36,14,412,386,448,0,1,1,0,0,0,0
46,7,15,20,20,0,0,4,0,2,0.0303,0.0408,0,0,2,0,13,4,183,218,196,1,0,1,0,0,0,0
46,7,16,20,20,0,0,5,1,0,0.0316,0.0408,0,0,1,0,23,6,155,162,178,0,0,0,0,0,0,1
46,7,17,27,18,0,0,5,0,0,0.0303,0.0408,1,0,0,1,14,16,176,169,190,0,0,0,0,0,0,0
46,7,18,14,16,0,0,5,1,0,0.0303,0.0408,1,0,1,1,5,19,159,175,164,1,0,0,0,0,0,0
46,7,19,6,21,1,14,6,1,0,0.0292,0.0226,2,8,1,10,4,7,96,107,100,1,0,0,0,0,0,0
46,7,20,0,0,0,0,0,0,0,0.0292,0.0226,0,0,0,0,7,9,71,73,78,0,0,0,0,0,0,0
46,7,21,0,0,0,0,0,0,0,0.0292,0.0226,0,0,0,0,2,5,64,61,66,0,0,0,0,0,0,0
46,7,22,0,0,0,0,0,0,0,0.0292,0.0226,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
46,7,23,0,0,0,0,0,0,0,0.0292,0.0226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,8,0,0,0,0,0,0,0,0,0.0292,0.0226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,8,1,0,0,0,0,0,0,0,0.0292,0.0226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,8,2,0,0,0,0,0,0,0,0.0292,0.0226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,8,3,0,0,0,0,0,0,0,0.0292,0.0226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,8,4,0,0,0,0,0,0,0,0.0292,0.0226,0,0,0,0,3,0,33,29,36,0,0,0,0,0,0,0
46,8,5,0,0,0,0,0,1,0,0.0305,0.0226,0,0,1,0,14,7,210,177,224,0,0,0,1,0,0,0
46,8,6,17,14,1,0,3,2,0,0.0332,0.0226,0,0,2,0,14,5,174,181,188,2,0,0,0,0,0,0
46,8,7,16,33,0,0,4,2,3,0.0345,0.0239,1,0,5,1,10,2,136,131,146,1,0,1,1,2,0,0
46,8,8,32,30,0,0,4,0,0,0.0332,0.0266,1,0,0,1,3,6,107,127,110,0,0,0,0,0,0,0
46,8,9,16,18,0,0,5,0,0,0.0305,0.0266,3,0,0,3,5,1,179,174,184,0,0,0,0,0,0,0
46,8,10,26,12,0,0,3,1,0,0.0279,0.0266,2,0,1,2,8,1,154,143,162,0,0,0,0,0,0,1
