seed,exp_name,alpha,duration_hours,total_runtime_s,service_level,avg_bike_km_driven,starvations,congestions,total_trips,bike_departures,bike_arrivals,total_depot_deliveries,total_depot_visits,total_fixed_on_site,total_picked_up_to_depot,total_depot_fixes,total_bikes_redistributed_from_depot,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,broken_bikes_end_onsite,broken_bikes_end_depot,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
42,Squared_only_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9249,399.358,3124,1404,60282,57158,57159,145,42,223,145,145,149,5643,5931,0.0302,0.0302,0.9396,0.0169,0.1068,0.8763,13,82,213,204,223,149
43,Squared_only_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9268,397.0127,3029,1370,60062,57033,57034,143,40,201,143,143,123,5581,5862,0.0156,0.0495,0.9349,0.0156,0.1289,0.8555,12,99,202,184,201,123
44,Squared_only_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9188,396.5436,3309,1513,59410,56101,56104,168,40,231,168,168,160,5622,5958,0.0301,0.0393,0.9306,0.0221,0.125,0.8529,17,96,227,223,231,160
45,Squared_only_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9266,396.3583,3014,1353,59520,56506,56507,158,41,218,158,158,156,5634,5938,0.0223,0.0446,0.9332,0.0287,0.1188,0.8525,22,91,223,211,218,156
46,Squared_only_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9241,395.5329,3075,1400,58938,55863,55865,142,42,223,142,142,131,5658,5948,0.0237,0.0316,0.9447,0.0248,0.1199,0.8553,19,92,225,198,223,131
47,Squared_only_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9226,395.9725,3151,1445,59402,56251,56251,148,42,211,148,148,160,5671,5989,0.0237,0.0421,0.9342,0.0182,0.1146,0.8672,14,88,209,208,211,160
48,Squared_only_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9202,395.9998,3365,1394,59646,56281,56281,157,42,230,157,157,161,5539,5864,0.0146,0.0412,0.9441,0.0275,0.1165,0.856,21,89,241,207,230,161
49,Squared_only_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9235,395.9369,3088,1434,59136,56048,56045,164,39,192,164,164,151,5551,5874,0.0131,0.0458,0.9412,0.0261,0.1085,0.8654,20,83,202,212,192,151
50,Squared_only_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9246,396.811,3113,1367,59402,56289,56289,177,42,200,177,177,173,5614,5979,0.0118,0.0433,0.9449,0.0208,0.1185,0.8607,16,91,209,226,200,173
51,Squared_only_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9239,398.3422,3186,1371,59852,56666,56667,168,40,212,168,168,157,5690,6015,0.0146,0.037,0.9484,0.0261,0.1242,0.8497,20,95,221,224,212,157
