seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_global_depot_backlog,phi_demand_weighted_depot_backlog,phi_demand_weighted_onsite_backlog,phi_fleet_broken_fraction,phi_depot_idle_fraction,phi_recoverable_starvation,phi_maintenance_urgency,phi_rush_hour_onsite_backlog,phi_fleet_failure_risk,phi_fleet_health_deficit,phi_fleet_low_health_fraction,phi_depot_bound_health_deficit,phi_onsite_health_deficit,phi_maintenance_restoration_value,phi_onsite_shortage_pressure,phi_depot_shortage_pressure,phi_current_station_onsite_shortage_pressure,phi_current_station_depot_shortage_pressure,phi_broken_cargo_distance_pressure,phi_late_broken_cargo_pressure,phi_repaired_idle_away_pressure,phi_depot_pipeline_pressure,phi_depot_queue_pickup_opportunity,phi_degradation_demand_exposure,phi_time_remaining_fraction,phi_functional_bikes_time_penalty,phi_reachable_imbalance_fraction,phi_recoverable_imbalance_fraction,phi_imbalance_hotspot_distance,phi_destination_starv_ratio,phi_destination_cong_ratio,phi_destination_onsite_fraction,phi_destination_depot_fraction,phi_destination_travel_penalty,phi_destination_roi_starvation,phi_cur_station_onsite_fraction,phi_cur_station_func_deficit,phi_functional_load_late_pressure,phi_depot_load_late_pressure,phi_non_depot_late_load_pressure,phi_late_depot_return,phi_depot_slack_fraction,phi_can_return_to_depot,phi_depot_return_urgency
43,7,6,11,D0,True,20,0,20,0,0,0,0,0,0,[],3.0,S41,2.23,20,0,20,0.0,-6.166141,,,-6.166141,True,True,,,,,,,0.56703,0.184497,0.124718,,,,,0.070224,0.084913,,,,,,0.00193,0.000841,0.337748,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7,6,32,S41,False,20,0,20,20,0,0,0,0,0,"['B239', 'B50', 'B139', 'B368', 'B80', 'B200', 'B704', 'B342', 'B309', 'B715', 'B37', 'B27', 'B256', 'B534', 'B703', 'B319', 'B158', 'B568', 'B330', 'B109']",13.0,S59,2.97,0,0,0,0.0,-6.188028,,,-6.188028,False,False,,,,,,,0.579859,0.208688,0.112444,,,,,0.076341,0.05958,,,,,,0.001842,0.000796,0.337748,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7,6,48,S59,False,0,0,0,0,20,0,0,0,0,"['B230', 'B720', 'B241', 'B382', 'B2', 'B417', 'B179', 'B215', 'B107', 'B72', 'B99', 'B483', 'B505', 'B614', 'B684', 'B4', 'B376', 'B338', 'B378', 'B728']",13.0,S51,5.65,20,0,20,0.0,-6.233632,,,-6.233632,False,False,,,,,,,0.600385,0.192301,0.151785,,,,,0.108542,0.075973,,,,,,0.001819,0.000783,0.337748,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7,7,6,S51,False,20,0,20,12,0,0,2,0,0,"['B381', 'B605', 'B230', 'B720', 'B241', 'B382', 'B2', 'B417', 'B179', 'B215', 'B107', 'B72', 'B99', 'B483']",10.0,S61,6.56,8,2,10,0.0,-6.198244,,,-6.198244,True,True,,,,,,,0.587556,0.171782,0.155746,,,,,0.09333,0.084914,,,,,,0.001579,0.000877,0.331126,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7,7,23,S61,False,8,2,10,8,0,1,0,0,0,"['B505', 'B614', 'B684', 'B4', 'B376', 'B338', 'B378', 'B728']",10.0,S37,2.04,0,2,2,0.0,-6.168864,,,-6.168864,True,True,,,,,,,0.568313,0.172326,0.146952,,,,,0.093485,0.075941,,,,,,0.001593,0.000892,0.331126,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7,7,35,S37,False,0,2,2,0,18,1,0,0,0,"['B610', 'B346', 'B689', 'B322', 'B500', 'B513', 'B212', 'B283', 'B155', 'B620', 'B84', 'B92', 'B325', 'B10', 'B275', 'B751', 'B747', 'B394']",15.0,S65,5.89,18,2,20,0.0,-6.127228,,,-6.127228,True,True,,,,,,,0.550353,0.159498,0.146806,,,,,0.075614,0.078937,,,,,,0.001617,0.000799,0.324503,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7,7,56,S65,False,18,2,20,14,0,0,1,0,0,"['B86', 'B610', 'B346', 'B689', 'B322', 'B500', 'B513', 'B212', 'B283', 'B155', 'B620', 'B84', 'B92', 'B325', 'B10']",10.5,S38,5.71,4,3,7,0.0,-6.062046,,,-6.062046,True,True,,,,,,,0.516998,0.161199,0.121686,,,,,0.049557,0.077391,,,,,,0.001614,0.000821,0.317881,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7,8,12,S38,False,4,3,7,0,13,0,0,0,0,"['B405', 'B15', 'B21', 'B559', 'B218', 'B28', 'B150', 'B450', 'B597', 'B18', 'B328', 'B437', 'B718']",9.5,S15,6.4,17,3,20,0.0,-6.059857,,,-6.059857,True,False,,,,,,,0.509301,0.156585,0.131471,,,,,0.0626,0.086807,,,,,,0.001676,0.000844,0.317881,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7,8,28,S15,False,17,3,20,17,0,0,0,0,0,"['B275', 'B751', 'B747', 'B394', 'B405', 'B15', 'B21', 'B559', 'B218', 'B28', 'B150', 'B450', 'B597', 'B18', 'B328', 'B437', 'B718']",11.5,S52,4.21,0,3,3,0.0,-6.082484,,,-6.082484,False,False,,,,,,,0.519564,0.165453,0.130059,,,,,0.079627,0.080716,,,,,,0.001739,0.000868,0.317881,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7,8,44,S52,False,0,3,3,0,10,1,1,0,0,"['B599', 'B244', 'B298', 'B93', 'B284', 'B439', 'B199', 'B428', 'B38', 'B317', 'B138']",11.5,S7,9.68,10,4,14,0.0,-6.016458,,,-6.016458,True,True,,,,,,,0.469532,0.160898,0.113826,,,,,0.109778,0.099398,,,,,,0.001718,0.000799,0.304636,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
