seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
48,6,5,5,0,0,0,0,3,2,32,29,26,0,0,0,0,0,0,0.0147,0.0335
48,7,5,5,291,311,3,11,194,89,3214,3020,3020,11,8,19,7,18,25,0.0199,0.0292
48,8,5,5,289,296,2,9,141,111,2986,2845,2845,7,14,21,8,3,11,0.0187,0.0361
48,9,5,5,270,280,2,10,139,75,3272,3133,3134,14,12,26,9,8,17,0.0255,0.0389
48,10,5,5,265,285,2,12,191,88,3510,3319,3318,14,11,25,13,9,22,0.027,0.0377
48,11,5,5,262,262,2,9,197,70,3104,2907,2906,6,7,13,4,19,23,0.0293,0.0346
48,12,5,5,285,295,2,10,76,35,2320,2244,2249,3,14,17,13,3,16,0.0161,0.0403
48,13,5,5,260,273,2,13,38,21,1490,1452,1449,4,3,7,9,9,18,0.0094,0.027
48,14,5,5,303,322,2,9,172,40,2996,2824,2815,9,7,16,6,23,29,0.0132,0.0238
48,15,5,5,323,328,2,8,202,39,3084,2882,2887,7,5,12,8,9,17,0.0119,0.0198
48,16,5,5,290,296,2,8,199,39,3266,3067,3072,6,9,15,6,0,6,0.012,0.0214
48,17,5,5,308,327,2,7,140,117,3470,3330,3328,11,13,24,8,8,16,0.016,0.0294
48,18,5,5,295,292,2,9,184,52,3046,2862,2863,9,13,22,6,8,14,0.0201,0.0348
48,19,5,5,280,291,2,13,70,26,2274,2204,2204,12,11,23,10,7,17,0.0229,0.0323
48,20,5,5,241,257,2,10,45,32,1730,1685,1680,7,9,16,11,22,33,0.0172,0.0305
48,21,5,5,321,329,2,3,117,69,3092,2975,2975,12,11,23,9,10,19,0.0197,0.0407
48,22,5,5,200,215,2,19,169,80,3050,2881,2885,14,10,24,15,0,15,0.0189,0.0296
48,23,5,5,314,312,2,9,157,39,3208,3051,3051,22,15,37,15,18,33,0.028,0.0373
48,24,5,5,283,297,2,14,163,76,3468,3305,3306,20,15,35,16,4,20,0.0337,0.0391
48,25,5,5,264,279,2,16,116,82,3042,2926,2928,10,11,21,15,9,24,0.0272,0.0327
48,26,5,5,249,267,2,14,87,30,2386,2299,2299,12,13,25,11,30,41,0.028,0.0307
48,27,5,5,205,221,2,19,75,24,1606,1531,1532,5,11,16,16,0,16,0.0137,0.0205
