seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
42,6,5,5,0,0,0,0,1,0,34,33,26,0,0,0,0,0,0,0.0305,0.0225
42,7,5,5,325,329,2,1,208,142,3274,3066,3070,7,15,22,11,10,21,0.0249,0.0406
42,8,5,5,328,330,2,2,185,81,3104,2919,2920,7,11,18,8,2,10,0.0236,0.0524
42,9,5,5,332,350,2,2,206,102,3204,2998,3002,12,12,24,6,4,10,0.0313,0.0653
42,10,5,5,312,318,2,1,211,73,3486,3275,3268,10,13,23,11,0,11,0.0301,0.081
42,11,5,5,293,294,3,7,157,70,3064,2907,2908,10,14,24,8,2,10,0.0329,0.0908
42,12,5,5,278,280,3,12,119,46,2380,2261,2264,9,17,26,10,8,18,0.0317,0.0979
42,13,5,5,273,274,3,7,66,22,1706,1640,1637,6,11,17,10,12,22,0.0263,0.1025
42,14,5,5,333,331,3,12,289,92,3136,2847,2841,8,13,21,9,0,9,0.0254,0.1055
42,15,5,5,292,315,3,8,209,71,2974,2765,2770,9,12,21,9,19,28,0.025,0.1092
42,16,5,5,272,292,3,9,304,90,3248,2944,2946,6,8,14,6,7,13,0.0251,0.1082
42,17,5,5,295,308,3,10,246,123,3518,3272,3272,19,8,27,11,10,21,0.0356,0.1055
42,18,5,5,294,277,3,7,235,58,3074,2839,2840,13,8,21,15,3,18,0.0332,0.1074
42,19,5,5,286,307,3,9,66,24,2422,2356,2359,7,10,17,11,14,25,0.0277,0.108
42,20,5,5,267,287,3,11,62,38,1676,1614,1605,5,5,10,13,7,20,0.0172,0.1007
42,21,5,5,296,290,3,11,311,89,3088,2777,2779,9,7,16,5,13,18,0.0225,0.0951
42,22,5,5,282,301,2,6,203,76,3072,2869,2876,15,11,26,11,0,11,0.028,0.1025
42,23,5,5,328,339,2,1,194,57,3342,3148,3146,13,13,26,10,17,27,0.0313,0.116
42,24,5,5,319,324,2,4,239,111,3370,3131,3127,7,10,17,7,1,8,0.0314,0.123
42,25,5,5,264,266,4,17,196,71,3066,2870,2875,10,12,22,7,4,11,0.036,0.1185
42,26,5,5,281,278,3,15,94,45,2384,2290,2290,10,10,20,10,12,22,0.0361,0.1123
42,27,5,5,272,293,2,6,53,23,1660,1607,1608,6,5,11,8,17,25,0.0329,0.1094
