seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_global_depot_backlog,phi_demand_weighted_depot_backlog,phi_demand_weighted_onsite_backlog,phi_fleet_broken_fraction,phi_depot_idle_fraction,phi_recoverable_starvation,phi_maintenance_urgency,phi_rush_hour_onsite_backlog,phi_fleet_failure_risk,phi_fleet_health_deficit,phi_fleet_low_health_fraction,phi_depot_bound_health_deficit,phi_onsite_health_deficit,phi_maintenance_restoration_value,phi_onsite_shortage_pressure,phi_depot_shortage_pressure,phi_current_station_onsite_shortage_pressure,phi_current_station_depot_shortage_pressure,phi_broken_cargo_distance_pressure,phi_late_broken_cargo_pressure,phi_repaired_idle_away_pressure,phi_depot_pipeline_pressure,phi_depot_queue_pickup_opportunity,phi_degradation_demand_exposure,phi_time_remaining_fraction,phi_functional_bikes_time_penalty,phi_reachable_imbalance_fraction,phi_recoverable_imbalance_fraction,phi_imbalance_hotspot_distance,phi_destination_starv_ratio,phi_destination_cong_ratio,phi_destination_onsite_fraction,phi_destination_depot_fraction,phi_destination_travel_penalty,phi_destination_roi_starvation,phi_cur_station_onsite_fraction,phi_cur_station_func_deficit,phi_functional_load_late_pressure,phi_depot_load_late_pressure,phi_non_depot_late_load_pressure,phi_late_depot_return,phi_depot_slack_fraction,phi_can_return_to_depot,phi_depot_return_urgency
43,7,6,11,D0,True,20,0,20,0,0,0,0,0,0,[],3.0,S51,3.91,20,0,20,0.0,-6.711018,,,-6.711018,True,True,,,,,,,0.570879,0.184463,0.124718,,,,,0.068306,0.094561,,,,,,0.001927,0.000839,,,,,,,,,,,0.0,0.037836,0.09353,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
43,7,6,33,S51,False,20,0,20,17,0,0,0,0,0,"['B239', 'B50', 'B139', 'B368', 'B80', 'B200', 'B704', 'B342', 'B309', 'B715', 'B37', 'B27', 'B256', 'B534', 'B703', 'B319', 'B158']",11.5,S37,4.67,3,0,3,0.0,-6.747444,,,-6.747444,True,False,,,,,,,0.588839,0.204792,0.11811,,,,,0.064846,0.068112,,,,,,0.001839,0.000794,,,,,,,,,,,0.0,0.047106,0.098191,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
43,7,6,49,S37,False,3,0,3,0,17,0,0,0,0,"['B610', 'B346', 'B689', 'B322', 'B500', 'B513', 'B212', 'B283', 'B155', 'B620', 'B84', 'B92', 'B325', 'B10', 'B275', 'B751', 'B747']",11.5,S41,3.7,20,0,20,0.0,-6.802973,,,-6.802973,True,False,,,,,,,0.611931,0.195801,0.155135,,,,,0.11092,0.070813,,,,,,0.001817,0.000783,,,,,,,,,,,0.0,0.038164,0.085716,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
43,7,7,5,S41,False,20,0,20,15,0,0,0,0,0,"['B568', 'B330', 'B109', 'B610', 'B346', 'B689', 'B322', 'B500', 'B513', 'B212', 'B283', 'B155', 'B620', 'B84', 'B92']",10.5,S38,3.56,5,0,5,0.0,-6.771154,,,-6.771154,False,False,,,,,,,0.595253,0.196891,0.146065,,,,,0.107955,0.07012,,,,,,0.001841,0.000794,,,,,,,,,,,0.0,0.039106,0.082075,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
43,7,7,19,S38,False,5,0,5,0,15,0,0,0,0,"['B405', 'B15', 'B21', 'B559', 'B218', 'B28', 'B150', 'B450', 'B597', 'B18', 'B328', 'B437', 'B718', 'B307', 'B701']",10.5,S65,5.71,20,0,20,0.0,-6.721244,,,-6.721244,True,False,,,,,,,0.573445,0.180935,0.146411,,,,,0.102031,0.072713,,,,,,0.001912,0.000829,,,,,,,,,,,0.0,0.051351,0.073633,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
43,7,7,35,S65,False,20,0,20,18,0,0,0,0,0,"['B325', 'B10', 'B275', 'B751', 'B747', 'B405', 'B15', 'B21', 'B559', 'B218', 'B28', 'B150', 'B450', 'B597', 'B18', 'B328', 'B437', 'B718']",12.0,S11,12.6,2,0,2,0.0,-6.663205,,,-6.663205,True,False,,,,,,,0.53111,0.179747,0.120095,,,,,0.10616,0.079231,,,,,,0.001956,0.00089,,,,,,,,,,,0.0,0.05847,0.092765,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
43,7,8,0,S11,False,2,0,2,0,17,0,0,0,0,"['B103', 'B203', 'B460', 'B299', 'B156', 'B626', 'B223', 'B295', 'B653', 'B623', 'B756', 'B592', 'B324', 'B220', 'B436', 'B56', 'B763']",11.5,S15,7.51,19,0,19,0.0,-6.648463,,,-6.648463,False,False,,,,,,,0.516998,0.17101,0.12369,,,,,0.124507,0.086142,,,,,,0.002045,0.000927,,,,,,,,,,,0.0,0.062062,0.093223,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
43,7,8,19,S15,False,19,0,19,18,0,0,0,0,0,"['B307', 'B701', 'B103', 'B203', 'B460', 'B299', 'B156', 'B626', 'B223', 'B295', 'B653', 'B623', 'B756', 'B592', 'B324', 'B220', 'B436', 'B56']",12.0,S59,5.67,1,0,1,0.0,-6.660169,,,-6.660169,False,False,,,,,,,0.514432,0.179701,0.122313,,,,,0.128922,0.086482,,,,,,0.002124,0.00096,,,,,,,,,,,0.0,0.069122,0.102597,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
43,7,8,36,S59,False,1,0,1,0,19,0,0,0,0,"['B720', 'B241', 'B382', 'B2', 'B417', 'B179', 'B215', 'B107', 'B72', 'B99', 'B483', 'B505', 'B614', 'B684', 'B4', 'B376', 'B338', 'B378', 'B728']",12.5,S6,11.11,20,0,20,0.0,-6.642191,,,-6.642191,False,False,,,,,,,0.500321,0.193609,0.113048,,,,,0.114482,0.098426,,,,,,0.002237,0.001007,,,,,,,,,,,0.0,0.064083,0.105801,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
43,7,9,0,S6,False,20,0,20,0,0,0,0,0,0,[],3.0,S7,5.87,20,0,20,0.0,-6.670867,,,-6.670867,True,False,,,,,,,0.506735,0.187613,0.127614,,,,,0.124244,0.123393,,,,,,0.002271,0.001029,,,,,,,,,,,0.0,0.063972,0.115646,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
43,7,9,9,S7,False,20,0,20,17,0,0,0,0,0,"['B763', 'B720', 'B241', 'B382', 'B2', 'B417', 'B179', 'B215', 'B107', 'B72', 'B99', 'B483', 'B505', 'B614', 'B684', 'B4', 'B376']",11.5,S33,9.87,3,0,3,0.0,-6.668022,,,-6.668022,False,False,,,,,,,0.499038,0.196229,0.11307,,,,,0.136425,0.125688,,,,,,0.002353,0.00108,,,,,,,,,,,0.0,0.062695,0.116532,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
43,7,9,30,S33,False,3,0,3,0,17,0,0,0,0,"['B104', 'B53', 'B399', 'B661', 'B650', 'B570', 'B58', 'B511', 'B576', 'B333', 'B175', 'B575', 'B743', 'B746', 'B578', 'B71', 'B206']",11.5,S31,3.18,20,0,20,0.0,-6.627401,,,-6.627401,False,False,,,,,,,0.486209,0.183307,0.117202,,,,,0.136445,0.128914,,,,,,0.002411,0.001117,,,,,,,,,,,0.0,0.053961,0.098223,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
43,7,9,45,S31,False,20,0,20,20,0,0,0,0,0,"['B338', 'B378', 'B728', 'B104', 'B53', 'B399', 'B661', 'B650', 'B570', 'B58', 'B511', 'B576', 'B333', 'B175', 'B575', 'B743', 'B746', 'B578', 'B71', 'B206']",13.0,S53,4.82,0,0,0,0.0,-6.535739,,,-6.535739,True,False,,,,,,,0.431046,0.158669,0.110676,,,,,0.163545,0.13115,,,,,,0.002498,0.001165,,,,,,,,,,,0.0,0.058231,0.097544,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
