seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
48,6,23,0,0,0,0,0,0,0,0.0147,0.0335,0,0,0,0,0,0,0,0,0,-24,-16,-33,-22,-14,-15,-15
48,7,0,0,0,0,0,0,0,0,0.0147,0.0335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,7,1,0,0,0,0,0,0,0,0.0147,0.0335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,7,2,0,0,0,0,0,0,0,0.0147,0.0335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,7,3,0,0,0,0,0,0,0,0.0147,0.0335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,7,4,0,0,0,0,0,0,0,0.0147,0.0335,0,0,0,0,3,2,29,26,32,0,0,0,0,0,0,0
48,7,5,0,0,0,0,0,0,0,0.0147,0.0335,0,0,0,0,11,2,173,143,184,0,0,0,0,0,0,0
48,7,6,13,20,1,0,3,0,1,0.0134,0.0349,1,0,1,1,24,2,174,182,198,0,0,0,0,0,1,0
48,7,7,26,29,0,0,4,0,1,0.0107,0.0362,4,0,1,4,5,3,127,134,132,0,0,0,0,0,1,0
48,7,8,12,21,0,0,4,0,0,0.008,0.0362,0,0,0,0,8,4,100,103,108,0,0,0,0,0,0,0
48,7,9,30,31,0,0,5,0,1,0.008,0.0375,0,0,1,0,15,4,177,166,192,0,0,0,0,0,0,1
48,7,10,26,13,0,0,4,1,0,0.0094,0.0375,0,0,1,0,1,5,171,166,172,0,0,1,0,0,0,0
48,7,11,12,25,0,0,5,3,1,0.0121,0.0375,0,0,4,0,9,5,219,201,228,0,0,1,0,0,3,0
48,7,12,24,12,0,0,3,0,1,0.0134,0.0402,0,0,1,0,16,4,194,211,210,0,0,1,0,0,0,0
48,7,13,22,24,0,0,4,1,0,0.0121,0.0402,1,0,1,1,10,10,206,206,216,0,0,0,0,0,1,0
48,7,14,20,20,0,0,4,1,3,0.0107,0.0429,2,0,4,2,63,22,401,351,464,0,1,1,0,1,1,0
48,7,15,10,20,0,0,4,0,3,0.0121,0.0483,0,0,3,0,23,14,261,300,284,1,0,1,0,1,0,0
48,7,16,17,20,1,11,3,0,3,0.012,0.0375,0,12,3,12,11,4,159,171,170,0,1,0,1,0,1,0
48,7,17,15,34,0,0,3,1,0,0.012,0.0375,0,0,1,0,8,20,190,182,198,0,0,1,0,0,0,0
48,7,18,30,18,0,0,3,1,1,0.0134,0.0388,1,0,2,1,14,8,150,157,164,1,1,0,0,0,0,0
48,7,19,9,25,1,3,4,2,1,0.012,0.036,3,6,3,9,1,4,95,103,96,0,0,1,0,1,1,0
48,7,20,0,0,0,0,0,1,0,0.012,0.036,0,0,1,0,2,5,90,96,92,0,0,1,0,0,0,0
48,7,21,0,0,0,0,0,0,0,0.0133,0.036,0,0,0,0,0,6,78,81,78,0,0,0,0,0,0,0
