seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
49,6,5,5,0,0,0,0,0,3,16,16,14,0,1,1,0,0,0,0.0133,0.0332
49,7,5,5,278,306,2,9,164,73,3154,2990,2988,10,9,19,5,11,16,0.0198,0.0331
49,8,5,5,294,305,3,10,158,71,3152,2994,2994,8,10,18,13,0,13,0.0134,0.0335
49,9,5,5,288,321,3,7,176,57,3244,3068,3061,13,14,27,13,18,31,0.0132,0.0423
49,10,5,5,288,302,3,11,125,50,3392,3267,3273,11,17,28,11,8,19,0.0133,0.0491
49,11,5,5,256,260,3,11,147,37,3074,2927,2928,10,15,25,10,6,16,0.0134,0.0547
49,12,5,5,272,298,3,11,79,16,2278,2199,2203,7,7,14,9,15,24,0.0106,0.0491
49,13,5,5,274,303,3,13,18,43,1652,1634,1631,4,3,7,4,12,16,0.0106,0.0359
49,14,5,5,290,304,3,9,178,57,3080,2902,2901,10,11,21,9,9,18,0.0106,0.0386
49,15,5,5,284,307,3,10,107,72,3026,2919,2923,4,11,15,6,13,19,0.0093,0.0397
49,16,5,5,286,316,3,10,107,53,3116,3009,3007,7,11,18,8,10,18,0.0079,0.0411
49,17,5,5,287,305,3,8,150,94,3386,3236,3237,9,16,25,4,9,13,0.0146,0.0516
49,18,5,5,287,306,3,9,177,25,3094,2917,2914,7,17,24,6,9,15,0.0159,0.0622
49,19,5,5,287,296,3,17,80,47,2326,2246,2247,11,12,23,8,4,12,0.0202,0.0552
49,20,5,5,222,267,3,20,41,40,1640,1599,1600,8,6,14,12,19,31,0.0148,0.0377
49,21,5,5,287,305,3,10,131,66,3014,2883,2880,13,7,20,11,14,25,0.0174,0.0335
49,22,5,5,287,300,2,6,180,93,3120,2940,2937,10,6,16,11,7,18,0.0161,0.0335
49,23,5,5,315,330,2,4,204,48,3168,2964,2969,9,15,24,7,11,18,0.0186,0.0477
49,24,5,5,255,293,3,11,167,48,3292,3125,3122,12,12,24,8,11,19,0.0239,0.0491
49,25,5,5,257,281,2,11,184,103,3060,2876,2880,15,8,23,14,9,23,0.0253,0.0452
49,26,5,5,264,275,3,9,27,43,2228,2201,2202,10,11,21,13,13,26,0.0212,0.0476
49,27,5,5,230,255,3,13,6,27,1624,1618,1618,6,2,8,18,9,27,0.0053,0.0332
