seed,exp_name,alpha,duration_hours,total_runtime_s,service_level,avg_bike_km_driven,starvations,congestions,total_trips,bike_departures,bike_arrivals,total_depot_deliveries,total_depot_visits,total_fixed_on_site,total_picked_up_to_depot,total_depot_fixes,total_bikes_redistributed_from_depot,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,broken_bikes_end_onsite,broken_bikes_end_depot,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot,policy,experiment,experiment_label,label,source
42,,0.0,504,40320,0.9127,400.1965,3712,1550,60282,56570,56568,183,49,236,183,183,178,4460,4632,0.0302,0.0302,0.9396,0.0177,0.0448,0.9375,13,33,226,187,236,178,Greedy,Greedy maintenance,Greedy maintenance,Greedy: Greedy maintenance,run_logs/run_20260511_112010/greedy-maintenance_TD_W34_old_D504h_V1/results.csv
43,,0.0,504,40320,0.9128,397.7288,3629,1607,60062,56433,56434,189,46,203,194,189,187,4430,4622,0.0156,0.0495,0.9349,0.0219,0.0534,0.9248,16,39,209,197,203,187,Greedy,Greedy maintenance,Greedy maintenance,Greedy: Greedy maintenance,run_logs/run_20260511_112010/greedy-maintenance_TD_W34_old_D504h_V1/results.csv
44,,0.0,504,40320,0.9086,396.2844,3744,1687,59410,55666,55668,212,50,222,212,212,203,4365,4568,0.0301,0.0393,0.9306,0.0251,0.0489,0.9259,19,37,218,216,222,203,Greedy,Greedy maintenance,Greedy maintenance,Greedy: Greedy maintenance,run_logs/run_20260511_112010/greedy-maintenance_TD_W34_old_D504h_V1/results.csv
45,,0.0,504,40320,0.9156,396.1724,3491,1532,59520,56029,56032,226,48,211,226,226,225,4289,4524,0.0223,0.0446,0.9332,0.0196,0.051,0.9293,15,39,210,232,211,225,Greedy,Greedy maintenance,Greedy maintenance,Greedy: Greedy maintenance,run_logs/run_20260511_112010/greedy-maintenance_TD_W34_old_D504h_V1/results.csv
46,,0.0,504,40320,0.9102,396.1317,3618,1677,58938,55320,55322,211,50,198,211,211,207,4377,4587,0.0237,0.0316,0.9447,0.0186,0.0638,0.9176,14,48,195,224,198,207,Greedy,Greedy maintenance,Greedy maintenance,Greedy: Greedy maintenance,run_logs/run_20260511_112010/greedy-maintenance_TD_W34_old_D504h_V1/results.csv
47,,0.0,504,40320,0.9145,396.6165,3543,1538,59402,55859,55857,182,48,210,182,182,200,4292,4493,0.0237,0.0421,0.9342,0.0198,0.0528,0.9273,15,40,208,200,210,200,Greedy,Greedy maintenance,Greedy maintenance,Greedy: Greedy maintenance,run_logs/run_20260511_112010/greedy-maintenance_TD_W34_old_D504h_V1/results.csv
48,,0.0,504,40320,0.9118,396.8048,3657,1603,59646,55989,55990,204,48,174,204,204,215,4325,4541,0.0146,0.0412,0.9441,0.0373,0.0533,0.9093,28,40,191,212,174,215,Greedy,Greedy maintenance,Greedy maintenance,Greedy: Greedy maintenance,run_logs/run_20260511_112010/greedy-maintenance_TD_W34_old_D504h_V1/results.csv
49,,0.0,504,40320,0.9164,396.7267,3419,1524,59136,55717,55716,203,51,177,203,203,203,4414,4620,0.0131,0.0458,0.9412,0.0202,0.0607,0.919,15,45,183,214,177,203,Greedy,Greedy maintenance,Greedy maintenance,Greedy: Greedy maintenance,run_logs/run_20260511_112010/greedy-maintenance_TD_W34_old_D504h_V1/results.csv
50,,0.0,504,40320,0.9123,396.0359,3774,1435,59402,55628,55628,225,52,199,225,225,211,4294,4507,0.0118,0.0433,0.9449,0.0173,0.0585,0.9242,13,44,205,225,199,211,Greedy,Greedy maintenance,Greedy maintenance,Greedy: Greedy maintenance,run_logs/run_20260511_112010/greedy-maintenance_TD_W34_old_D504h_V1/results.csv
51,,0.0,504,40320,0.9175,398.6103,3644,1296,59852,56208,56206,217,50,218,217,217,217,4410,4607,0.0146,0.037,0.9484,0.0228,0.0697,0.9075,17,52,225,232,218,217,Greedy,Greedy maintenance,Greedy maintenance,Greedy: Greedy maintenance,run_logs/run_20260511_112010/greedy-maintenance_TD_W34_old_D504h_V1/results.csv
42,,0.0,672,40320,0.8018,386.977,12314,3635,80470,68156,68156,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.3242,0.3229,0.3529,249,248,252,249,0,0,DoNothing,Do nothing,Do nothing,DoNothing: Do nothing,run_logs/run_20260511_122659/do-nothing_TD_W34_old_D672h_V1/results.csv
43,,0.0,672,40320,0.8025,385.4426,11766,3994,79804,68038,68037,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.3268,0.319,0.3542,251,245,253,246,0,0,DoNothing,Do nothing,Do nothing,DoNothing: Do nothing,run_logs/run_20260511_122659/do-nothing_TD_W34_old_D672h_V1/results.csv
44,,0.0,672,40320,0.7937,383.372,12890,3554,79722,66832,66829,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.3307,0.3294,0.3398,254,253,257,253,0,0,DoNothing,Do nothing,Do nothing,DoNothing: Do nothing,run_logs/run_20260511_122659/do-nothing_TD_W34_old_D672h_V1/results.csv
45,,0.0,672,40320,0.806,382.8845,12187,3196,79284,67097,67097,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.3477,0.3333,0.319,267,256,267,257,0,0,DoNothing,Do nothing,Do nothing,DoNothing: Do nothing,run_logs/run_20260511_122659/do-nothing_TD_W34_old_D672h_V1/results.csv
46,,0.0,672,40320,0.8024,382.3758,12511,3116,79098,66587,66587,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.3307,0.3203,0.349,254,246,254,248,0,0,DoNothing,Do nothing,Do nothing,DoNothing: Do nothing,run_logs/run_20260511_122659/do-nothing_TD_W34_old_D672h_V1/results.csv
47,,0.0,672,40320,0.8047,384.5802,12033,3432,79192,67159,67159,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.3125,0.3307,0.3568,240,254,241,254,0,0,DoNothing,Do nothing,Do nothing,DoNothing: Do nothing,run_logs/run_20260511_122659/do-nothing_TD_W34_old_D672h_V1/results.csv
48,,0.0,672,40320,0.8052,383.1498,12023,3467,79512,67489,67489,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.3268,0.3177,0.3555,251,244,252,245,0,0,DoNothing,Do nothing,Do nothing,DoNothing: Do nothing,run_logs/run_20260511_122659/do-nothing_TD_W34_old_D672h_V1/results.csv
49,,0.0,672,40320,0.8085,383.3442,11841,3320,79150,67309,67308,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.3112,0.3294,0.3594,239,253,240,253,0,0,DoNothing,Do nothing,Do nothing,DoNothing: Do nothing,run_logs/run_20260511_122659/do-nothing_TD_W34_old_D672h_V1/results.csv
50,,0.0,672,40320,0.7981,383.7246,12289,3653,78950,66661,66660,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.3203,0.3229,0.3568,246,248,247,249,0,0,DoNothing,Do nothing,Do nothing,DoNothing: Do nothing,run_logs/run_20260511_122659/do-nothing_TD_W34_old_D672h_V1/results.csv
51,,0.0,672,40320,0.7988,383.1801,13104,3038,80224,67120,67120,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.3503,0.3307,0.319,269,254,271,254,0,0,DoNothing,Do nothing,Do nothing,DoNothing: Do nothing,run_logs/run_20260511_122659/do-nothing_TD_W34_old_D672h_V1/results.csv
42,Imbalance_severity_squared_temporal,0.0,504,40620,0.9094,398.1095,3922,1525,60092,56170,56171,152,41,178,152,152,143,6217,6363,0.025,0.0329,0.9421,0.0521,0.1302,0.8177,40,100,200,216,178,143,VFA,Imbalance_severity_squared_temporal,Imbalance severity squared temporal,VFA: Imbalance severity squared temporal,run_logs/VFA_only_results/vfa_Imbalance_severity_squared_temporal_TD_W34_old_D504h_V1/results.csv
