policy,experiment,experiment_label,label,mean,std,n,metric
Hybrid,EX12_ShortagePressure,EX12 ShortagePressure,Hybrid: EX12 ShortagePressure,0.9463900000000001,0.0017797939955699075,10,service_level
Hybrid,EX13_DemandWeightedBacklog,EX13 DemandWeightedBacklog,Hybrid: EX13 DemandWeightedBacklog,0.9459899999999999,0.0017660061658379713,10,service_level
Hybrid,EX14_RepairOpportunityLogistics,EX14 RepairOpportunityLogistics,Hybrid: EX14 RepairOpportunityLogistics,0.9423199999999999,0.002344639275738021,10,service_level
Hybrid,EX15_FleetBrokenGlobal,EX15 FleetBrokenGlobal,Hybrid: EX15 FleetBrokenGlobal,0.9486000000000001,0.0026562295750848317,10,service_level
Hybrid,EX16_DepotIdlePipeline,EX16 DepotIdlePipeline,Hybrid: EX16 DepotIdlePipeline,0.9455500000000001,0.002477117500465212,10,service_level
Hybrid,EX17_CompactMaintenanceFull,EX17 CompactMaintenanceFull,Hybrid: EX17 CompactMaintenanceFull,0.94239,0.0020272860895514627,10,service_level
Hybrid,EX20_FleetShortageLogistics,EX20 FleetShortageLogistics,Hybrid: EX20 FleetShortageLogistics,0.94632,0.002413756868912449,10,service_level
Hybrid,Imbalance,Imbalance,Hybrid: Imbalance,0.94335,0.003039828211520445,10,service_level
Hybrid,Imbalance_severity_squared_temporal,Imbalance severity squared temporal,Hybrid: Imbalance severity squared temporal,0.9457599999999999,0.0028371347048269085,10,service_level
Hybrid,Imbalance_severity_temporal,Imbalance severity temporal,Hybrid: Imbalance severity temporal,0.94612,0.0017868656605601132,10,service_level
Hybrid,Imbalance_squared,Imbalance squared,Hybrid: Imbalance squared,0.94371,0.0022849507653339113,10,service_level
Hybrid,Imbalance_squared_count_temporal,Imbalance squared count temporal,Hybrid: Imbalance squared count temporal,0.94629,0.002271294295721677,10,service_level
Hybrid,Imbalance_squared_temporal,Imbalance squared temporal,Hybrid: Imbalance squared temporal,0.9451,0.002730893219768569,10,service_level
Hybrid,Imbalance_temporal,Imbalance temporal,Hybrid: Imbalance temporal,0.94431,0.0018070540790038694,10,service_level
Hybrid,R4_NetTemporalAlternative,Net temporal,Hybrid: Net temporal,0.9448000000000001,0.0034114187338668608,10,service_level
Hybrid,Squared_only,Squared only,Hybrid: Squared only,0.9422200000000001,0.0032893092824414455,10,service_level
Hybrid,Squared_temporal,Squared temporal,Hybrid: Squared temporal,0.9449099999999999,0.0015487988177222292,10,service_level
VFA,EX12_ShortagePressure,EX12 ShortagePressure,VFA: EX12 ShortagePressure,0.9393,0.0020477630071209932,10,service_level
VFA,EX13_DemandWeightedBacklog,EX13 DemandWeightedBacklog,VFA: EX13 DemandWeightedBacklog,0.9368299999999999,0.003497951781638298,10,service_level
VFA,EX14_RepairOpportunityLogistics,EX14 RepairOpportunityLogistics,VFA: EX14 RepairOpportunityLogistics,0.9297000000000001,0.004059556626036901,10,service_level
VFA,EX15_FleetBrokenGlobal,EX15 FleetBrokenGlobal,VFA: EX15 FleetBrokenGlobal,0.94213,0.0031166399285840795,10,service_level
VFA,EX16_DepotIdlePipeline,EX16 DepotIdlePipeline,VFA: EX16 DepotIdlePipeline,0.9382999999999999,0.0031425396665047535,10,service_level
VFA,EX20_FleetShortageLogistics,EX20 FleetShortageLogistics,VFA: EX20 FleetShortageLogistics,0.9412900000000001,0.0027024474504089863,10,service_level
VFA,Imbalance,Imbalance,VFA: Imbalance,0.91723,0.0030419474756222926,10,service_level
VFA,Imbalance_severity_squared_temporal,Imbalance severity squared temporal,VFA: Imbalance severity squared temporal,0.9373699999999999,0.00291892293682294,10,service_level
VFA,Imbalance_severity_temporal,Imbalance severity temporal,VFA: Imbalance severity temporal,0.9370900000000001,0.0031373909896954518,10,service_level
