seed,day,hour,functional_pickups,functional_deliveries,onsite_repairs,depot_pickups,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
45,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,8,0,202,171,210,0,0,0,0,0,0,0
45,0,6,21,15,0,0,0,0,6,0,0,0.0,0.0,0,0,0,0,10,0,160,165,170,0,0,0,0,0,0,0
45,0,7,15,13,0,0,0,0,3,0,0,0.0,0.0,0,0,0,0,4,4,152,152,156,0,0,0,0,0,0,0
45,0,8,22,20,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,1,1,107,124,108,0,0,0,0,0,0,0
45,0,9,10,20,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,5,1,149,139,154,0,0,0,0,0,0,0
45,0,10,25,25,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,3,1,155,140,158,0,0,0,0,0,0,0
45,0,11,13,7,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,3,2,195,190,198,0,0,0,0,0,0,0
45,0,12,20,26,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,3,3,247,251,250,0,0,0,0,0,0,0
45,0,13,19,19,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,5,0,191,194,196,0,0,0,0,0,0,0
45,0,14,25,18,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,51,3,377,340,428,0,0,0,0,0,0,0
45,0,15,27,21,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,23,9,211,250,234,0,0,0,0,0,0,0
45,0,16,18,11,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,32,4,176,177,208,0,0,0,0,0,0,0
45,0,17,20,20,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,10,3,168,164,178,0,0,0,0,0,0,0
45,0,18,18,38,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,3,1,141,142,144,0,0,0,0,0,0,0
45,0,19,26,14,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,1,3,91,95,92,0,0,0,0,0,0,0
45,0,20,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,1,96,115,98,0,0,0,0,0,0,0
45,0,21,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,64,62,64,0,0,0,0,0,0,0
45,0,22,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0
45,0,23,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0
45,1,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,34,25,34,0,0,0,0,0,0,0
45,1,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,1,220,193,222,0,0,0,0,0,0,0
45,1,6,26,26,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,16,3,184,181,200,0,0,0,0,0,0,0
45,1,7,12,24,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,5,8,103,125,108,0,0,0,0,0,0,0
45,1,8,17,17,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,2,3,92,89,94,0,0,0,0,0,0,0
45,1,9,18,18,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,6,3,166,148,172,0,0,0,0,0,0,0
45,1,10,25,10,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,1,3,177,181,178,0,0,0,0,0,0,0
45,1,11,25,20,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,2,2,154,170,156,0,0,0,0,0,0,0
45,1,12,27,27,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,13,3,227,210,240,0,0,0,0,0,0,0
45,1,13,20,30,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,24,3,306,271,330,0,0,0,0,0,0,0
45,1,14,10,15,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,46,2,306,308,352,0,0,0,0,0,0,0
45,1,15,20,25,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,15,5,229,254,244,0,0,0,0,0,0,0
45,1,16,13,7,0,0,0,0,3,0,0,0.0,0.0,0,0,0,0,12,3,208,214,220,0,0,0,0,0,0,0
45,1,17,24,20,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,8,4,180,175,188,0,0,0,0,0,0,0
45,1,18,18,25,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,10,0,126,148,136,0,0,0,0,0,0,0
45,1,19,17,20,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,3,0,103,99,106,0,0,0,0,0,0,0
45,1,20,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,85,87,86,0,0,0,0,0,0,0
45,1,21,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0,36,47,38,0,0,0,0,0,0,0
45,1,22,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
45,1,23,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,2,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0,25,18,28,0,0,0,0,0,0,0
45,2,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,14,1,180,154,194,0,0,0,0,0,0,0
45,2,6,29,27,0,0,0,0,6,0,0,0.0,0.0,0,0,0,0,16,12,216,221,232,0,0,0,0,0,0,0
45,2,7,29,11,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,25,3,143,142,168,0,0,0,0,0,0,0
45,2,8,20,34,0,0,0,0,6,0,0,0.0,0.0,0,0,0,0,6,3,152,141,158,0,0,0,0,0,0,0
45,2,9,22,22,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,18,7,134,153,152,0,0,0,0,0,0,0
45,2,10,27,13,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,13,0,157,152,170,0,0,0,0,0,0,0
45,2,11,20,38,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,6,0,166,148,172,0,0,0,0,0,0,0
45,2,12,18,11,0,0,0,0,2,0,0,0.0,0.0,0,0,0,0,13,0,191,199,204,0,0,0,0,0,0,0
45,2,13,21,20,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,9,1,327,312,336,0,0,0,0,0,0,0
45,2,14,25,25,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,20,8,296,303,316,0,0,0,0,0,0,0
45,2,15,27,24,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,9,12,261,259,270,0,0,0,0,0,0,0
45,2,16,27,20,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,5,0,235,238,240,0,0,0,0,0,0,0
45,2,17,8,28,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,4,2,190,203,194,0,0,0,0,0,0,0
45,2,18,20,14,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,3,6,153,153,156,0,0,0,0,0,0,0
45,2,19,7,6,0,0,0,0,2,0,0,0.0,0.0,0,0,0,0,2,1,72,88,74,0,0,0,0,0,0,0
45,2,20,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,8,0,90,96,98,0,0,0,0,0,0,0
45,2,21,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,6,0,84,78,90,0,0,0,0,0,0,0
45,2,22,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,3,0,14,0,0,0,0,0,0,0,0
45,2,23,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,30,24,30,0,0,0,0,0,0,0
45,3,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,24,0,168,141,192,0,0,0,0,0,0,0
45,3,6,20,15,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,4,0,200,201,204,0,0,0,0,0,0,0
45,3,7,30,22,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,16,5,154,159,170,0,0,0,0,0,0,0
45,3,8,18,29,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,7,1,141,137,148,0,0,0,0,0,0,0
45,3,9,25,24,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,4,0,184,189,188,0,0,0,0,0,0,0
45,3,10,20,25,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,6,1,178,179,184,0,0,0,0,0,0,0
45,3,11,30,15,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,8,1,190,182,198,0,0,0,0,0,0,0
45,3,12,11,31,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,5,0,221,219,226,0,0,0,0,0,0,0
45,3,13,28,18,0,0,0,0,6,0,0,0.0,0.0,0,0,0,0,8,1,294,282,302,0,0,0,0,0,0,0
45,3,14,12,16,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,3,11,361,338,364,0,0,0,0,0,0,0
45,3,15,19,19,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,7,6,291,307,298,0,0,0,0,0,0,0
45,3,16,14,13,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,4,6,262,273,266,0,0,0,0,0,0,0
45,3,17,13,20,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,8,3,166,171,174,0,0,0,0,0,0,0
45,3,18,27,22,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,1,2,165,176,166,0,0,0,0,0,0,0
45,3,19,26,13,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,3,0,137,134,140,0,0,0,0,0,0,0
45,3,20,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,94,110,94,0,0,0,0,0,0,0
45,3,21,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,58,62,58,0,0,0,0,0,0,0
45,3,22,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
45,3,23,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,4,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,4,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,4,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,4,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,5,17,15,18,0,0,0,0,0,0,0
45,4,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,10,0,194,164,204,0,0,0,0,0,0,0
45,4,6,28,26,0,0,0,0,6,0,0,0.0,0.0,0,0,0,0,14,2,190,193,204,0,0,0,0,0,0,0
45,4,7,10,30,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,7,0,141,140,148,0,0,0,0,0,0,0
45,4,8,26,16,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,2,1,140,150,142,0,0,0,0,0,0,0
45,4,9,23,23,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,0,0,144,140,144,0,0,0,0,0,0,0
45,4,10,26,16,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,8,0,200,192,208,0,0,0,0,0,0,0
45,4,11,20,20,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,3,11,199,189,202,0,0,0,0,0,0,0
45,4,12,19,39,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,10,0,248,240,258,0,0,0,0,0,0,0
45,4,13,29,9,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,12,1,308,305,320,0,0,0,0,0,0,0
45,4,14,15,35,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,12,3,294,306,306,0,0,0,0,0,0,0
45,4,15,21,16,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,11,3,235,232,246,0,0,0,0,0,0,0
45,4,16,17,12,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,7,0,183,191,190,0,0,0,0,0,0,0
45,4,17,21,18,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,8,3,128,139,136,0,0,0,0,0,0,0
45,4,18,19,25,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,6,0,98,111,104,0,0,0,0,0,0,0
45,4,19,16,23,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,3,0,67,63,70,0,0,0,0,0,0,0
45,4,20,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,6,0,54,60,60,0,0,0,0,0,0,0
45,4,21,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0,63,70,66,0,0,0,0,0,0,0
45,4,22,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,4,23,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
45,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,5,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,5,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,5,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,5,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,18,16,18,0,0,0,0,0,0,0
45,5,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,12,13,12,0,0,0,0,0,0,0
45,5,6,40,20,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,1,1,37,33,38,0,0,0,0,0,0,0
45,5,7,6,20,0,0,0,0,3,0,0,0.0,0.0,0,0,0,0,0,0,74,67,74,0,0,0,0,0,0,0
45,5,8,12,18,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,5,0,81,79,86,0,0,0,0,0,0,0
45,5,9,20,20,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,3,0,137,125,140,0,0,0,0,0,0,0
45,5,10,35,15,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,6,1,206,200,212,0,0,0,0,0,0,0
45,5,11,20,30,0,0,0,0,3,0,0,0.0,0.0,0,0,0,0,11,4,179,180,190,0,0,0,0,0,0,0
45,5,12,28,18,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,4,1,250,226,254,0,0,0,0,0,0,0
45,5,13,8,28,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,1,2,183,202,184,0,0,0,0,0,0,0
45,5,14,36,26,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,6,3,186,192,192,0,0,0,0,0,0,0
45,5,15,8,18,0,0,0,0,3,0,0,0.0,0.0,0,0,0,0,6,2,188,185,194,0,0,0,0,0,0,0
45,5,16,17,17,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,2,1,184,183,186,0,0,0,0,0,0,0
45,5,17,20,20,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,1,0,115,132,116,0,0,0,0,0,0,0
45,5,18,38,19,0,0,0,0,6,0,0,0.0,0.0,0,0,0,0,2,0,112,106,114,0,0,0,0,0,0,0
45,5,19,15,20,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,3,0,85,88,88,0,0,0,0,0,0,0
45,5,20,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0,66,69,68,0,0,0,0,0,0,0
45,5,21,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,83,79,84,0,0,0,0,0,0,0
45,5,22,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
45,5,23,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
45,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,6,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,6,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,6,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,6,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,26,22,26,0,0,0,0,0,0,0
45,6,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,21,19,22,0,0,0,0,0,0,0
45,6,6,16,20,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,0,0,20,23,20,0,0,0,0,0,0,0
45,6,7,22,17,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,0,0,34,33,34,0,0,0,0,0,0,0
45,6,8,25,20,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,0,0,40,35,40,0,0,0,0,0,0,0
45,6,9,22,27,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,0,0,82,70,82,0,0,0,0,0,0,0
45,6,10,11,13,0,0,0,0,3,0,0,0.0,0.0,0,0,0,0,0,4,136,126,136,0,0,0,0,0,0,0
45,6,11,25,18,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,0,0,102,106,102,0,0,0,0,0,0,0
45,6,12,20,20,0,0,0,0,3,0,0,0.0,0.0,0,0,0,0,0,0,124,130,124,0,0,0,0,0,0,0
45,6,13,23,26,0,0,0,0,6,0,0,0.0,0.0,0,0,0,0,3,0,185,168,188,0,0,0,0,0,0,0
45,6,14,10,17,0,0,0,0,3,0,0,0.0,0.0,0,0,0,0,5,0,149,160,154,0,0,0,0,0,0,0
