seed,day,hour,functional_pickups,functional_deliveries,onsite_repairs,depot_pickups,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
45,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,8,0,202,171,210,0,0,0,0,0,0,0
45,0,6,19,14,0,0,0,0,6,0,0,0.0,0.0,0,0,0,0,12,0,158,160,170,0,0,0,0,0,0,0
45,0,7,26,15,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,2,4,106,117,108,0,0,0,0,0,0,0
45,0,8,10,26,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,0,2,134,134,134,0,0,0,0,0,0,0
45,0,9,30,10,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,1,0,167,160,168,0,0,0,0,0,0,0
45,0,10,10,30,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,2,0,166,153,168,0,0,0,0,0,0,0
45,0,11,28,18,0,0,0,0,6,0,0,0.0,0.0,0,0,0,0,4,0,200,196,204,0,0,0,0,0,0,0
45,0,12,15,25,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,1,0,227,230,228,0,0,0,0,0,0,0
45,0,13,34,27,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,5,6,225,219,230,0,0,0,0,0,0,0
45,0,14,20,27,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,41,5,357,341,398,0,0,0,0,0,0,0
45,0,15,20,13,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,13,2,211,230,224,0,0,0,0,0,0,0
45,0,16,22,18,0,0,0,0,6,0,0,0.0,0.0,0,0,0,0,9,9,169,172,178,0,0,0,0,0,0,0
45,0,17,15,15,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,4,6,182,183,186,0,0,0,0,0,0,0
45,0,18,20,11,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,1,2,115,131,116,0,0,0,0,0,0,0
45,0,19,20,29,0,0,0,0,6,0,0,0.0,0.0,0,0,0,0,1,2,113,106,114,0,0,0,0,0,0,0
45,0,20,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,76,87,76,0,0,0,0,0,0,0
45,0,21,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,74,76,74,0,0,0,0,0,0,0
45,0,22,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
45,0,23,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,36,30,36,0,0,0,0,0,0,0
45,1,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,12,0,180,151,192,0,0,0,0,0,0,0
45,1,6,20,26,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,13,1,199,190,212,0,0,0,0,0,0,0
45,1,7,20,18,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,12,3,132,146,144,0,0,0,0,0,0,0
45,1,8,23,30,0,0,0,0,6,0,0,0.0,0.0,0,0,0,0,10,0,116,128,126,0,0,0,0,0,0,0
45,1,9,29,19,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,6,1,168,147,174,0,0,0,0,0,0,0
45,1,10,26,20,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,13,2,137,152,150,0,0,0,0,0,0,0
45,1,11,24,32,0,0,0,0,6,0,0,0.0,0.0,0,0,0,0,3,0,181,173,184,0,0,0,0,0,0,0
45,1,12,19,14,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,12,1,274,257,286,0,0,0,0,0,0,0
45,1,13,22,15,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,10,0,292,272,302,0,0,0,0,0,0,0
45,1,14,21,26,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,24,4,372,360,396,0,0,0,0,0,0,0
45,1,15,12,16,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,2,1,208,247,210,0,0,0,0,0,0,0
45,1,16,20,11,0,0,0,0,6,0,0,0.0,0.0,0,0,0,0,8,3,222,220,230,0,0,0,0,0,0,0
45,1,17,20,20,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,11,0,163,176,174,0,0,0,0,0,0,0
45,1,18,15,20,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,2,0,146,143,148,0,0,0,0,0,0,0
45,1,19,16,31,0,0,0,0,6,0,0,0.0,0.0,0,0,0,0,4,3,96,104,100,0,0,0,0,0,0,0
45,1,20,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,93,103,94,0,0,0,0,0,0,0
45,1,21,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,59,65,60,0,0,0,0,0,0,0
45,1,22,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0
45,1,23,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2,4,2,0,0,0,0,0,0,0
45,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,2,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,2,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,44,40,44,0,0,0,0,0,0,0
45,2,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,18,8,160,132,178,0,0,0,0,0,0,0
45,2,6,33,17,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,23,23,207,217,230,0,0,0,0,0,0,0
45,2,7,20,26,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,22,1,162,163,184,0,0,0,0,0,0,0
45,2,8,27,17,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,12,2,124,122,136,0,0,0,0,0,0,0
45,2,9,22,27,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,16,0,148,147,164,0,0,0,0,0,0,0
45,2,10,24,25,0,0,0,0,7,0,0,0.0,0.0,0,0,0,0,17,0,167,163,184,0,0,0,0,0,0,0
45,2,11,24,18,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,12,6,162,172,174,0,0,0,0,0,0,0
45,2,12,13,13,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,19,4,205,190,224,0,0,0,0,0,0,0
45,2,13,10,30,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,11,6,289,272,300,0,0,0,0,0,0,0
45,2,14,26,26,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,23,1,301,303,324,0,0,0,0,0,0,0
45,2,15,19,6,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,19,1,249,260,268,0,0,0,0,0,0,0
45,2,16,23,16,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,23,0,195,194,218,0,0,0,0,0,0,0
45,2,17,21,27,0,0,0,0,6,0,0,0.0,0.0,0,0,0,0,4,1,218,200,222,0,0,0,0,0,0,0
45,2,18,15,24,0,0,0,0,6,0,0,0.0,0.0,0,0,0,0,3,0,135,171,138,0,0,0,0,0,0,0
45,2,19,13,11,0,0,0,0,3,0,0,0.0,0.0,0,0,0,0,4,0,104,110,108,0,0,0,0,0,0,0
45,2,20,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,80,77,80,0,0,0,0,0,0,0
45,2,21,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,10,0,56,71,66,0,0,0,0,0,0,0
45,2,22,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
45,2,23,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0,22,18,24,0,0,0,0,0,0,0
45,3,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,13,0,165,138,178,0,0,0,0,0,0,0
45,3,6,26,13,0,0,0,0,6,0,0,0.0,0.0,0,0,0,0,13,0,207,199,220,0,0,0,0,0,0,0
45,3,7,24,24,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,18,8,176,184,194,0,0,0,0,0,0,0
45,3,8,24,24,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,12,14,156,158,168,0,0,0,0,0,0,0
45,3,9,20,30,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,6,0,154,150,160,0,0,0,0,0,0,0
45,3,10,16,20,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,11,0,175,181,186,0,0,0,0,0,0,0
45,3,11,33,19,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,6,1,166,160,172,0,0,0,0,0,0,0
45,3,12,20,20,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,6,2,216,209,222,0,0,0,0,0,0,0
45,3,13,19,39,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,10,3,294,263,304,0,0,0,0,0,0,0
45,3,14,20,7,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,16,14,344,348,360,0,0,0,0,0,0,0
45,3,15,17,26,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,15,21,293,298,308,0,0,0,0,0,0,0
45,3,16,28,12,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,3,8,253,263,256,0,0,0,0,0,0,0
45,3,17,8,16,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,2,3,230,241,232,0,0,0,0,0,0,0
45,3,18,20,17,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,4,4,178,178,182,0,0,0,0,0,0,0
45,3,19,25,20,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,0,1,96,120,96,0,0,0,0,0,0,0
45,3,20,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5,4,83,78,88,0,0,0,0,0,0,0
45,3,21,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0,88,96,90,0,0,0,0,0,0,0
45,3,22,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
45,3,23,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,4,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,4,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,4,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,4,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,26,32,0,0,0,0,0,0,0
45,4,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,11,0,165,147,176,0,0,0,0,0,0,0
45,4,6,14,20,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,16,0,198,189,214,0,0,0,0,0,0,0
45,4,7,21,35,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,18,1,142,144,160,0,0,0,0,0,0,0
45,4,8,20,10,0,0,0,0,3,0,0,0.0,0.0,0,0,0,0,4,2,146,143,150,0,0,0,0,0,0,0
45,4,9,28,18,0,0,0,0,6,0,0,0.0,0.0,0,0,0,0,9,0,137,144,146,0,0,0,0,0,0,0
45,4,10,15,27,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,8,0,188,179,196,0,0,0,0,0,0,0
45,4,11,20,18,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,10,0,218,212,228,0,0,0,0,0,0,0
45,4,12,30,20,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,3,0,217,217,220,0,0,0,0,0,0,0
45,4,13,13,20,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,4,2,284,280,288,0,0,0,0,0,0,0
45,4,14,17,30,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,9,3,289,297,298,0,0,0,0,0,0,0
45,4,15,20,7,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,8,2,208,203,216,0,0,0,0,0,0,0
45,4,16,22,20,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,4,6,180,183,184,0,0,0,0,0,0,0
45,4,17,10,21,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,5,2,117,137,122,0,0,0,0,0,0,0
45,4,18,26,18,0,0,0,0,6,0,0,0.0,0.0,0,0,0,0,2,0,100,97,102,0,0,0,0,0,0,0
45,4,19,18,30,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,5,3,85,93,90,0,0,0,0,0,0,0
45,4,20,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,2,89,83,90,0,0,0,0,0,0,0
45,4,21,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,7,45,56,48,0,0,0,0,0,0,0
45,4,22,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
45,4,23,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,5,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,5,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,5,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,5,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,18,15,18,0,0,0,0,0,0,0
45,5,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,10,12,10,0,0,0,0,0,0,0
45,5,6,23,13,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,1,0,45,35,46,0,0,0,0,0,0,0
45,5,7,10,10,0,0,0,0,3,0,0,0.0,0.0,0,0,0,0,2,0,52,46,54,0,0,0,0,0,0,0
45,5,8,20,20,0,0,0,0,3,0,0,0.0,0.0,0,0,0,0,1,0,81,86,82,0,0,0,0,0,0,0
45,5,9,13,23,0,0,0,0,6,0,0,0.0,0.0,0,0,0,0,3,0,119,98,122,0,0,0,0,0,0,0
45,5,10,20,8,0,0,0,0,3,0,0,0.0,0.0,0,0,0,0,3,0,201,197,204,0,0,0,0,0,0,0
45,5,11,8,20,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,18,0,170,181,188,0,0,0,0,0,0,0
45,5,12,32,12,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,19,5,235,220,254,0,0,0,0,0,0,0
45,5,13,27,30,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,8,3,200,202,208,0,0,0,0,0,0,0
45,5,14,20,32,0,0,0,0,6,0,0,0.0,0.0,0,0,0,0,2,2,190,187,192,0,0,0,0,0,0,0
45,5,15,16,13,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,15,1,209,208,224,0,0,0,0,0,0,0
45,5,16,25,28,0,0,0,0,7,0,0,0.0,0.0,0,0,0,0,2,0,156,170,158,0,0,0,0,0,0,0
45,5,17,17,7,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,0,6,122,123,122,0,0,0,0,0,0,0
45,5,18,5,17,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,4,1,122,128,126,0,0,0,0,0,0,0
45,5,19,24,22,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,0,0,92,94,92,0,0,0,0,0,0,0
45,5,20,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5,1,79,85,84,0,0,0,0,0,0,0
45,5,21,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,3,88,84,88,0,0,0,0,0,0,0
45,5,22,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
45,5,23,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,6,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,6,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,6,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,6,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,9,8,10,0,0,0,0,0,0,0
45,6,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,18,14,18,0,0,0,0,0,0,0
45,6,6,28,21,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,0,0,18,22,18,0,0,0,0,0,0,0
45,6,7,32,24,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,1,2,41,31,42,0,0,0,0,0,0,0
45,6,8,22,22,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,0,0,38,41,38,0,0,0,0,0,0,0
45,6,9,16,16,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,1,0,111,95,112,0,0,0,0,0,0,0
45,6,10,8,20,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,1,0,133,128,134,0,0,0,0,0,0,0
45,6,11,20,16,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,3,5,119,124,122,0,0,0,0,0,0,0
45,6,12,15,27,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,0,2,104,110,104,0,0,0,0,0,0,0
45,6,13,20,7,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,10,1,170,155,180,0,0,0,0,0,0,0
45,6,14,17,18,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,7,1,143,146,150,0,0,0,0,0,0,0
