seed,day,hour,functional_pickups,functional_deliveries,onsite_repairs,depot_pickups,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
44,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,10,2,180,150,190,0,0,0,0,0,0,0
44,0,6,20,20,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,10,1,158,152,168,0,0,0,0,0,0,0
44,0,7,30,25,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,8,5,118,132,126,0,0,0,0,0,0,0
44,0,8,15,20,0,0,0,0,3,0,0,0.0,0.0,0,0,0,0,1,3,127,132,128,0,0,0,0,0,0,0
44,0,9,34,24,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,1,3,149,136,150,0,0,0,0,0,0,0
44,0,10,20,19,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,0,0,194,187,194,0,0,0,0,0,0,0
44,0,11,18,29,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,1,0,175,171,176,0,0,0,0,0,0,0
44,0,12,33,16,0,0,0,0,3,0,0,0.0,0.0,0,0,0,0,2,0,236,230,238,0,0,0,0,0,0,0
44,0,13,20,28,0,0,0,0,6,0,0,0.0,0.0,0,0,0,0,4,4,272,268,276,0,0,0,0,0,0,0
44,0,14,31,20,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,25,11,323,313,348,0,0,0,0,0,0,0
44,0,15,13,20,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,17,5,191,215,208,0,0,0,0,0,0,0
44,0,16,20,22,0,0,0,0,5,0,0,0.0,0.0,0,0,0,0,1,0,185,176,186,0,0,0,0,0,0,0
44,0,17,30,21,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,1,3,139,154,140,0,0,0,0,0,0,0
44,0,18,11,26,0,0,0,0,4,0,0,0.0,0.0,0,0,0,0,2,0,110,120,112,0,0,0,0,0,0,0
44,0,19,18,13,0,0,0,0,3,0,0,0.0,0.0,0,0,0,0,1,0,109,100,110,0,0,0,0,0,0,0
44,0,20,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,0,68,83,72,0,0,0,0,0,0,0
44,0,21,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,74,69,74,0,0,0,0,0,0,0
44,0,22,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,4,0,17,0,0,0,0,0,0,0,0
44,0,23,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
44,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,22,17,22,0,0,0,0,0,0,0
