seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_exponential_starvation_penalty,phi_exponential_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_global_depot_backlog,phi_demand_weighted_depot_backlog,phi_demand_weighted_onsite_backlog,phi_fleet_broken_fraction,phi_depot_idle_fraction,phi_recoverable_starvation,phi_maintenance_urgency,phi_rush_hour_onsite_backlog,phi_fleet_failure_risk,phi_fleet_health_deficit,phi_fleet_low_health_fraction,phi_depot_bound_health_deficit,phi_onsite_health_deficit,phi_maintenance_restoration_value,phi_time_remaining_fraction,phi_functional_bikes_time_penalty,phi_reachable_imbalance_fraction,phi_recoverable_imbalance_fraction,phi_imbalance_hotspot_distance,phi_destination_starv_ratio,phi_destination_cong_ratio,phi_destination_onsite_fraction,phi_destination_depot_fraction,phi_destination_travel_penalty,phi_destination_roi_starvation,phi_cur_station_onsite_fraction,phi_cur_station_func_deficit,phi_functional_load_late_pressure,phi_depot_load_late_pressure,phi_non_depot_late_load_pressure,phi_late_depot_return,phi_depot_slack_fraction,phi_can_return_to_depot,phi_depot_return_urgency
49,7,6,1,D0,True,12,0,12,0,0,0,0,0,0,[],3.0,S65,3.15,12,0,12,0.0,,-0.389942,-8.126042,-8.515984,True,True,5,S34,True,4,0.2756,depot_passthrough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,6,22,S65,False,12,0,12,12,0,0,0,0,0,"['B430', 'B608', 'B2', 'B314', 'B388', 'B101', 'B392', 'B542', 'B190', 'B55', 'B296', 'B582']",9.0,S47,1.6,0,0,0,0.0,,-0.330907,-8.135947,-8.466854,False,False,12,S16,True,6,0.969,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,6,33,S47,False,0,0,0,0,18,0,0,0,0,"['B579', 'B372', 'B540', 'B232', 'B162', 'B52', 'B753', 'B691', 'B118', 'B432', 'B461', 'B712', 'B680', 'B521', 'B27', 'B36', 'B14', 'B679']",12.0,S26,7.49,18,0,18,0.0,,-0.313345,-8.158691,-8.472037,False,False,18,S41,True,13,1.798,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,6,52,S26,False,18,0,18,18,0,0,0,0,0,"['B579', 'B372', 'B540', 'B232', 'B162', 'B52', 'B753', 'B691', 'B118', 'B432', 'B461', 'B712', 'B680', 'B521', 'B27', 'B36', 'B14', 'B679']",12.0,S55,6.67,0,0,0,0.0,,-0.212638,-8.114028,-8.326665,False,False,12,S54,True,6,1.369,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,7,11,S55,False,0,0,0,0,14,0,0,0,0,"['B6', 'B274', 'B295', 'B206', 'B416', 'B738', 'B135', 'B0', 'B421', 'B204', 'B178', 'B670', 'B425', 'B665']",10.0,S27,5.34,14,0,14,0.0,,-0.177092,-8.000691,-8.177783,True,False,36,S49,True,15,2.9217,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,7,26,S27,False,14,0,14,14,0,0,0,0,0,"['B6', 'B274', 'B295', 'B206', 'B416', 'B738', 'B135', 'B0', 'B421', 'B204', 'B178', 'B670', 'B425', 'B665']",10.0,S54,4.59,0,0,0,0.0,,-0.195382,-7.879757,-8.075139,True,False,24,S45,True,13,1.8297,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,7,41,S54,False,0,0,0,0,16,0,0,0,0,"['B65', 'B248', 'B732', 'B258', 'B459', 'B366', 'B182', 'B277', 'B47', 'B755', 'B683', 'B31', 'B332', 'B318', 'B104', 'B395']",11.0,S34,2.69,16,0,16,0.0,,-0.142205,-7.828224,-7.970429,False,False,18,S49,True,7,1.3318,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,7,55,S34,False,16,0,16,15,0,0,0,0,0,"['B65', 'B248', 'B732', 'B258', 'B459', 'B366', 'B182', 'B277', 'B47', 'B755', 'B683', 'B31', 'B332', 'B318', 'B104']",10.5,S49,7.37,1,0,1,0.0,,-0.266356,-7.857371,-8.123727,False,False,18,S45,True,13,1.6645,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,8,12,S49,False,1,0,1,0,19,1,0,0,0,"['B590', 'B267', 'B761', 'B681', 'B447', 'B78', 'B423', 'B585', 'B163', 'B227', 'B228', 'B151', 'B500', 'B400', 'B725', 'B161', 'B625', 'B509', 'B471']",15.5,S15,6.4,20,0,20,0.0,,-0.17125,-7.702715,-7.873965,True,True,36,S40,True,30,2.6126,pickup+onsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,8,34,S15,False,20,0,20,20,0,0,0,0,0,"['B395', 'B590', 'B267', 'B761', 'B681', 'B447', 'B78', 'B423', 'B585', 'B163', 'B227', 'B228', 'B151', 'B500', 'B400', 'B725', 'B161', 'B625', 'B509', 'B471']",13.0,S42,6.77,0,0,0,0.0,,-0.271794,-7.598198,-7.869992,False,False,18,S45,True,15,1.2556,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,8,54,S42,False,0,0,0,0,11,0,0,0,0,"['B137', 'B299', 'B56', 'B482', 'B527', 'B632', 'B308', 'B243', 'B159', 'B488', 'B689']",8.5,S40,6.18,11,0,11,0.0,,-0.21282,-7.593642,-7.806462,False,False,18,S37,True,15,1.0505,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,9,9,S40,False,11,0,11,9,0,0,0,0,0,"['B137', 'B299', 'B56', 'B482', 'B527', 'B632', 'B308', 'B243', 'B159']",7.5,S52,2.21,2,0,2,0.0,,-0.200414,-7.621609,-7.822024,False,False,18,S52,False,9,1.3081,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,9,19,S52,False,2,0,2,0,9,0,0,0,0,"['B667', 'B97', 'B364', 'B115', 'B604', 'B611', 'B506', 'B329', 'B71']",7.5,S66,3.13,11,0,11,0.0,,-0.189254,-7.562541,-7.751795,True,False,36,S37,True,25,2.6127,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7,9,29,S66,False,11,0,11,11,0,0,2,0,0,"['B555', 'B618', 'B488', 'B689', 'B667', 'B97', 'B364', 'B115', 'B604', 'B611', 'B506', 'B329', 'B71']",9.5,S37,3.07,0,2,2,0.0,,-0.188986,-7.651128,-7.840114,True,True,36,S32,True,30,2.7889,delivery+depot_removal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
