seed,exp_name,alpha,duration_hours,total_runtime_s,service_level,avg_bike_km_driven,starvations,congestions,total_trips,bike_departures,bike_arrivals,total_depot_deliveries,total_depot_visits,total_fixed_on_site,total_picked_up_to_depot,total_depot_fixes,total_bikes_redistributed_from_depot,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,broken_bikes_end_onsite,broken_bikes_end_depot,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
42,Imbalance_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9283,399.6395,2926,1384,60092,57166,57166,160,41,219,160,160,148,6227,6544,0.025,0.0329,0.9421,0.0143,0.1081,0.8776,11,83,213,207,219,148
43,Imbalance_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9318,397.8727,2746,1349,60072,57326,57329,143,41,217,143,143,143,6220,6503,0.0235,0.047,0.9295,0.0209,0.1175,0.8616,16,90,216,198,217,143
44,Imbalance_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9261,398.0573,3025,1401,59914,56889,56890,160,42,212,160,160,163,6117,6446,0.0172,0.0385,0.9443,0.0223,0.123,0.8547,17,94,217,218,212,163
45,Imbalance_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9232,395.6539,3228,1339,59498,56270,56274,179,42,200,179,179,171,6161,6520,0.0303,0.0421,0.9276,0.0404,0.1289,0.8307,31,99,210,236,200,171
46,Imbalance_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9322,396.842,2893,1118,59172,56279,56276,156,41,202,154,156,160,6172,6486,0.0185,0.0278,0.9536,0.0248,0.1186,0.8566,19,91,207,221,202,160
47,Imbalance_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9307,397.276,2899,1218,59398,56499,56502,147,41,210,147,147,146,6139,6452,0.0105,0.0553,0.9342,0.0169,0.1641,0.819,13,126,217,231,210,146
48,Imbalance_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9281,396.5373,3092,1199,59704,56612,56618,146,43,194,146,146,137,6278,6574,0.0119,0.045,0.943,0.021,0.1533,0.8257,16,117,201,223,194,137
49,Imbalance_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9299,397.1587,2687,1457,59148,56461,56457,149,41,195,149,149,145,6252,6550,0.013,0.0417,0.9452,0.0313,0.1265,0.8422,24,97,209,215,195,145
50,Imbalance_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9323,396.4082,2931,1089,59412,56481,56474,153,40,229,153,153,150,6134,6452,0.0225,0.0436,0.9339,0.0209,0.1216,0.8575,16,93,234,214,229,150
51,Imbalance_squared_temporal_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40620,0.9325,398.2595,2744,1275,59574,56830,56831,157,42,227,154,157,152,6252,6562,0.0224,0.0342,0.9434,0.0326,0.112,0.8555,25,86,235,204,227,152
