seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
43,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0239,0.0305
43,7,5,5,350,361,2,3,202,76,3014,2812,2815,7,11,18,3,12,15,0.0289,0.0407
43,8,5,5,288,308,2,1,121,117,3138,3017,3016,11,5,16,13,1,14,0.0262,0.0459
43,9,5,5,322,329,2,2,157,50,3148,2991,2984,11,11,22,10,4,14,0.0275,0.0563
43,10,5,5,312,317,2,4,116,100,3470,3354,3364,17,8,25,13,2,15,0.0328,0.063
43,11,5,5,284,290,2,12,98,51,3178,3080,3079,11,12,23,11,0,11,0.0333,0.064
43,12,5,5,329,337,2,8,47,24,2370,2323,2325,4,8,12,6,12,18,0.0305,0.0637
43,13,5,5,298,318,1,0,16,29,1692,1676,1669,6,3,9,8,0,8,0.0279,0.0676
43,14,5,5,312,332,2,11,194,59,3030,2836,2836,10,11,21,7,12,19,0.0318,0.0675
43,15,5,5,309,311,2,8,188,53,2938,2750,2754,10,12,22,5,8,13,0.0384,0.0728
43,16,5,5,293,306,2,5,177,32,3262,3085,3084,13,13,26,14,11,25,0.0368,0.0828
43,17,5,5,278,307,2,9,187,26,3470,3283,3279,9,10,19,12,0,12,0.0332,0.0838
43,18,5,5,319,326,2,5,173,42,3142,2969,2972,10,7,17,10,14,24,0.0329,0.0854
43,19,5,5,276,290,2,11,64,39,2326,2262,2268,9,12,21,13,0,13,0.028,0.088
43,20,5,5,224,250,2,12,8,51,1720,1712,1706,9,4,13,8,5,13,0.0296,0.0781
43,21,5,5,308,320,2,4,241,109,3236,2995,2996,9,14,23,11,23,34,0.0262,0.0892
43,22,5,5,318,339,2,9,155,79,3076,2921,2917,18,10,28,11,0,11,0.0359,0.0916
43,23,5,5,301,297,2,1,191,78,3268,3077,3079,17,7,24,11,12,23,0.0419,0.0982
43,24,5,5,296,325,2,9,129,128,3372,3243,3246,14,13,27,10,1,11,0.0476,0.1045
43,25,5,5,315,307,2,4,187,94,3304,3117,3117,9,10,19,15,1,16,0.0398,0.1129
43,26,5,5,243,275,2,12,53,55,2308,2255,2256,5,12,17,11,13,24,0.0318,0.1127
43,27,5,5,245,258,2,13,42,57,1610,1568,1567,7,5,12,15,12,27,0.0212,0.1023
