seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
49,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133,0.0226
49,7,5,5,358,352,2,1,150,74,3154,3004,3001,8,13,21,2,1,3,0.0213,0.0386
49,8,5,5,297,306,2,2,180,46,3152,2972,2971,13,9,22,9,7,16,0.0251,0.0476
49,9,5,5,287,315,2,8,180,75,3244,3064,3059,14,12,26,6,10,16,0.0369,0.0514
49,10,5,5,306,317,2,1,122,81,3392,3270,3274,9,13,22,11,8,19,0.0339,0.0679
49,11,5,5,288,296,2,10,179,106,3074,2895,2900,13,14,27,10,0,10,0.0384,0.0741
49,12,5,5,298,315,2,8,69,31,2278,2209,2211,7,9,16,16,1,17,0.0267,0.0761
49,13,5,5,250,250,2,4,28,27,1652,1624,1619,3,3,6,10,14,24,0.0171,0.0738
49,14,5,5,283,304,2,10,206,64,3080,2874,2873,11,9,20,5,4,9,0.0252,0.073
49,15,5,5,329,350,2,4,146,88,3026,2880,2885,4,13,17,5,14,19,0.0236,0.0839
49,16,5,5,301,305,2,7,168,84,3116,2948,2945,9,12,21,11,4,15,0.0211,0.0908
49,17,5,5,304,326,2,7,170,50,3386,3216,3219,13,12,25,6,0,6,0.0305,0.0983
49,18,5,5,292,292,2,1,201,24,3094,2893,2889,11,7,18,13,7,20,0.0277,0.1054
49,19,5,5,255,282,2,15,94,34,2326,2232,2234,9,9,18,14,7,21,0.0213,0.0985
49,20,5,5,258,275,2,11,27,35,1640,1613,1613,11,5,16,8,16,24,0.0251,0.0899
49,21,5,5,273,290,2,2,120,70,3014,2894,2891,11,10,21,6,0,6,0.0318,0.1008
49,22,5,5,300,314,2,10,226,67,3120,2894,2893,13,12,25,12,13,25,0.033,0.103
49,23,5,5,303,301,1,0,214,73,3168,2954,2955,15,10,25,8,0,8,0.0423,0.1162
49,24,5,5,271,287,1,9,156,95,3292,3136,3138,16,7,23,20,9,29,0.037,0.1136
49,25,5,5,307,326,2,11,178,74,3060,2882,2883,10,11,21,13,10,23,0.0331,0.1138
49,26,5,5,238,262,2,12,68,23,2228,2160,2162,7,10,17,14,3,17,0.0241,0.1124
49,27,5,5,227,250,2,10,15,34,1652,1637,1635,8,4,12,12,20,32,0.0185,0.103
