seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_exponential_starvation_penalty,phi_exponential_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_global_depot_backlog,phi_demand_weighted_depot_backlog,phi_demand_weighted_onsite_backlog,phi_fleet_broken_fraction,phi_depot_idle_fraction,phi_recoverable_starvation,phi_maintenance_urgency,phi_rush_hour_onsite_backlog,phi_fleet_failure_risk,phi_fleet_health_deficit,phi_fleet_low_health_fraction,phi_depot_bound_health_deficit,phi_onsite_health_deficit,phi_maintenance_restoration_value,phi_onsite_shortage_pressure,phi_depot_shortage_pressure,phi_current_station_onsite_shortage_pressure,phi_current_station_depot_shortage_pressure,phi_broken_cargo_distance_pressure,phi_late_broken_cargo_pressure,phi_repaired_idle_away_pressure,phi_depot_pipeline_pressure,phi_depot_queue_pickup_opportunity,phi_degradation_demand_exposure,phi_time_remaining_fraction,phi_functional_bikes_time_penalty,phi_reachable_imbalance_fraction,phi_recoverable_imbalance_fraction,phi_imbalance_hotspot_distance,phi_destination_starv_ratio,phi_destination_cong_ratio,phi_destination_onsite_fraction,phi_destination_depot_fraction,phi_destination_travel_penalty,phi_destination_roi_starvation,phi_cur_station_onsite_fraction,phi_cur_station_func_deficit,phi_functional_load_late_pressure,phi_depot_load_late_pressure,phi_non_depot_late_load_pressure,phi_late_depot_return,phi_depot_slack_fraction,phi_can_return_to_depot,phi_depot_return_urgency
51,7,6,12,D0,True,17,3,20,3,0,0,0,3,3,"['B422', 'B581', 'B668', 'B376', 'B31', 'B305']",7.5,S66,1.4,17,0,17,0.0,,-0.762623,-10.831286,-11.593909,True,True,5,S62,True,2,0.1315,load_queue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,6,36,S66,False,20,0,20,18,0,0,0,0,0,"['B439', 'B460', 'B315', 'B723', 'B592', 'B48', 'B388', 'B403', 'B310', 'B406', 'B763', 'B258', 'B697', 'B270', 'B119', 'B218', 'B389', 'B422']",12.0,S37,3.07,2,0,2,0.0,,-0.615416,-10.738521,-11.353937,False,False,18,S27,True,6,0.4789,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,6,51,S37,False,2,0,2,0,18,0,0,0,0,"['B543', 'B30', 'B555', 'B433', 'B148', 'B649', 'B287', 'B364', 'B182', 'B98', 'B341', 'B621', 'B274', 'B507', 'B505', 'B576', 'B180', 'B669']",12.0,S41,3.7,20,0,20,0.0,,-0.462405,-10.769885,-11.23229,False,False,12,S62,True,6,0.3323,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,7,7,S41,False,20,0,20,19,0,0,0,0,0,"['B581', 'B668', 'B543', 'B30', 'B555', 'B433', 'B148', 'B649', 'B287', 'B364', 'B182', 'B98', 'B341', 'B621', 'B274', 'B507', 'B505', 'B576', 'B180']",12.5,S63,5.29,1,0,1,0.0,,-0.343022,-10.866764,-11.209786,False,False,18,S65,True,8,0.585,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,7,25,S63,False,1,0,1,0,18,0,0,0,0,"['B385', 'B20', 'B32', 'B533', 'B490', 'B757', 'B209', 'B563', 'B722', 'B738', 'B1', 'B22', 'B62', 'B648', 'B139', 'B765', 'B345', 'B71']",12.0,S65,7.4,19,0,19,0.0,,-0.237552,-10.747857,-10.98541,False,False,18,S62,True,14,0.6125,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,7,44,S65,False,19,0,19,14,0,0,0,0,0,"['B669', 'B385', 'B20', 'B32', 'B533', 'B490', 'B757', 'B209', 'B563', 'B722', 'B738', 'B1', 'B22', 'B62']",10.0,S38,5.71,5,0,5,0.0,,-0.201027,-10.669425,-10.870452,False,False,18,S22,True,13,0.6775,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,8,0,S38,False,5,0,5,0,15,0,0,0,0,"['B53', 'B674', 'B108', 'B511', 'B18', 'B468', 'B100', 'B140', 'B402', 'B707', 'B750', 'B197', 'B106', 'B542', 'B384']",10.5,S48,6.3,20,0,20,0.0,,-0.277295,-10.62074,-10.898035,False,False,12,S48,False,9,0.3205,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,8,17,S48,False,20,0,20,11,0,0,0,0,0,"['B648', 'B139', 'B765', 'B345', 'B71', 'B53', 'B674', 'B108', 'B511', 'B18', 'B468']",8.5,S27,8.86,9,0,9,0.0,,-0.159747,-10.583598,-10.743345,True,False,36,S50,True,16,0.9606,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,8,34,S27,False,9,0,9,9,0,0,1,0,0,"['B166', 'B100', 'B140', 'B402', 'B707', 'B750', 'B197', 'B106', 'B542', 'B384']",8.0,S59,4.6,0,1,1,0.0,,-0.271703,-10.529222,-10.800925,True,True,24,S11,True,18,0.6847,delivery+depot_removal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,8,47,S59,False,0,1,1,0,19,0,0,0,0,"['B619', 'B324', 'B281', 'B585', 'B656', 'B534', 'B38', 'B522', 'B556', 'B215', 'B47', 'B747', 'B495', 'B356', 'B664', 'B758', 'B584', 'B135', 'B641']",12.5,S36,6.14,19,1,20,0.0,,-0.159402,-10.466663,-10.626065,True,False,24,S11,True,13,0.6684,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,9,5,S36,False,19,1,20,10,0,0,0,0,0,"['B619', 'B324', 'B281', 'B585', 'B656', 'B534', 'B38', 'B522', 'B556', 'B215']",8.0,S22,11.83,9,1,10,0.0,,-0.106237,-10.406348,-10.512586,False,False,18,S22,False,7,0.65,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,9,25,S22,False,9,1,10,9,0,0,0,0,0,"['B47', 'B747', 'B495', 'B356', 'B664', 'B758', 'B584', 'B135', 'B641']",7.5,S44,8.22,0,1,1,0.0,,-0.195426,-10.432574,-10.628,True,False,24,S44,False,12,0.9088,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,9,41,S44,False,0,1,1,0,11,0,0,0,0,"['B767', 'B378', 'B729', 'B61', 'B710', 'B499', 'B451', 'B612', 'B202', 'B394', 'B515']",8.5,S19,4.96,11,1,12,0.0,,-0.160315,-10.501676,-10.661991,True,False,36,S37,True,28,1.3656,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,9,54,S19,False,11,1,12,0,0,3,0,0,0,[],12.0,S26,12.13,11,1,12,0.0,,-0.15964,-10.414577,-10.574218,True,True,72,S32,True,18,2.0461,do_nothing+onsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,10,19,S26,False,11,1,12,11,0,0,0,0,0,"['B767', 'B378', 'B729', 'B61', 'B710', 'B499', 'B451', 'B612', 'B202', 'B394', 'B515']",8.5,S32,7.72,0,1,1,0.0,,-0.106267,-10.430029,-10.536296,False,False,12,S32,False,6,0.433,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,10,35,S32,False,0,1,1,0,12,0,0,0,0,"['B526', 'B121', 'B569', 'B242', 'B191', 'B623', 'B531', 'B291', 'B503', 'B257', 'B66', 'B494']",9.0,S27,5.96,12,1,13,0.0,,-0.159864,-10.532359,-10.692223,False,False,18,S29,True,14,0.6046,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,10,50,S27,False,12,1,13,12,0,0,0,0,0,"['B526', 'B121', 'B569', 'B242', 'B191', 'B623', 'B531', 'B291', 'B503', 'B257', 'B66', 'B494']",9.0,S66,1.91,0,1,1,0.0,,-0.295192,-10.561233,-10.856426,False,False,12,S66,False,6,0.4266,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,11,1,S66,False,0,1,1,0,13,0,0,0,0,"['B388', 'B403', 'B310', 'B406', 'B763', 'B258', 'B697', 'B270', 'B119', 'B218', 'B389', 'B422', 'B214']",9.5,S29,6.29,13,1,14,0.0,,-0.236727,-10.551836,-10.788563,False,False,18,S18,True,6,0.3966,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
