seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
49,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133,0.0226
49,7,5,5,327,332,2,1,166,96,3154,2988,2986,11,15,26,3,10,13,0.0237,0.0407
49,8,5,5,291,295,2,2,161,111,3152,2991,2990,8,10,18,10,4,14,0.021,0.0511
49,9,5,5,279,283,2,2,211,38,3244,3033,3027,8,10,18,9,2,11,0.0197,0.0616
49,10,5,5,279,306,2,7,147,131,3392,3245,3251,9,15,24,6,2,8,0.0237,0.0712
49,11,5,5,274,274,1,0,116,57,3074,2958,2959,9,18,27,10,2,12,0.0224,0.0961
49,12,5,5,289,307,2,17,48,46,2278,2230,2234,7,5,12,7,7,14,0.0227,0.0813
49,13,5,5,250,269,2,8,31,34,1652,1621,1617,4,4,8,12,7,19,0.012,0.0761
49,14,5,5,302,322,2,10,228,69,3080,2852,2849,15,8,23,11,10,21,0.0174,0.0734
49,15,5,5,291,313,2,10,131,111,3026,2895,2900,8,7,15,5,8,13,0.0214,0.0696
49,16,5,5,320,320,2,4,148,71,3116,2968,2967,10,9,19,9,14,23,0.0225,0.0753
49,17,5,5,278,303,2,5,115,96,3386,3271,3271,11,9,20,9,10,19,0.0249,0.0801
49,18,5,5,279,281,2,6,174,39,3094,2920,2919,11,14,25,12,5,17,0.0237,0.0907
49,19,5,5,262,285,2,12,62,42,2326,2264,2262,11,6,17,5,0,5,0.0307,0.0841
49,20,5,5,184,208,2,12,44,39,1640,1596,1597,6,8,14,15,6,21,0.0202,0.0794
49,21,5,5,273,297,2,10,176,109,3014,2838,2836,19,7,26,18,24,42,0.0211,0.074
49,22,5,5,250,274,2,12,190,89,3120,2930,2931,7,8,15,7,0,7,0.0215,0.0698
49,23,5,5,270,280,2,5,202,105,3168,2966,2966,13,12,25,6,22,28,0.0302,0.0774
49,24,5,5,288,307,2,2,180,117,3292,3112,3112,9,12,21,9,5,14,0.0301,0.0902
49,25,5,5,294,297,2,8,218,88,3060,2842,2846,6,17,23,11,0,11,0.0238,0.103
49,26,5,5,282,295,2,3,50,63,2228,2178,2179,12,8,20,11,10,21,0.0249,0.1086
49,27,5,5,185,205,2,15,24,33,1652,1628,1626,5,5,10,10,0,10,0.0187,0.0975
