seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
47,7,4,0,0,0,0,0,0,0,0.0107,0.0388,0,0,0,0,0,0,0,0,0,-21,-18,-26,-25,-8,-19,-9
47,7,5,0,0,0,0,0,0,0,0.0107,0.0388,0,0,0,0,30,2,160,147,190,0,0,0,0,0,0,0
47,7,6,20,20,1,0,3,1,3,0.012,0.0428,0,0,4,0,23,4,169,160,192,1,1,0,2,0,0,0
47,7,7,13,33,0,0,3,1,0,0.0134,0.0428,0,0,1,0,6,1,148,153,154,0,1,0,0,0,0,0
47,7,8,32,28,0,0,4,1,0,0.0134,0.0428,0,0,1,0,3,0,103,107,106,0,0,0,0,1,0,0
47,7,9,19,13,0,0,3,1,0,0.0147,0.0428,0,0,1,0,6,0,160,150,166,0,1,0,0,0,0,0
47,7,10,27,35,0,0,5,1,0,0.0161,0.0428,0,0,1,0,6,0,180,176,186,0,0,0,1,0,0,0
47,7,11,28,30,0,0,4,0,0,0.0174,0.0428,0,0,0,0,3,1,153,154,156,0,0,0,0,0,0,0
47,7,12,29,29,0,0,4,0,0,0.0161,0.0428,1,0,0,1,3,0,241,237,244,0,0,0,0,0,0,0
47,7,13,30,13,0,0,3,1,2,0.0161,0.0442,0,0,3,0,12,8,226,221,238,0,1,0,1,0,1,0
47,7,14,16,33,0,0,3,1,1,0.0187,0.0469,0,0,2,0,23,11,341,323,364,1,0,0,0,1,0,0
47,7,15,32,18,0,0,3,1,2,0.0201,0.0495,0,0,3,0,1,16,239,244,240,1,0,0,1,0,0,1
47,7,16,27,30,0,0,4,1,0,0.0214,0.0495,0,0,1,0,14,4,194,204,208,0,0,0,1,0,0,0
47,7,17,26,20,0,0,4,2,1,0.0228,0.0495,0,0,3,0,1,3,163,175,164,0,0,0,0,1,1,1
47,7,18,17,30,0,0,4,1,1,0.0228,0.0522,2,0,2,2,4,6,166,171,170,1,1,0,0,0,0,0
47,7,19,27,21,1,4,5,0,0,0.0227,0.0467,0,6,0,6,4,3,102,107,106,0,0,0,0,0,0,0
47,7,20,0,0,0,0,0,1,1,0.0227,0.0481,0,0,2,0,6,3,66,73,72,0,1,0,0,1,0,0
47,7,21,0,0,0,0,0,0,0,0.024,0.0481,0,0,0,0,5,2,49,50,54,0,0,0,0,0,0,0
47,7,22,0,0,0,0,0,0,0,0.024,0.0481,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
47,7,23,0,0,0,0,0,0,0,0.024,0.0481,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,8,0,0,0,0,0,0,0,0,0.024,0.0481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,1,0,0,0,0,0,0,0,0.024,0.0481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,2,0,0,0,0,0,0,0,0.024,0.0481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,3,0,0,0,0,0,0,0,0.024,0.0481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,4,0,0,0,0,0,0,0,0.024,0.0481,0,0,0,0,4,2,48,39,52,0,0,0,0,0,0,0
47,8,5,0,0,0,0,0,2,0,0.0254,0.0481,0,0,2,0,19,1,203,179,222,0,1,0,0,0,1,0
47,8,6,15,20,1,0,3,0,0,0.0267,0.0481,0,0,0,0,15,5,205,198,220,0,0,0,0,0,0,0
47,8,7,15,30,0,0,3,1,1,0.028,0.0494,0,0,2,0,9,7,103,122,112,1,0,1,0,0,0,0
47,8,8,31,11,0,0,3,1,0,0.0294,0.0494,0,0,1,0,13,1,123,124,136,0,0,0,0,1,0,0
47,8,9,26,34,0,0,4,0,1,0.0294,0.0507,0,0,1,0,17,0,147,139,164,0,0,1,0,0,0,0
47,8,10,15,27,0,0,4,1,0,0.0267,0.0507,3,0,1,3,6,1,150,153,156,0,0,0,1,0,0,0
47,8,11,27,13,0,0,3,0,0,0.0267,0.0507,0,0,0,0,9,4,181,178,190,0,0,0,0,0,0,0
47,8,12,19,33,0,0,6,1,2,0.028,0.0521,0,0,3,0,16,10,220,203,236,0,1,0,2,0,0,0
47,8,13,25,25,0,0,4,0,0,0.028,0.0534,0,0,0,0,5,8,259,248,264,0,0,0,0,0,0,0
47,8,14,19,8,0,0,3,2,1,0.028,0.0534,2,0,3,2,18,4,348,341,366,2,0,1,0,0,0,0
47,8,15,28,22,0,0,4,0,0,0.028,0.0547,0,0,0,0,23,18,197,222,220,0,0,0,0,0,0,0
47,8,16,12,29,0,0,4,2,1,0.0294,0.0561,0,0,3,0,12,5,180,177,192,0,2,0,0,0,0,1
47,8,17,40,21,0,0,5,0,1,0.0307,0.0574,0,0,1,0,5,10,137,152,142,0,0,0,0,0,1,0
47,8,18,24,24,0,0,4,1,0,0.032,0.0574,0,0,1,0,1,1,113,126,114,1,0,0,0,0,0,0
47,8,19,25,26,1,1,5,2,0,0.0334,0.0561,0,1,2,1,0,0,92,92,92,0,2,0,0,0,0,0
47,8,20,0,0,0,0,0,0,0,0.0347,0.0561,0,0,0,0,0,1,98,96,98,0,0,0,0,0,0,0
47,8,21,0,0,0,0,0,0,0,0.0347,0.0561,0,0,0,0,3,6,51,59,54,0,0,0,0,0,0,0
47,8,22,0,0,0,0,0,0,0,0.0347,0.0561,0,0,0,0,0,0,2,9,2,0,0,0,0,0,0,0
47,8,23,0,0,0,0,0,0,0,0.0347,0.0561,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0
47,9,0,0,0,0,0,0,0,0,0.0347,0.0561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,9,1,0,0,0,0,0,0,0,0.0347,0.0561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,9,2,0,0,0,0,0,0,0,0.0347,0.0561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,9,3,0,0,0,0,0,0,0,0.0347,0.0561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,9,4,0,0,0,0,0,0,0,0.0347,0.0561,0,0,0,0,1,0,35,32,36,0,0,0,0,0,0,0
47,9,5,0,0,0,0,0,2,1,0.0374,0.0574,0,0,3,0,3,0,181,147,184,0,1,1,0,0,1,0
47,9,6,16,36,1,0,4,2,0,0.0387,0.0574,0,0,2,0,19,3,185,197,204,1,0,1,0,0,0,0
47,9,7,31,15,0,0,3,0,0,0.0387,0.0574,1,0,0,1,11,1,123,124,134,0,0,0,0,0,0,0
47,9,8,20,29,0,0,3,0,1,0.036,0.0587,2,0,1,2,3,4,147,146,150,0,0,1,0,0,0,0
47,9,9,24,19,0,0,5,0,0,0.0334,0.0587,2,0,0,2,9,2,157,159,166,0,0,0,0,0,0,0
47,9,10,21,26,0,0,4,0,0,0.0307,0.0587,3,0,0,3,2,0,152,149,154,0,0,0,0,0,0,0
47,9,11,10,17,0,0,3,0,2,0.028,0.0587,1,0,2,1,6,1,146,142,152,1,0,0,0,0,0,1
47,9,12,22,22,0,0,5,0,2,0.028,0.0641,0,0,2,0,4,3,202,195,206,0,1,0,0,0,0,1
47,9,13,26,14,0,0,3,1,0,0.0294,0.0641,0,0,1,0,6,3,296,282,302,0,0,1,0,0,0,0
47,9,14,22,34,0,0,6,1,4,0.0307,0.0654,0,0,5,0,6,11,320,317,326,1,1,2,1,0,0,0
47,9,15,33,33,0,0,4,1,0,0.032,0.0694,0,0,1,0,18,2,232,241,250,1,0,0,0,0,0,0
47,9,16,22,22,0,0,4,0,0,0.032,0.0694,0,0,0,0,5,2,215,217,220,0,0,0,0,0,0,0
47,9,17,15,13,0,0,2,0,1,0.0307,0.0708,1,0,1,1,11,1,197,198,208,0,1,0,0,0,0,0
47,9,18,27,16,0,0,4,0,0,0.0307,0.0708,0,0,0,0,7,3,149,162,156,0,0,0,0,0,0,0
47,9,19,13,12,1,1,6,1,1,0.0305,0.0704,1,5,2,6,1,3,105,106,106,1,0,0,0,0,0,1
