seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_exponential_starvation_penalty,phi_exponential_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_global_depot_backlog,phi_demand_weighted_depot_backlog,phi_demand_weighted_onsite_backlog,phi_fleet_broken_fraction,phi_depot_idle_fraction,phi_recoverable_starvation,phi_maintenance_urgency,phi_rush_hour_onsite_backlog,phi_fleet_failure_risk,phi_fleet_health_deficit,phi_fleet_low_health_fraction,phi_depot_bound_health_deficit,phi_onsite_health_deficit,phi_maintenance_restoration_value,phi_onsite_shortage_pressure,phi_depot_shortage_pressure,phi_current_station_onsite_shortage_pressure,phi_current_station_depot_shortage_pressure,phi_broken_cargo_distance_pressure,phi_late_broken_cargo_pressure,phi_repaired_idle_away_pressure,phi_depot_pipeline_pressure,phi_depot_queue_pickup_opportunity,phi_degradation_demand_exposure,phi_time_remaining_fraction,phi_functional_bikes_time_penalty,phi_reachable_imbalance_fraction,phi_recoverable_imbalance_fraction,phi_imbalance_hotspot_distance,phi_destination_starv_ratio,phi_destination_cong_ratio,phi_destination_onsite_fraction,phi_destination_depot_fraction,phi_destination_travel_penalty,phi_destination_roi_starvation,phi_cur_station_onsite_fraction,phi_cur_station_func_deficit,phi_functional_load_late_pressure,phi_depot_load_late_pressure,phi_non_depot_late_load_pressure,phi_late_depot_return,phi_depot_slack_fraction,phi_can_return_to_depot,phi_depot_return_urgency
48,7,6,15,D0,True,20,0,20,0,0,0,0,0,0,[],3.0,S66,1.4,20,0,20,0.0,,-0.402402,-6.888537,-7.290939,True,True,5,S27,True,1,0.2183,depot_passthrough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,6,34,S66,False,20,0,20,18,0,0,0,0,0,"['B629', 'B239', 'B107', 'B375', 'B194', 'B451', 'B600', 'B106', 'B180', 'B580', 'B341', 'B727', 'B295', 'B666', 'B753', 'B406', 'B703', 'B637']",12.0,S52,3.13,2,0,2,0.0,,-0.438326,-6.909118,-7.347444,True,False,36,S27,True,14,0.9888,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,6,49,S52,False,2,0,2,0,15,0,0,0,0,"['B476', 'B612', 'B158', 'B650', 'B626', 'B26', 'B294', 'B391', 'B710', 'B265', 'B723', 'B450', 'B508', 'B86', 'B684']",10.5,S65,6.18,17,0,17,0.0,,-0.295855,-6.909208,-7.205063,False,False,18,S44,True,9,0.6632,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,7,6,S65,False,17,0,17,13,0,0,0,0,0,"['B301', 'B118', 'B476', 'B612', 'B158', 'B650', 'B626', 'B26', 'B294', 'B391', 'B710', 'B265', 'B723']",9.5,S38,5.71,4,0,4,0.0,,-0.201029,-6.801467,-7.002496,False,False,18,S55,True,12,0.4861,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,7,21,S38,False,4,0,4,0,16,0,0,0,0,"['B271', 'B441', 'B210', 'B463', 'B736', 'B299', 'B228', 'B321', 'B585', 'B559', 'B502', 'B258', 'B498', 'B35', 'B616', 'B176']",11.0,S61,3.09,20,0,20,0.0,,-0.21369,-6.859644,-7.073334,False,False,12,S61,False,8,0.3827,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,7,35,S61,False,20,0,20,9,0,0,0,0,0,"['B450', 'B508', 'B86', 'B684', 'B271', 'B441', 'B210', 'B463', 'B736']",7.5,S51,6.56,11,0,11,0.0,,-0.100905,-6.807565,-6.90847,True,False,42,S27,True,10,1.3879,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,7,49,S51,False,11,0,11,11,0,0,0,0,0,"['B299', 'B228', 'B321', 'B585', 'B559', 'B502', 'B258', 'B498', 'B35', 'B616', 'B176']",8.5,S55,5.48,0,0,0,0.0,,-0.082719,-6.814393,-6.897113,True,False,60,S55,False,30,2.3235,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,8,3,S55,False,0,0,0,0,15,0,0,0,0,"['B197', 'B282', 'B327', 'B479', 'B235', 'B234', 'B633', 'B746', 'B732', 'B490', 'B609', 'B367', 'B160', 'B243', 'B649']",10.5,S42,4.34,15,0,15,0.0,,-0.029585,-6.762712,-6.792298,False,False,18,S1,True,10,0.495,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,8,18,S42,False,15,0,15,0,5,0,0,0,0,"['B603', 'B212', 'B9', 'B399', 'B376']",5.5,S27,7.93,20,0,20,0.0,,-0.070465,-6.824435,-6.8949,False,False,12,S27,False,6,0.392,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,8,31,S27,False,20,0,20,18,0,0,0,0,0,"['B197', 'B282', 'B327', 'B479', 'B235', 'B234', 'B633', 'B746', 'B732', 'B490', 'B609', 'B367', 'B160', 'B243', 'B649', 'B603', 'B212', 'B9']",12.0,S37,4.19,2,0,2,0.0,,-0.094209,-6.819798,-6.914007,False,False,18,S24,True,8,1.7714,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,8,48,S37,False,2,0,2,0,18,0,0,0,0,"['B654', 'B328', 'B145', 'B534', 'B95', 'B218', 'B574', 'B15', 'B474', 'B336', 'B361', 'B278', 'B621', 'B75', 'B717', 'B533', 'B289', 'B386']",12.0,S26,7.79,20,0,20,0.0,,-0.147101,-6.817506,-6.964608,False,False,18,S36,True,15,1.364,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,9,7,S26,False,20,0,20,20,0,0,0,0,0,"['B399', 'B376', 'B654', 'B328', 'B145', 'B534', 'B95', 'B218', 'B574', 'B15', 'B474', 'B336', 'B361', 'B278', 'B621', 'B75', 'B717', 'B533', 'B289', 'B386']",13.0,S39,9.74,0,0,0,0.0,,-0.129934,-6.74472,-6.874654,False,False,12,S1,True,9,0.5052,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,9,30,S39,False,0,0,0,0,17,0,0,0,0,"['B344', 'B73', 'B61', 'B111', 'B433', 'B704', 'B48', 'B702', 'B687', 'B671', 'B270', 'B340', 'B521', 'B187', 'B254', 'B730', 'B566']",11.5,S25,11.4,17,0,17,0.0,,-0.195624,-6.741087,-6.93671,False,False,18,S51,True,14,0.8331,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,9,53,S25,False,17,0,17,12,0,0,0,0,0,"['B344', 'B73', 'B61', 'B111', 'B433', 'B704', 'B48', 'B702', 'B687', 'B671', 'B270', 'B340']",9.0,S1,16.95,5,0,5,0.0,,-0.243018,-6.723472,-6.96649,False,False,18,S15,True,9,1.1346,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,10,19,S1,False,5,0,5,0,0,0,0,0,0,[],3.0,S33,6.32,5,0,5,0.0,,-0.118371,-6.89237,-7.010741,False,False,12,S46,True,3,0.4786,do_nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,10,28,S33,False,5,0,5,0,15,0,0,0,0,"['B28', 'B346', 'B179', 'B509', 'B676', 'B578', 'B279', 'B70', 'B363', 'B420', 'B535', 'B679', 'B174', 'B191', 'B638']",10.5,S46,2.0,20,0,20,0.0,,-0.118162,-6.917732,-7.035894,False,False,12,S15,True,7,0.3644,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,10,41,S46,False,20,0,20,13,0,0,0,0,0,"['B521', 'B187', 'B254', 'B730', 'B566', 'B28', 'B346', 'B179', 'B509', 'B676', 'B578', 'B279', 'B70']",9.5,S1,6.08,7,0,7,0.0,,-0.141858,-6.868554,-7.010413,False,False,18,S43,True,16,0.973,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,10,56,S1,False,7,0,7,0,13,0,0,0,0,"['B307', 'B729', 'B311', 'B72', 'B161', 'B83', 'B607', 'B546', 'B440', 'B528', 'B85', 'B482', 'B731']",9.5,S29,2.42,20,0,20,0.0,,-0.189362,-6.875427,-7.064789,False,False,12,S15,True,6,0.7293,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,11,8,S29,False,20,0,20,19,0,0,0,0,0,"['B363', 'B420', 'B535', 'B679', 'B174', 'B191', 'B638', 'B307', 'B729', 'B311', 'B72', 'B161', 'B83', 'B607', 'B546', 'B440', 'B528', 'B85', 'B482']",12.5,S44,5.3,1,0,1,0.0,,-0.100409,-6.789337,-6.889747,False,False,18,S57,True,7,1.2026,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,11,26,S44,False,1,0,1,0,9,0,0,0,0,"['B148', 'B424', 'B105', 'B286', 'B326', 'B277', 'B249', 'B696', 'B675']",7.5,S36,3.62,10,0,10,0.0,,-0.159656,-6.841087,-7.000743,True,False,36,S33,True,26,1.2344,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7,11,37,S36,False,10,0,10,10,0,0,0,0,0,"['B731', 'B148', 'B424', 'B105', 'B286', 'B326', 'B277', 'B249', 'B696', 'B675']",8.0,S57,5.85,0,0,0,0.0,,-0.165108,-6.801667,-6.966776,True,False,24,S57,False,16,1.1292,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
