seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
51,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224,0.0342
51,7,5,5,321,336,2,8,242,56,3198,2956,2955,12,7,19,9,8,17,0.0263,0.0329
51,8,5,5,326,344,1,0,162,59,3114,2952,2956,6,10,16,7,0,7,0.025,0.0461
51,9,5,5,308,311,2,6,178,98,3464,3286,3272,15,17,32,11,8,19,0.0302,0.0604
51,10,5,5,326,333,2,6,174,100,3342,3168,3181,12,9,21,4,4,8,0.0408,0.0645
51,11,5,5,284,293,2,4,166,60,3008,2842,2844,7,8,15,14,2,16,0.0317,0.0699
51,12,5,5,278,307,2,12,98,68,2346,2248,2247,7,8,15,10,10,20,0.0278,0.0648
51,13,5,5,298,300,2,9,59,23,1690,1631,1631,5,6,11,7,9,16,0.0251,0.0608
51,14,5,5,332,353,2,2,178,109,3106,2928,2923,6,15,21,5,3,8,0.0264,0.0779
51,15,5,5,305,326,2,8,183,52,3038,2855,2861,16,5,21,11,9,20,0.033,0.0739
51,16,5,5,315,315,2,9,182,50,3212,3030,3028,9,21,30,10,10,20,0.0316,0.0896
51,17,5,5,281,307,2,7,192,73,3468,3276,3270,15,19,34,13,0,13,0.0346,0.1064
51,18,5,5,295,298,2,6,153,74,2942,2789,2795,14,11,25,15,16,31,0.0328,0.1115
51,19,5,5,284,315,2,12,90,42,2260,2170,2172,5,6,11,11,0,11,0.0253,0.1053
51,20,5,5,248,265,2,11,27,49,1708,1681,1674,7,9,16,11,6,17,0.0201,0.1034
51,21,5,5,306,312,2,7,157,34,2980,2823,2826,16,12,28,9,19,28,0.0291,0.1083
51,22,5,5,271,302,2,11,182,78,3042,2860,2861,15,14,29,11,4,15,0.0347,0.1133
51,23,5,5,280,302,2,11,197,31,3154,2957,2959,10,17,27,9,18,27,0.0357,0.1202
51,24,5,5,279,302,2,12,130,44,3444,3314,3312,13,6,19,4,0,4,0.047,0.1141
51,25,5,5,283,288,2,7,168,64,3078,2910,2915,11,15,26,12,18,30,0.0463,0.123
51,26,5,5,267,289,2,11,57,25,2256,2199,2197,14,10,24,19,5,24,0.0387,0.1227
51,27,5,5,239,263,2,12,61,21,1724,1663,1658,11,9,20,19,7,26,0.0282,0.1195
