seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
47,7,4,0,0,0,0,0,0,0,0.0107,0.0388,0,0,0,0,0,0,0,0,0,-21,-18,-26,-25,-8,-19,-9
47,7,5,0,0,0,0,0,0,0,0.0107,0.0388,0,0,0,0,30,2,160,147,190,0,0,0,0,0,0,0
47,7,6,20,20,1,0,3,1,2,0.012,0.0415,0,0,3,0,18,2,174,161,192,0,1,1,1,0,0,0
47,7,7,29,29,0,0,4,0,1,0.012,0.0428,0,0,1,0,3,2,151,162,154,0,0,1,0,0,0,0
47,7,8,27,28,0,0,4,1,0,0.0134,0.0428,0,0,1,0,5,3,101,99,106,0,0,0,0,0,1,0
47,7,9,14,28,0,0,3,0,1,0.0134,0.0442,0,0,1,0,2,2,164,161,166,0,0,1,0,0,0,0
47,7,10,33,20,0,0,5,0,0,0.012,0.0442,1,0,0,1,0,2,186,180,186,0,0,0,0,0,0,0
47,7,11,20,18,0,0,2,0,0,0.012,0.0442,0,0,0,0,1,0,155,155,156,0,0,0,0,0,0,0
47,7,12,16,33,0,0,3,1,1,0.0134,0.0455,0,0,2,0,4,0,240,229,244,0,2,0,0,0,0,0
47,7,13,36,30,0,0,5,2,0,0.0161,0.0455,0,0,2,0,6,1,232,232,238,0,1,0,0,0,0,1
47,7,14,35,24,0,0,4,3,0,0.0187,0.0455,0,0,3,0,26,6,338,320,364,0,1,0,0,1,1,0
47,7,15,32,34,0,0,4,2,1,0.0228,0.0469,0,0,3,0,9,19,231,245,240,1,0,0,2,0,0,0
47,7,16,17,34,0,0,3,1,0,0.0241,0.0469,0,0,1,0,22,5,186,189,208,0,0,0,1,0,0,0
47,7,17,26,27,0,0,4,1,1,0.0254,0.0482,0,0,2,0,8,16,156,173,164,1,0,0,0,0,1,0
47,7,18,31,14,0,0,4,0,1,0.0254,0.0495,0,0,1,0,8,11,162,161,170,0,0,1,0,0,0,0
47,7,19,16,30,1,0,4,0,0,0.0249,0.0484,0,17,0,17,6,3,100,103,106,0,0,0,0,0,0,0
47,7,20,0,0,0,0,0,0,1,0.0249,0.0497,0,0,1,0,6,2,66,77,72,0,0,0,1,0,0,0
47,7,21,0,0,0,0,0,1,1,0.0262,0.051,0,0,2,0,6,5,48,48,54,0,1,0,0,0,0,1
47,7,22,0,0,0,0,0,0,0,0.0262,0.051,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
47,7,23,0,0,0,0,0,0,0,0.0262,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,0,0,0,0,0,0,0,0,0.0262,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,1,0,0,0,0,0,0,0,0.0262,0.051,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,8,2,0,0,0,0,0,0,0,0.0262,0.051,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
47,8,3,0,0,0,0,0,0,0,0.0262,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,4,0,0,0,0,0,0,1,0.0262,0.0524,0,0,1,0,4,0,48,42,52,0,0,1,0,0,0,0
47,8,5,0,0,0,0,0,0,1,0.0262,0.0537,0,0,1,0,17,0,205,174,222,0,0,0,0,0,1,0
47,8,6,18,20,1,0,3,0,0,0.0262,0.0537,0,0,0,0,15,11,205,210,220,0,0,0,0,0,0,0
47,8,7,36,34,0,0,4,2,0,0.0288,0.0537,0,0,2,0,7,6,105,112,112,0,1,0,1,0,0,0
47,8,8,19,34,0,0,4,1,0,0.0301,0.0537,0,0,1,0,13,8,123,127,136,0,0,0,0,0,1,0
47,8,9,29,32,0,0,4,0,1,0.0288,0.0537,1,0,1,1,8,1,156,143,164,0,0,0,1,0,0,0
47,8,10,26,11,0,0,3,1,0,0.0301,0.055,0,0,1,0,8,0,148,164,156,0,0,0,0,1,0,0
47,8,11,31,30,0,0,5,0,0,0.0301,0.055,0,0,0,0,2,0,188,174,190,0,0,0,0,0,0,0
47,8,12,0,18,0,0,2,1,2,0.0301,0.0576,1,0,3,1,11,0,225,220,236,0,0,1,0,2,0,0
47,8,13,30,30,0,0,4,1,0,0.0301,0.0576,0,0,1,0,21,3,243,234,264,1,0,0,0,0,0,0
47,8,14,33,13,0,0,3,2,0,0.0327,0.0576,0,0,2,0,29,11,337,325,366,1,1,0,0,0,0,0
47,8,15,18,38,0,0,3,0,0,0.034,0.0576,0,0,0,0,25,9,195,220,220,0,0,0,0,0,0,0
47,8,16,32,20,0,0,5,2,1,0.0327,0.0589,2,0,3,2,12,12,180,171,192,1,0,2,0,0,0,0
47,8,17,14,26,0,0,3,1,0,0.0353,0.0589,0,0,1,0,7,3,135,151,142,0,0,0,0,0,0,1
47,8,18,30,15,0,0,3,2,1,0.0366,0.0602,1,0,3,1,3,0,111,125,114,1,0,0,0,1,1,0
47,8,19,30,25,1,0,5,0,0,0.0366,0.0602,0,0,0,0,2,1,90,86,92,0,0,0,0,0,0,0
47,8,20,0,0,0,0,0,1,0,0.038,0.0602,0,0,1,0,1,2,97,93,98,0,1,0,0,0,0,0
47,8,21,0,0,0,0,0,0,0,0.038,0.0602,0,0,0,0,6,0,48,62,54,0,0,0,0,0,0,0
47,8,22,0,0,0,0,0,0,0,0.038,0.0602,0,0,0,0,0,0,2,7,2,0,0,0,0,0,0,0
47,8,23,0,0,0,0,0,0,0,0.038,0.0602,0,0,0,0,1,0,1,3,2,0,0,0,0,0,0,0
47,9,0,0,0,0,0,0,0,0,0.038,0.0602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,9,1,0,0,0,0,0,0,0,0.038,0.0602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,9,2,0,0,0,0,0,0,0,0.038,0.0602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,9,3,0,0,0,0,0,0,0,0.038,0.0602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,9,4,0,0,0,0,0,0,0,0.038,0.0602,0,0,0,0,0,0,36,30,36,0,0,0,0,0,0,0
47,9,5,0,0,0,0,0,2,1,0.0406,0.0615,0,0,3,0,11,0,173,142,184,0,1,1,0,0,1,0
47,9,6,19,19,1,0,3,1,0,0.0419,0.0615,0,0,1,0,23,12,181,193,204,0,0,1,0,0,0,0
47,9,7,16,31,0,0,3,0,1,0.0419,0.0615,0,0,1,0,11,1,123,124,134,0,0,0,0,0,1,0
47,9,8,33,20,0,0,5,0,1,0.0393,0.0641,4,0,1,4,9,2,141,140,150,0,0,1,0,0,0,0
47,9,9,0,17,0,0,2,0,0,0.0366,0.0641,0,0,0,0,4,2,162,162,166,0,0,0,0,0,0,0
47,9,10,26,27,0,0,5,0,0,0.0353,0.0641,1,0,0,1,3,4,151,152,154,0,0,0,0,0,0,0
47,9,11,20,9,0,0,3,0,0,0.0327,0.0641,2,0,0,2,7,3,145,143,152,0,0,0,0,0,0,0
47,9,12,15,26,0,0,3,2,1,0.034,0.0654,0,0,3,0,6,5,200,187,206,2,0,1,0,0,0,0
47,9,13,10,10,0,0,3,0,0,0.0353,0.0654,0,0,0,0,6,3,296,274,302,0,0,0,0,0,0,0
47,9,14,35,15,0,0,3,1,2,0.0366,0.0668,0,0,3,0,22,11,304,319,326,0,0,0,1,1,1,0
47,9,15,19,19,0,0,3,2,2,0.0366,0.0707,1,0,4,1,11,4,239,246,250,0,1,0,2,0,1,0
47,9,16,32,35,0,0,4,0,0,0.0366,0.0707,1,0,0,1,4,1,216,214,220,0,0,0,0,0,0,0
47,9,17,27,28,0,0,4,0,0,0.0366,0.0707,0,0,0,0,10,7,198,202,208,0,0,0,0,0,0,0
47,9,18,11,26,0,0,3,0,0,0.0366,0.0707,0,0,0,0,7,3,149,159,156,0,0,0,0,0,0,0
47,9,19,27,22,1,0,5,3,0,0.0391,0.0703,0,4,3,4,2,1,104,106,106,2,0,1,0,0,0,0
