seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
46,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185,0.0278
46,7,5,5,345,349,2,6,271,53,3178,2907,2907,7,8,15,5,6,11,0.0212,0.0305
46,8,5,5,296,311,3,2,296,61,3160,2864,2869,9,15,24,1,8,9,0.0315,0.0473
46,9,5,5,320,324,2,4,167,50,3200,3033,3025,9,11,20,10,6,16,0.0301,0.0564
46,10,5,5,298,313,2,7,209,75,3372,3163,3163,12,13,25,5,0,5,0.0397,0.0648
46,11,5,5,306,308,3,6,202,45,3040,2838,2841,9,7,16,6,11,17,0.0434,0.0657
46,12,5,5,318,322,2,5,79,25,2232,2153,2153,10,5,15,8,0,8,0.045,0.0661
46,13,5,5,305,312,3,3,37,30,1712,1675,1673,8,2,10,7,11,18,0.0458,0.0641
46,14,5,5,307,302,1,0,238,78,3096,2858,2861,7,14,21,9,0,9,0.0432,0.0825
46,15,5,5,341,357,2,12,187,91,2942,2755,2752,8,12,20,3,3,6,0.0503,0.0834
46,16,5,5,315,311,2,8,216,97,3300,3084,3088,10,10,20,8,6,14,0.0531,0.0863
46,17,5,5,312,315,2,6,204,108,3274,3070,3069,11,11,22,9,12,21,0.0553,0.0922
46,18,5,5,308,321,2,12,199,51,3112,2913,2915,9,4,13,11,2,13,0.0534,0.0828
46,19,5,5,274,278,2,9,75,41,2224,2149,2149,6,9,15,6,6,12,0.0536,0.0831
46,20,5,5,254,274,2,6,52,25,1658,1606,1600,8,4,12,11,21,32,0.0486,0.0788
46,21,5,5,322,325,2,5,193,133,3126,2933,2934,12,9,21,7,6,13,0.0551,0.084
46,22,5,5,310,325,2,11,222,57,2916,2694,2697,11,15,26,6,0,6,0.0626,0.0905
46,23,5,5,306,311,2,9,212,87,3180,2968,2967,15,14,29,11,16,27,0.0673,0.0963
46,24,5,5,231,242,2,14,203,96,3428,3225,3222,12,13,25,17,0,17,0.0618,0.0968
46,25,5,5,267,266,2,9,147,106,3048,2901,2906,11,6,17,13,19,32,0.0584,0.0915
46,26,5,5,252,272,2,11,99,31,2322,2223,2223,5,5,10,22,4,26,0.0361,0.0843
46,27,5,5,275,288,2,11,67,29,1652,1585,1583,5,5,10,8,9,17,0.0322,0.0765
