seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_exponential_starvation_penalty,phi_exponential_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_global_depot_backlog,phi_demand_weighted_depot_backlog,phi_demand_weighted_onsite_backlog,phi_fleet_broken_fraction,phi_depot_idle_fraction,phi_recoverable_starvation,phi_maintenance_urgency,phi_rush_hour_onsite_backlog,phi_fleet_failure_risk,phi_fleet_health_deficit,phi_fleet_low_health_fraction,phi_depot_bound_health_deficit,phi_onsite_health_deficit,phi_maintenance_restoration_value,phi_onsite_shortage_pressure,phi_depot_shortage_pressure,phi_current_station_onsite_shortage_pressure,phi_current_station_depot_shortage_pressure,phi_broken_cargo_distance_pressure,phi_late_broken_cargo_pressure,phi_repaired_idle_away_pressure,phi_depot_pipeline_pressure,phi_depot_queue_pickup_opportunity,phi_degradation_demand_exposure,phi_time_remaining_fraction,phi_functional_bikes_time_penalty,phi_reachable_imbalance_fraction,phi_recoverable_imbalance_fraction,phi_imbalance_hotspot_distance,phi_destination_starv_ratio,phi_destination_cong_ratio,phi_destination_onsite_fraction,phi_destination_depot_fraction,phi_destination_travel_penalty,phi_destination_roi_starvation,phi_cur_station_onsite_fraction,phi_cur_station_func_deficit,phi_functional_load_late_pressure,phi_depot_load_late_pressure,phi_non_depot_late_load_pressure,phi_late_depot_return,phi_depot_slack_fraction,phi_can_return_to_depot,phi_depot_return_urgency
50,7,6,7,D0,True,15,0,15,0,0,0,0,0,5,"['B732', 'B283', 'B164', 'B127', 'B655']",5.5,S51,3.91,20,0,20,0.0,,-0.395601,-9.803043,-10.198643,True,True,5,S27,True,4,0.1416,load_queue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,7,6,31,S51,False,20,0,20,17,0,0,0,0,0,"['B205', 'B232', 'B202', 'B539', 'B333', 'B188', 'B526', 'B26', 'B689', 'B22', 'B643', 'B431', 'B646', 'B136', 'B6', 'B732', 'B283']",11.5,S52,4.66,3,0,3,0.0,,-0.413818,-9.775798,-10.189616,True,False,30,S27,True,9,0.8956,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,7,6,47,S52,False,3,0,3,0,12,0,0,0,0,"['B38', 'B9', 'B639', 'B287', 'B263', 'B589', 'B664', 'B253', 'B537', 'B132', 'B211', 'B536']",9.0,S27,3.68,15,0,15,0.0,,-0.248697,-9.746184,-9.99488,True,False,36,S33,True,27,1.032,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,7,7,0,S27,False,15,0,15,15,0,0,0,0,0,"['B164', 'B127', 'B655', 'B38', 'B9', 'B639', 'B287', 'B263', 'B589', 'B664', 'B253', 'B537', 'B132', 'B211', 'B536']",10.5,S59,4.6,0,0,0,0.0,,-0.265173,-9.614697,-9.879871,False,False,12,S33,True,8,0.3954,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,7,7,15,S59,False,0,0,0,0,20,0,0,0,0,"['B568', 'B463', 'B737', 'B98', 'B464', 'B603', 'B12', 'B15', 'B310', 'B567', 'B712', 'B80', 'B299', 'B421', 'B577', 'B665', 'B63', 'B384', 'B149', 'B610']",13.0,S66,2.96,20,0,20,0.0,,-0.258969,-9.617066,-9.876036,False,False,18,S66,True,6,0.6819,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,7,7,31,S66,False,20,0,20,18,0,0,0,0,0,"['B568', 'B463', 'B737', 'B98', 'B464', 'B603', 'B12', 'B15', 'B310', 'B567', 'B712', 'B80', 'B299', 'B421', 'B577', 'B665', 'B63', 'B384']",12.0,S54,5.58,2,0,2,0.0,,-0.206632,-9.628912,-9.835544,True,False,36,S7,True,13,1.158,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,7,7,49,S54,False,2,0,2,0,11,0,0,0,0,"['B678', 'B767', 'B571', 'B466', 'B559', 'B336', 'B632', 'B607', 'B79', 'B438', 'B555']",8.5,S34,2.69,13,0,13,0.0,,-0.242571,-9.599298,-9.841869,True,False,36,S33,True,25,1.0645,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,7,8,0,S34,False,13,0,13,13,0,0,0,0,0,"['B149', 'B610', 'B678', 'B767', 'B571', 'B466', 'B559', 'B336', 'B632', 'B607', 'B79', 'B438', 'B555']",9.5,S37,5.37,0,0,0,0.0,,-0.165197,-9.392,-9.557197,False,False,12,S33,True,8,0.339,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,7,8,15,S37,False,0,0,0,0,20,0,0,0,0,"['B184', 'B99', 'B153', 'B335', 'B69', 'B10', 'B66', 'B592', 'B108', 'B470', 'B515', 'B150', 'B48', 'B23', 'B661', 'B668', 'B340', 'B575', 'B322', 'B549']",13.0,S15,4.99,20,0,20,0.0,,-0.230735,-9.368308,-9.599043,False,False,18,S15,True,6,0.5478,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,7,8,33,S15,False,20,0,20,20,0,0,0,0,0,"['B184', 'B99', 'B153', 'B335', 'B69', 'B10', 'B66', 'B592', 'B108', 'B470', 'B515', 'B150', 'B48', 'B23', 'B661', 'B668', 'B340', 'B575', 'B322', 'B549']",13.0,S33,3.7,0,0,0,0.0,,-0.242269,-9.200101,-9.44237,False,False,18,S33,True,12,0.4397,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,7,8,49,S33,False,0,0,0,0,18,0,0,0,0,"['B682', 'B648', 'B572', 'B415', 'B41', 'B725', 'B651', 'B505', 'B729', 'B1', 'B167', 'B291', 'B743', 'B251', 'B534', 'B206', 'B361', 'B491']",12.0,S41,4.4,18,0,18,0.0,,-0.218463,-9.118366,-9.336829,False,False,18,S63,True,15,0.5752,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,7,9,6,S41,False,18,0,18,15,0,0,0,0,0,"['B682', 'B648', 'B572', 'B415', 'B41', 'B725', 'B651', 'B505', 'B729', 'B1', 'B167', 'B291', 'B743', 'B251', 'B534']",10.5,S1,10.06,3,0,3,0.0,,-0.194767,-9.163379,-9.358146,False,False,18,S7,True,12,0.8215,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,7,9,26,S1,False,3,0,3,0,15,0,0,0,0,"['B331', 'B527', 'B620', 'B83', 'B204', 'B76', 'B706', 'B591', 'B408', 'B248', 'B157', 'B35', 'B751', 'B210', 'B44']",10.5,S65,11.28,18,0,18,0.0,,-0.195412,-9.156272,-9.351684,False,False,12,S22,True,8,0.4914,pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,7,9,48,S65,False,18,0,18,15,0,0,0,0,0,"['B206', 'B361', 'B491', 'B331', 'B527', 'B620', 'B83', 'B204', 'B76', 'B706', 'B591', 'B408', 'B248', 'B157', 'B35']",10.5,S63,7.4,3,0,3,0.0,,-0.158726,-9.094675,-9.2534,False,False,18,S7,True,16,0.9189,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
