seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
43,7,4,0,0,0,0,0,0,0,0.0239,0.0305,0,0,0,0,0,0,0,0,0,-23,-28,-22,-21,-12,-19,-15
43,7,5,0,0,0,0,0,0,2,0.0239,0.0332,0,0,2,0,9,0,189,164,198,1,0,0,0,0,1,0
43,7,6,0,20,1,0,2,2,1,0.0251,0.0343,0,4,3,4,14,0,180,184,194,1,1,1,0,0,0,0
43,7,7,36,36,0,0,5,0,0,0.0264,0.0343,0,0,0,0,12,1,94,106,106,0,0,0,0,0,0,0
43,7,8,37,18,0,0,3,0,1,0.0264,0.0343,0,0,1,0,9,2,133,119,142,0,0,1,0,0,0,0
43,7,9,16,35,0,0,3,0,1,0.0264,0.037,0,0,1,0,7,2,117,124,124,0,0,0,0,0,1,0
43,7,10,30,23,0,0,5,0,0,0.0264,0.037,0,0,0,0,6,6,162,151,168,0,0,0,0,0,0,0
43,7,11,28,16,0,0,3,1,1,0.0264,0.0383,0,0,2,0,5,1,151,158,156,0,0,0,0,0,0,2
43,7,12,11,30,0,0,3,1,3,0.0264,0.041,2,0,4,2,3,0,249,234,252,1,2,0,1,0,0,0
43,7,13,30,28,0,0,5,0,0,0.0264,0.0423,0,0,0,0,13,0,251,244,264,0,0,0,0,0,0,0
43,7,14,36,19,0,0,3,1,1,0.0264,0.0436,0,0,2,0,31,11,379,351,410,0,0,1,0,1,0,0
43,7,15,19,35,0,0,3,0,1,0.0277,0.0449,0,0,1,0,25,15,219,254,244,0,0,0,0,0,1,0
43,7,16,33,17,0,0,3,0,0,0.0277,0.0449,0,0,0,0,17,8,159,167,176,0,0,0,0,0,0,0
43,7,17,26,28,0,0,5,1,0,0.0291,0.0449,0,0,1,0,3,9,155,162,158,0,0,1,0,0,0,0
