seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
50,6,23,0,0,0,0,0,0,0,0.0118,0.0408,0,0,0,0,0,0,0,0,0,-17,-22,-30,-20,-12,-15,-14
50,7,0,0,0,0,0,0,0,0,0.0118,0.0408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,7,1,0,0,0,0,0,0,0,0.0118,0.0408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,7,2,0,0,0,0,0,0,0,0.0118,0.0408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,7,3,0,0,0,0,0,0,0,0.0118,0.0408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,7,4,0,0,0,0,0,0,0,0.0118,0.0408,0,0,0,0,0,0,26,18,26,0,0,0,0,0,0,0
50,7,5,0,0,0,0,0,1,1,0.0132,0.0421,0,0,2,0,21,2,175,146,196,0,2,0,0,0,0,0
50,7,6,18,18,1,0,4,1,0,0.0132,0.0421,0,0,1,0,17,9,177,184,194,0,0,0,0,0,1,0
50,7,7,32,32,0,0,5,0,0,0.0145,0.0421,0,0,0,0,17,4,109,124,126,0,0,0,0,0,0,0
50,7,8,16,28,0,0,3,1,0,0.0145,0.0421,1,0,1,1,10,4,114,105,124,0,0,0,0,0,1,0
50,7,9,28,31,0,0,4,0,0,0.0145,0.0421,0,0,0,0,12,2,124,121,136,0,0,0,0,0,0,0
50,7,10,19,24,0,0,4,0,0,0.0145,0.0421,0,0,0,0,12,5,174,168,186,0,0,0,0,0,0,0
50,7,11,39,20,0,0,5,0,0,0.0145,0.0421,0,0,0,0,2,0,172,172,174,0,0,0,0,0,0,0
50,7,12,21,32,0,0,4,1,2,0.0158,0.0447,0,0,3,0,15,2,225,214,240,0,0,0,1,0,1,1
50,7,13,16,24,0,0,4,0,0,0.0145,0.0447,1,0,0,1,10,2,188,200,198,0,0,0,0,0,0,0
50,7,14,16,16,0,0,5,3,2,0.0171,0.0474,1,0,5,1,39,25,375,334,414,1,1,0,1,0,0,2
50,7,15,30,15,0,0,3,1,0,0.0184,0.0474,0,0,1,0,10,18,256,276,266,0,0,0,1,0,0,0
50,7,16,13,28,0,0,3,0,1,0.0184,0.0487,0,0,1,0,3,9,165,173,168,1,0,0,0,0,0,0
50,7,17,38,24,0,0,5,1,0,0.0184,0.0487,0,0,1,0,5,4,157,171,162,0,0,0,0,0,0,1
50,7,18,22,25,0,0,4,1,0,0.0197,0.0487,1,0,1,1,3,1,159,162,162,1,0,0,0,0,0,0
50,7,19,7,23,1,12,4,2,0,0.0198,0.0331,1,8,2,9,0,0,100,110,100,0,1,0,0,0,1,0
50,7,20,0,0,0,0,0,1,1,0.0225,0.0344,0,0,2,0,3,0,71,80,74,1,0,0,0,0,0,1
50,7,21,0,0,0,0,0,0,1,0.0225,0.0357,0,0,1,0,0,0,82,76,82,1,0,0,0,0,0,0
50,7,22,0,0,0,0,0,0,0,0.0225,0.0357,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
50,7,23,0,0,0,0,0,0,0,0.0225,0.0357,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,8,0,0,0,0,0,0,0,0,0.0225,0.0357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,8,1,0,0,0,0,0,0,0,0.0225,0.0357,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0
50,8,2,0,0,0,0,0,0,0,0.0225,0.0357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,8,3,0,0,0,0,0,0,0,0.0225,0.0357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,8,4,0,0,0,0,0,0,0,0.0225,0.0357,0,0,0,0,0,0,24,17,24,0,0,0,0,0,0,0
50,8,5,0,0,0,0,0,2,2,0.0251,0.037,0,0,4,0,21,5,205,173,226,1,0,0,1,0,1,1
50,8,6,14,15,1,0,4,0,0,0.0238,0.0384,1,0,0,1,30,8,164,175,194,0,0,0,0,0,0,0
50,8,7,26,27,0,0,5,0,1,0.0225,0.0397,1,0,1,1,15,2,129,131,144,0,0,0,1,0,0,0
50,8,8,13,24,0,0,4,1,0,0.0238,0.0397,0,0,1,0,4,0,152,148,156,0,0,0,0,0,1,0
50,8,9,24,13,0,0,4,0,1,0.0238,0.041,0,0,1,0,3,6,159,148,162,0,1,0,0,0,0,0
50,8,10,26,26,0,0,4,0,2,0.0238,0.0437,0,0,2,0,9,5,147,155,156,0,1,0,0,0,0,1
50,8,11,23,23,0,0,5,0,1,0.0225,0.045,1,0,1,1,3,1,139,137,142,0,0,0,0,0,1,0
50,8,12,13,26,0,0,3,0,1,0.0225,0.0463,0,0,1,0,5,8,227,215,232,1,0,0,0,0,0,0
50,8,13,22,22,0,0,4,0,2,0.0225,0.0463,0,0,2,0,8,5,318,301,326,0,0,0,0,1,0,1
50,8,14,19,8,0,0,5,2,0,0.0225,0.0489,2,0,2,2,10,11,340,336,350,0,1,0,0,0,1,0
50,8,15,18,18,0,0,4,1,1,0.0225,0.0503,1,0,2,1,1,16,177,212,178,0,0,2,0,0,0,0
50,8,16,22,22,0,0,4,0,0,0.0225,0.0503,0,0,0,0,10,4,222,210,232,0,0,0,0,0,0,0
50,8,17,11,21,0,0,3,1,1,0.0238,0.0516,0,0,2,0,1,8,179,187,180,0,0,0,0,0,2,0
50,8,18,21,22,0,0,4,0,0,0.0238,0.0516,0,0,0,0,2,2,96,112,98,0,0,0,0,0,0,0
50,8,19,22,20,1,9,4,0,0,0.0198,0.0397,3,9,0,12,2,1,80,85,82,0,0,0,0,0,0,0
