seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
45,6,23,0,0,0,0,0,0,0,0.0225,0.0357,0,0,0,0,0,0,0,0,0,-37,-19,-27,-12,-16,-22,-17
45,7,0,0,0,0,0,0,0,0,0.0225,0.0357,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
45,7,1,0,0,0,0,0,0,0,0.0225,0.0357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,7,2,0,0,0,0,0,0,0,0.0225,0.0357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,7,3,0,0,0,0,0,0,0,0.0225,0.0357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,7,4,0,0,0,0,0,1,0,0.0238,0.0357,0,0,1,0,5,4,45,40,50,0,1,0,0,0,0,0
45,7,5,0,0,0,0,0,0,0,0.0238,0.0357,0,0,0,0,29,2,185,159,214,0,0,0,0,0,0,0
45,7,6,16,29,1,0,4,1,2,0.025,0.0382,1,3,3,4,23,6,163,163,186,2,0,0,0,0,1,0
45,7,7,31,13,0,0,3,1,0,0.0237,0.0382,0,0,1,0,4,5,118,119,122,1,0,0,0,0,0,0
45,7,8,15,33,0,0,4,0,1,0.025,0.0395,0,0,1,0,6,0,122,129,128,0,0,0,1,0,0,0
45,7,9,29,29,0,0,4,0,1,0.025,0.0408,0,0,1,0,7,0,153,157,160,1,0,0,0,0,0,0
45,7,10,28,25,0,0,4,1,1,0.025,0.0422,0,0,2,0,4,0,182,165,186,0,0,1,0,1,0,0
45,7,11,27,18,0,0,4,1,0,0.0264,0.0422,0,0,1,0,2,2,186,193,188,1,0,0,0,0,0,0
45,7,12,23,35,0,0,5,0,0,0.025,0.0422,1,0,0,1,7,7,199,197,206,0,0,0,0,0,0,0
45,7,13,28,14,0,0,3,0,1,0.025,0.0435,0,0,1,0,10,4,238,233,248,0,1,0,0,0,0,0
45,7,14,27,27,0,0,4,1,5,0.0264,0.0501,0,0,6,0,35,9,381,347,416,2,2,2,0,0,0,0
45,7,15,28,28,0,0,5,2,0,0.0264,0.0501,1,0,2,1,13,4,197,224,210,0,0,1,0,0,0,1
45,7,16,11,25,0,0,3,0,0,0.0277,0.0501,0,0,0,0,13,1,181,188,194,0,0,0,0,0,0,0
45,7,17,26,26,0,0,4,0,0,0.0277,0.0501,0,0,0,0,7,4,159,160,166,0,0,0,0,0,0,0
45,7,18,22,22,0,0,4,0,1,0.0277,0.0501,0,0,1,0,1,6,135,153,136,0,0,0,0,0,0,1
45,7,19,22,20,1,9,5,0,0,0.0277,0.0396,0,7,0,7,12,3,86,88,98,0,0,0,0,0,0,0
45,7,20,0,0,0,0,0,0,0,0.0277,0.0396,0,0,0,0,0,6,82,84,82,0,0,0,0,0,0,0
45,7,21,0,0,0,0,0,1,0,0.0291,0.0396,0,0,1,0,2,9,78,77,80,1,0,0,0,0,0,0
45,7,22,0,0,0,0,0,0,0,0.0291,0.0396,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0
45,7,23,0,0,0,0,0,0,0,0.0291,0.0396,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,8,0,0,0,0,0,0,0,0,0.0291,0.0396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,8,1,0,0,0,0,0,0,0,0.0291,0.0396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,8,2,0,0,0,0,0,0,0,0.0291,0.0396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,8,3,0,0,0,0,0,0,0,0.0291,0.0396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,8,4,0,0,0,0,0,0,0,0.0291,0.0396,0,0,0,0,0,4,28,18,28,0,0,0,0,0,0,0
45,8,5,0,0,0,0,0,2,1,0.0317,0.0396,0,0,3,0,27,8,227,199,254,0,0,0,1,1,1,0
45,8,6,20,34,1,0,4,2,1,0.033,0.0423,1,0,3,1,40,13,178,182,218,0,1,0,0,1,1,0
45,8,7,31,16,0,0,3,1,0,0.0343,0.0423,0,0,1,0,24,14,124,132,148,0,0,0,0,1,0,0
45,8,8,17,31,0,0,4,1,1,0.0317,0.0423,3,0,2,3,3,2,97,108,100,0,0,0,1,1,0,0
45,8,9,29,16,0,0,3,0,0,0.0304,0.0436,1,0,0,1,12,1,184,170,196,0,0,0,0,0,0,0
45,8,10,17,18,0,0,3,0,1,0.0277,0.0449,2,0,1,2,4,3,148,151,152,0,1,0,0,0,0,0
45,8,11,8,25,0,0,4,0,0,0.0264,0.0449,1,0,0,1,1,5,195,191,196,0,0,0,0,0,0,0
45,8,12,27,27,0,0,5,0,0,0.0238,0.0449,2,0,0,2,7,0,247,238,254,0,0,0,0,0,0,0
