seed,exp_name,alpha,duration_hours,total_runtime_s,service_level,avg_bike_km_driven,starvations,congestions,total_trips,bike_departures,bike_arrivals,total_depot_deliveries,total_depot_visits,total_fixed_on_site,total_picked_up_to_depot,total_depot_fixes,total_bikes_redistributed_from_depot,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,broken_bikes_end_onsite,broken_bikes_end_depot,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
42,M7_StressNoDuplicates_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9189,399.5822,3339,1548,60282,56943,56944,150,54,203,150,150,154,6062,6218,0.0302,0.0302,0.9396,0.0234,0.1029,0.8737,18,79,201,203,203,154
43,M7_StressNoDuplicates_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9116,395.6062,3768,1539,60062,56294,56295,138,54,201,138,138,128,6036,6164,0.0156,0.0495,0.9349,0.013,0.1302,0.8568,10,100,200,191,201,128
44,M7_StressNoDuplicates_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9078,396.1394,3713,1762,59410,55697,55700,169,61,236,169,169,150,5933,6083,0.0301,0.0393,0.9306,0.0247,0.1029,0.8724,19,79,233,210,236,150
45,M7_StressNoDuplicates_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9119,395.7929,3632,1614,59520,55888,55889,153,54,231,155,153,151,5992,6151,0.0223,0.0446,0.9332,0.0209,0.1005,0.8786,16,77,231,203,231,151
46,M7_StressNoDuplicates_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9153,395.5316,3538,1454,58938,55400,55402,161,54,200,161,161,143,6048,6188,0.0237,0.0316,0.9447,0.0183,0.1186,0.8631,14,91,198,222,200,143
47,M7_StressNoDuplicates_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9254,396.5073,3011,1418,59402,56391,56391,134,56,196,134,134,148,6096,6250,0.0237,0.0421,0.9342,0.0221,0.1224,0.8555,17,94,196,204,196,148
48,M7_StressNoDuplicates_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9103,395.4092,3777,1572,59646,55869,55870,138,54,188,138,138,151,6028,6179,0.0146,0.0412,0.9441,0.0209,0.1165,0.8626,16,89,194,202,188,151
49,M7_StressNoDuplicates_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.915,395.87,3406,1619,59136,55730,55730,162,55,202,162,162,167,5964,6131,0.0131,0.0458,0.9412,0.0157,0.1111,0.8732,12,85,205,218,202,167
50,M7_StressNoDuplicates_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9196,396.3672,3392,1383,59402,56010,56009,169,60,221,169,169,165,5996,6161,0.0118,0.0433,0.9449,0.0221,0.0885,0.8893,17,68,230,199,221,165
51,M7_StressNoDuplicates_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9148,397.6809,3663,1438,59852,56189,56189,155,54,214,155,155,162,5993,6135,0.0146,0.037,0.9484,0.0209,0.1229,0.8562,16,94,220,227,214,162
