seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
46,6,5,5,0,0,0,0,0,2,20,20,21,0,0,0,0,0,0,0.0238,0.0278
46,7,5,5,354,368,2,0,178,116,3150,2972,2968,4,11,15,1,8,9,0.0275,0.0419
46,8,5,5,322,332,2,0,126,80,3028,2902,2904,13,14,27,7,3,10,0.0352,0.06
46,9,5,5,332,335,2,1,98,108,3174,3076,3077,13,12,25,4,0,4,0.047,0.0744
46,10,5,5,359,342,2,2,201,44,3332,3131,3123,14,16,30,8,1,9,0.0536,0.0928
46,11,5,5,292,291,2,0,219,75,3040,2821,2827,7,12,19,12,0,12,0.0484,0.1072
46,12,5,5,313,313,2,0,108,40,2232,2124,2125,5,10,15,9,0,9,0.0431,0.1203
46,13,5,5,319,339,2,2,102,32,1712,1610,1610,6,6,12,4,2,6,0.0458,0.1255
46,14,5,5,368,350,2,0,269,148,3096,2827,2827,16,11,27,8,0,8,0.0562,0.1399
46,15,5,5,345,364,2,0,219,85,2942,2723,2720,9,14,23,12,2,14,0.0522,0.1578
46,16,5,5,328,331,2,1,256,105,3300,3044,3046,8,6,14,9,0,9,0.0509,0.1645
46,17,5,5,295,294,3,0,240,78,3274,3034,3034,16,10,26,12,1,13,0.0561,0.1773
46,18,5,5,329,328,2,1,234,65,3112,2878,2879,13,1,14,14,0,14,0.0548,0.1775
46,19,5,5,275,276,3,4,90,28,2224,2134,2137,7,9,16,15,0,15,0.0446,0.185
46,20,5,5,278,273,2,12,66,16,1658,1592,1587,9,6,15,13,5,18,0.0397,0.1788
46,21,5,5,312,324,2,10,282,151,3126,2844,2845,12,9,21,12,12,24,0.0396,0.177
46,22,5,5,296,290,2,2,204,65,2916,2712,2715,10,10,20,11,0,11,0.0384,0.1881
46,23,5,5,286,306,2,10,249,95,3180,2931,2926,14,13,27,9,12,21,0.0449,0.1889
46,24,5,5,343,336,1,0,241,58,3428,3187,3189,9,14,23,11,0,11,0.0423,0.2087
46,25,5,5,289,309,2,5,220,75,3048,2828,2829,12,17,29,15,10,25,0.0381,0.2231
46,26,5,5,266,264,2,7,90,47,2322,2232,2233,5,8,13,15,5,20,0.025,0.2237
46,27,5,5,309,305,2,2,62,48,1624,1562,1559,4,8,12,4,0,4,0.0251,0.2322
