seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
48,6,5,5,0,0,0,0,3,2,32,29,26,0,0,0,0,0,0,0.0147,0.0335
48,7,5,5,237,257,3,13,208,117,3214,3006,3006,9,13,22,9,18,27,0.0146,0.0333
48,8,5,5,220,228,2,10,204,86,2986,2782,2784,9,11,20,8,10,18,0.016,0.0346
48,9,5,5,241,264,3,14,162,58,3272,3110,3111,9,10,19,5,13,18,0.0213,0.028
48,10,5,5,244,242,2,8,180,111,3510,3330,3324,11,9,20,3,8,11,0.032,0.0307
48,11,5,5,224,229,2,5,225,121,3104,2879,2885,9,11,20,13,5,18,0.0267,0.0387
48,12,5,5,200,217,3,20,101,68,2320,2219,2221,5,6,11,8,9,17,0.0231,0.0204
48,13,5,5,177,194,2,4,65,61,1490,1425,1421,5,1,6,5,25,30,0.0224,0.0158
48,14,5,5,233,238,2,4,141,94,2996,2855,2844,5,11,16,10,4,14,0.0159,0.0238
48,15,5,5,176,182,2,7,241,65,3084,2843,2853,8,8,16,7,0,7,0.0174,0.0267
48,16,5,5,197,199,2,5,319,92,3266,2947,2947,8,12,20,9,4,13,0.0161,0.0361
48,17,5,5,248,262,1,0,221,114,3470,3249,3250,7,13,20,5,5,10,0.0186,0.0532
48,18,5,5,207,220,2,14,179,83,3046,2867,2867,5,11,16,5,7,12,0.0188,0.0497
48,19,5,5,206,198,3,17,97,32,2274,2177,2178,9,14,23,9,7,16,0.0191,0.0464
48,20,5,5,169,180,3,11,110,40,1730,1620,1611,4,11,15,4,16,20,0.019,0.0463
48,21,5,5,191,211,2,8,184,123,3092,2908,2914,12,7,19,9,19,28,0.0228,0.0442
48,22,5,5,161,180,2,9,215,57,3050,2835,2838,11,8,19,9,0,9,0.0258,0.0435
48,23,5,5,217,220,3,17,211,65,3208,2997,2994,17,12,29,9,17,26,0.0367,0.0367
48,24,5,5,207,212,2,11,268,95,3468,3200,3199,13,14,27,17,11,28,0.0312,0.0408
48,25,5,5,203,223,2,9,154,54,3042,2888,2894,15,10,25,10,17,27,0.0378,0.0418
48,26,5,5,203,201,3,11,106,24,2386,2280,2279,15,12,27,14,0,14,0.0397,0.0438
48,27,5,5,164,184,2,7,63,41,1606,1543,1544,5,8,13,6,20,26,0.0377,0.0444
