seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
44,6,5,5,0,0,0,0,0,0,48,48,41,0,0,0,0,0,0,0.0158,0.0211
44,7,5,5,338,346,2,8,132,29,3022,2890,2895,6,12,18,5,0,5,0.0173,0.0266
44,8,5,5,332,350,2,12,182,64,3098,2916,2917,8,10,18,8,14,22,0.0173,0.0239
44,9,5,5,330,329,2,11,139,48,3218,3079,3076,18,14,32,11,11,22,0.0266,0.0279
44,10,5,5,325,337,2,11,145,36,3420,3275,3281,8,11,19,11,1,12,0.0229,0.0283
44,11,5,5,340,360,2,6,92,17,2920,2828,2828,14,7,21,10,22,32,0.0277,0.029
44,12,5,5,384,382,2,4,27,7,2248,2221,2220,12,8,20,12,0,12,0.0278,0.0344
44,13,5,5,298,317,2,3,39,11,1718,1679,1668,8,7,15,9,6,15,0.0264,0.0396
44,14,5,5,332,332,2,7,176,40,2980,2804,2813,13,11,24,10,7,17,0.0303,0.0449
44,15,5,5,379,374,2,8,186,32,3034,2848,2851,13,9,22,14,7,21,0.0291,0.0462
44,16,5,5,342,361,2,10,202,30,3298,3096,3092,4,11,15,4,0,4,0.0295,0.0482
44,17,5,5,349,356,2,12,200,55,3464,3264,3268,20,17,37,12,8,20,0.0404,0.0552
44,18,5,5,320,324,2,13,182,43,3204,3022,3021,11,15,26,20,10,30,0.0284,0.0581
44,19,5,5,320,339,2,10,56,24,2272,2216,2217,12,4,16,8,12,20,0.0337,0.0499
44,20,5,5,317,318,2,8,11,13,1636,1625,1624,2,13,15,14,21,35,0.0172,0.0556
44,21,5,5,379,391,2,12,175,53,3204,3029,3018,11,6,17,7,2,9,0.0228,0.0483
44,22,5,5,348,366,2,10,181,72,2930,2749,2758,8,16,24,9,8,17,0.0215,0.0552
44,23,5,5,353,365,2,8,214,62,3140,2926,2926,10,16,26,8,22,30,0.0238,0.0661
44,24,5,5,334,336,2,11,180,51,3538,3358,3354,7,15,22,11,0,11,0.0188,0.0724
44,25,5,5,334,343,2,13,105,45,3138,3033,3041,14,15,29,11,19,30,0.0226,0.0745
44,26,5,5,305,322,2,13,21,21,2318,2297,2296,9,8,17,9,0,9,0.023,0.069
44,27,5,5,295,307,2,8,14,4,1562,1548,1550,3,6,9,12,26,38,0.0106,0.0647
