seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
42,6,23,0,0,0,0,0,0,0,0.0158,0.0303,0,0,0,0,0,0,0,0,0,-22,-28,-19,-26,-5,-16,-11
42,7,0,0,0,0,0,0,0,0,0.0158,0.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7,1,0,0,0,0,0,0,0,0.0158,0.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7,2,0,0,0,0,0,0,0,0.0158,0.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7,3,0,0,0,0,0,0,0,0.0158,0.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7,4,0,0,0,0,0,1,0,0.0171,0.0303,0,0,1,0,1,0,33,21,34,0,0,0,1,0,0,0
42,7,5,0,0,0,0,0,0,1,0.0171,0.0316,0,0,1,0,24,6,198,176,222,0,0,0,0,0,0,1
42,7,6,11,31,1,0,5,0,1,0.0158,0.0329,1,0,1,1,7,1,171,168,178,0,0,0,1,0,0,0
42,7,7,47,29,0,0,7,0,1,0.0158,0.0342,0,0,1,0,2,1,134,145,136,1,0,0,0,0,0,0
42,7,8,28,28,0,0,4,0,1,0.0145,0.0355,1,0,1,1,6,0,128,130,134,0,0,1,0,0,0,0
42,7,9,23,41,0,0,7,0,1,0.0145,0.0368,0,0,1,0,8,2,172,169,180,0,0,0,0,0,1,0
42,7,10,26,13,0,0,5,0,1,0.0145,0.0382,0,0,1,0,5,3,183,176,188,0,0,0,1,0,0,0
42,7,11,20,33,0,0,5,0,0,0.0145,0.0382,0,0,0,0,1,3,203,193,204,0,0,0,0,0,0,0
42,7,12,30,22,0,0,6,1,0,0.0158,0.0382,0,0,1,0,1,2,239,236,240,0,0,0,0,0,1,0
42,7,13,24,32,0,0,6,2,2,0.0184,0.0408,0,0,4,0,6,0,272,267,278,0,0,0,1,2,0,1
42,7,14,17,17,0,0,5,1,1,0.0197,0.0421,0,0,2,0,38,7,382,372,420,2,0,0,0,0,0,0
42,7,15,18,18,0,0,4,2,1,0.0211,0.0434,0,0,3,0,22,8,242,261,264,1,0,0,1,0,1,0
