seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
47,6,23,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,0,0,0,0,-25,-24,-17,-29,-15,-12,-7
47,7,0,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7,1,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7,2,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7,3,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7,4,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,1,34,27,34,0,0,0,0,0,0,0
47,7,5,0,0,0,0,0,1,2,0.0147,0.0347,0,0,3,0,12,1,178,157,190,1,0,0,0,0,0,2
47,7,6,17,17,1,0,3,1,0,0.016,0.0347,0,0,1,0,4,5,188,187,192,0,0,0,0,0,1,0
47,7,7,24,32,0,0,6,1,0,0.016,0.0347,1,0,1,1,2,4,152,161,154,0,0,1,0,0,0,0
47,7,8,23,33,0,0,7,0,0,0.016,0.0347,0,0,0,0,1,1,105,105,106,0,0,0,0,0,0,0
47,7,9,36,30,0,0,5,1,0,0.016,0.0347,1,0,1,1,5,0,161,154,166,0,1,0,0,0,0,0
47,7,10,36,26,0,0,6,1,0,0.016,0.0347,1,0,1,1,9,0,177,178,186,0,1,0,0,0,0,0
47,7,11,14,32,0,0,6,0,1,0.0147,0.036,1,0,1,1,1,5,155,158,156,0,0,0,0,0,1,0
47,7,12,31,21,0,0,6,1,1,0.016,0.0374,0,0,2,0,3,1,241,233,244,0,0,1,0,1,0,0
47,7,13,27,24,0,0,6,1,1,0.016,0.0387,0,0,2,0,8,5,230,223,238,0,0,2,0,0,0,0
47,7,14,22,27,0,0,6,1,3,0.0174,0.0414,2,0,4,2,15,21,349,331,364,1,1,1,1,0,0,0
47,7,15,28,22,0,0,4,1,1,0.0174,0.0427,0,0,2,0,5,11,235,241,240,1,0,0,0,0,0,1
47,7,16,24,25,0,0,6,1,2,0.0174,0.0454,0,0,3,0,11,7,197,199,208,1,1,1,0,0,0,0
47,7,17,26,39,0,0,5,1,0,0.02,0.0467,0,0,1,0,8,4,156,175,164,0,0,0,0,1,0,0
47,7,18,35,22,0,0,5,0,1,0.02,0.0467,0,0,1,0,4,3,166,160,170,0,0,0,0,0,1,0
47,7,19,19,23,1,7,6,0,1,0.0173,0.0398,2,11,1,13,1,1,105,113,106,0,1,0,0,0,0,0
47,7,20,0,0,0,0,0,0,0,0.0173,0.0398,0,0,0,0,3,1,69,88,72,0,0,0,0,0,0,0
47,7,21,0,0,0,0,0,0,1,0.0173,0.0398,0,0,1,0,1,2,53,47,54,0,0,1,0,0,0,0
47,7,22,0,0,0,0,0,0,0,0.0173,0.0412,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
47,7,23,0,0,0,0,0,0,0,0.0173,0.0412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,0,0,0,0,0,0,0,0,0.0173,0.0412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,1,0,0,0,0,0,0,0,0.0173,0.0412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,2,0,0,0,0,0,0,0,0.0173,0.0412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,3,0,0,0,0,0,0,0,0.0173,0.0412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,4,0,0,0,0,0,0,0,0.0173,0.0412,0,0,0,0,1,0,51,43,52,0,0,0,0,0,0,0
47,8,5,0,0,0,0,0,1,0,0.0186,0.0412,0,0,1,0,17,5,205,172,222,0,0,1,0,0,0,0
47,8,6,16,20,1,0,3,0,1,0.0186,0.0412,0,0,1,0,20,13,200,213,220,0,0,0,1,0,0,0
47,8,7,37,39,0,0,7,0,0,0.0186,0.0425,0,0,0,0,4,6,108,114,112,0,0,0,0,0,0,0
47,8,8,23,37,0,0,5,1,0,0.0199,0.0425,0,0,1,0,10,1,126,124,136,0,1,0,0,0,0,0
47,8,9,31,16,0,0,5,2,0,0.0186,0.0425,2,0,2,2,0,3,164,157,164,0,0,1,0,0,1,0
47,8,10,9,24,0,0,4,0,0,0.0173,0.0425,2,0,0,2,7,7,149,152,156,0,0,0,0,0,0,0
47,8,11,27,27,0,0,5,1,2,0.0173,0.0438,1,0,3,1,0,0,190,189,190,0,2,0,0,0,0,1
47,8,12,16,16,0,0,6,0,0,0.0159,0.0452,1,0,0,1,7,1,229,211,236,0,0,0,0,0,0,0
47,8,13,39,24,0,0,5,1,1,0.0173,0.0465,0,0,2,0,14,0,250,249,264,1,0,0,0,0,1,0
47,8,14,26,41,0,0,5,0,0,0.0173,0.0465,0,0,0,0,21,14,345,328,366,0,0,0,0,0,0,0
47,8,15,38,26,0,0,7,2,1,0.0199,0.0478,0,0,3,0,10,16,210,229,220,2,0,0,0,0,1,0
47,8,16,31,31,0,0,6,1,1,0.0199,0.0491,0,0,2,0,9,10,183,188,192,0,0,0,0,1,1,0
47,8,17,24,32,0,0,5,1,0,0.0212,0.0491,0,0,1,0,2,2,140,152,142,0,1,0,0,0,0,0
47,8,18,30,34,0,0,7,0,0,0.0226,0.0491,0,0,0,0,4,0,110,124,114,0,0,0,0,0,0,0
47,8,19,20,11,1,11,5,1,0,0.0241,0.0348,0,6,1,6,1,4,91,88,92,0,0,0,0,0,1,0
47,8,20,0,0,0,0,0,1,1,0.0254,0.0361,0,0,2,0,1,3,97,91,98,0,1,0,0,1,0,0
47,8,21,0,0,0,0,0,0,0,0.0254,0.0361,0,0,0,0,1,0,53,68,54,0,0,0,0,0,0,0
47,8,22,0,0,0,0,0,0,0,0.0254,0.0361,0,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0
47,8,23,0,0,0,0,0,0,0,0.0254,0.0361,0,0,0,0,0,0,2,4,2,0,0,0,0,0,0,0
47,9,0,0,0,0,0,0,0,0,0.0254,0.0361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,9,1,0,0,0,0,0,0,0,0.0254,0.0361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,9,2,0,0,0,0,0,0,0,0.0254,0.0361,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,9,3,0,0,0,0,0,0,0,0.0254,0.0361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,9,4,0,0,0,0,0,0,0,0.0254,0.0361,0,0,0,0,2,0,34,26,36,0,0,0,0,0,0,0
47,9,5,0,0,0,0,0,1,0,0.0267,0.0361,0,0,1,0,9,2,175,152,184,0,0,1,0,0,0,0
47,9,6,13,33,1,0,4,0,3,0.0252,0.0372,1,5,3,6,15,12,189,190,204,1,2,0,0,0,0,0
47,9,7,29,29,0,0,5,0,1,0.0252,0.0412,0,0,1,0,9,7,125,130,134,0,0,0,0,0,1,0
47,9,8,28,28,0,0,6,0,0,0.0226,0.0412,3,0,0,3,4,3,146,141,150,0,0,0,0,0,0,0
47,9,9,30,30,0,0,5,0,0,0.0212,0.0412,0,0,0,0,6,1,160,158,166,0,0,0,0,0,0,0
47,9,10,33,22,0,0,6,2,1,0.0226,0.0412,1,0,3,1,6,0,148,154,154,1,0,1,0,0,1,0
47,9,11,20,18,0,0,5,0,0,0.0212,0.0425,1,0,0,1,2,0,150,146,152,0,0,0,0,0,0,0
47,9,12,27,31,0,0,7,0,0,0.0199,0.0425,1,0,0,1,0,0,206,205,206,0,0,0,0,0,0,0
47,9,13,26,22,0,0,5,1,1,0.0212,0.0438,0,0,2,0,10,3,292,268,302,0,0,1,1,0,0,0
47,9,14,24,37,0,0,6,2,2,0.0239,0.0465,0,0,4,0,7,1,319,312,326,1,2,1,0,0,0,0
47,9,15,28,16,0,0,6,1,0,0.0239,0.0465,1,0,1,1,14,6,236,254,250,0,0,0,0,1,0,0
47,9,16,12,24,0,0,4,0,1,0.0212,0.0478,2,0,1,2,7,2,213,213,220,1,0,0,0,0,0,0
47,9,17,30,22,0,0,7,0,0,0.0186,0.0478,2,0,0,2,5,1,203,207,208,0,0,0,0,0,0,0
47,9,18,20,28,0,0,7,0,1,0.0186,0.0491,0,0,1,0,5,4,151,165,156,1,0,0,0,0,0,0
47,9,19,20,18,1,10,5,0,0,0.0174,0.0362,1,2,0,3,1,4,105,107,106,0,0,0,0,0,0,0
47,9,20,0,0,0,0,0,0,0,0.0174,0.0362,0,0,0,0,1,2,121,119,122,0,0,0,0,0,0,0
47,9,21,0,0,0,0,0,0,2,0.0174,0.0389,0,0,2,0,2,0,88,105,90,0,0,1,1,0,0,0
47,9,22,0,0,0,0,0,0,0,0.0174,0.0389,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
47,9,23,0,0,0,0,0,0,0,0.0174,0.0389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,10,0,0,0,0,0,0,0,0,0.0174,0.0389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,10,1,0,0,0,0,0,0,0,0.0174,0.0389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,10,2,0,0,0,0,0,0,0,0.0174,0.0389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,10,3,0,0,0,0,0,0,0,0.0174,0.0389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,10,4,0,0,0,0,0,0,0,0.0174,0.0389,0,0,0,0,2,2,38,29,40,0,0,0,0,0,0,0
47,10,5,0,0,0,0,0,0,0,0.0174,0.0389,0,0,0,0,9,5,175,147,184,0,0,0,0,0,0,0
47,10,6,5,20,1,0,3,1,0,0.0185,0.0384,0,11,1,11,18,3,180,189,198,0,1,0,0,0,0,0
47,10,7,35,35,0,0,6,0,0,0.0172,0.0384,1,0,0,1,8,9,138,145,146,0,0,0,0,0,0,0
47,10,8,32,13,0,0,5,0,0,0.0172,0.0384,0,0,0,0,8,2,108,119,116,0,0,0,0,0,0,0
47,10,9,20,39,0,0,8,0,0,0.0172,0.0384,0,0,0,0,2,0,186,166,188,0,0,0,0,0,0,0
47,10,10,32,32,0,0,4,1,0,0.0185,0.0384,0,0,1,0,15,0,205,201,220,0,0,0,0,1,0,0
47,10,11,26,25,0,0,5,0,0,0.0185,0.0384,0,0,0,0,2,0,210,205,212,0,0,0,0,0,0,0
47,10,12,32,32,0,0,6,2,0,0.0185,0.0384,2,0,2,2,5,2,275,271,280,0,0,1,0,1,0,0
47,10,13,36,37,0,0,7,1,1,0.0198,0.0397,0,0,2,0,10,0,302,291,312,0,0,1,0,0,1,0
47,10,14,35,21,0,0,6,0,1,0.0185,0.041,1,0,1,1,15,0,349,339,364,1,0,0,0,0,0,0
47,10,15,26,40,0,0,6,1,1,0.0198,0.0423,0,0,2,0,13,2,307,312,320,0,1,0,0,0,1,0
47,10,16,22,18,0,0,4,1,1,0.0198,0.0437,0,0,2,0,9,1,261,262,270,2,0,0,0,0,0,0
47,10,17,24,28,0,0,5,1,0,0.0225,0.0437,0,0,1,0,4,1,184,208,188,0,0,1,0,0,0,0
47,10,18,19,18,0,0,5,1,0,0.0225,0.0437,1,0,1,1,3,0,123,130,126,0,0,0,0,1,0,0
47,10,19,23,12,1,8,8,0,1,0.0225,0.0344,0,8,1,8,4,0,116,126,120,0,0,1,0,0,0,0
47,10,20,0,0,0,0,0,0,2,0.0225,0.0357,0,0,2,0,1,4,117,110,118,1,0,0,0,1,0,0
47,10,21,0,0,0,0,0,0,0,0.0225,0.037,0,0,0,0,1,0,41,58,42,0,0,0,0,0,0,0
47,10,22,0,0,0,0,0,0,0,0.0225,0.037,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
47,10,23,0,0,0,0,0,0,0,0.0225,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,11,0,0,0,0,0,0,0,0,0.0225,0.037,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,11,1,0,0,0,0,0,0,0,0.0225,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,11,2,0,0,0,0,0,0,0,0.0225,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,11,3,0,0,0,0,0,0,0,0.0225,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,11,4,0,0,0,0,0,0,0,0.0225,0.037,0,0,0,0,0,0,28,25,28,0,0,0,0,0,0,0
47,11,5,0,0,0,0,0,2,2,0.0251,0.0397,0,0,4,0,15,3,185,160,200,1,1,1,0,0,1,0
47,11,6,19,37,1,0,4,0,2,0.0251,0.0423,0,0,2,0,29,11,169,173,198,0,0,0,0,0,1,1
47,11,7,34,36,0,0,4,0,1,0.0251,0.0437,0,0,1,0,9,11,157,150,166,0,1,0,0,0,0,0
47,11,8,36,20,0,0,5,0,0,0.0251,0.0437,0,0,0,0,5,1,113,119,118,0,0,0,0,0,0,0
47,11,9,24,24,0,0,6,0,1,0.0238,0.045,1,0,1,1,6,5,140,145,146,0,1,0,0,0,0,0
47,11,10,21,37,0,0,7,1,0,0.0238,0.045,1,0,1,1,2,2,182,163,184,0,0,0,0,1,0,0
47,11,11,35,35,0,0,4,0,2,0.0238,0.0476,0,0,2,0,6,8,198,200,204,1,1,0,0,0,0,0
47,11,12,46,35,0,0,5,1,0,0.0251,0.0476,0,0,1,0,2,0,188,196,190,0,0,0,0,0,1,0
47,11,13,26,25,0,0,4,1,1,0.0265,0.0489,0,0,2,0,5,2,295,263,300,0,1,0,0,0,0,1
47,11,14,28,26,0,0,6,3,1,0.0291,0.0489,1,0,4,1,8,3,332,342,340,0,0,2,0,2,0,0
47,11,15,24,24,0,0,5,0,1,0.0278,0.0503,1,0,1,1,4,2,248,261,252,0,0,1,0,0,0,0
47,11,16,22,27,0,0,7,0,0,0.0265,0.0516,1,0,0,1,3,2,179,184,182,0,0,0,0,0,0,0
47,11,17,21,30,0,0,5,0,1,0.0251,0.0529,1,0,1,1,5,2,167,163,172,0,1,0,0,0,0,0
47,11,18,30,30,0,0,6,0,1,0.0251,0.0542,0,0,1,0,5,1,133,139,138,0,1,0,0,0,0,0
47,11,19,22,22,1,9,7,0,0,0.0254,0.0427,0,2,0,2,2,2,90,100,92,0,0,0,0,0,0,0
47,11,20,0,0,0,0,0,0,0,0.0254,0.0427,0,0,0,0,1,0,85,82,86,0,0,0,0,0,0,0
47,11,21,0,0,0,0,0,0,1,0.0254,0.0441,0,0,1,0,0,1,74,86,74,0,0,0,0,1,0,0
47,11,22,0,0,0,0,0,0,0,0.0254,0.0441,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
47,11,23,0,0,0,0,0,0,0,0.0254,0.0441,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
47,12,0,0,0,0,0,0,0,0,0.0254,0.0441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,12,1,0,0,0,0,0,0,0,0.0254,0.0441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,12,2,0,0,0,0,0,0,0,0.0254,0.0441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,12,3,0,0,0,0,0,0,0,0.0254,0.0441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,12,4,0,0,0,0,0,0,1,0.0254,0.0454,0,0,1,0,2,0,18,14,20,0,0,1,0,0,0,0
47,12,5,0,0,0,0,0,0,0,0.0254,0.0454,0,0,0,0,1,0,17,16,18,0,0,0,0,0,0,0
47,12,6,15,10,1,0,5,0,0,0.0238,0.0449,2,8,0,10,0,0,44,39,44,0,0,0,0,0,0,0
47,12,7,0,15,0,0,3,0,0,0.0225,0.0449,0,0,0,0,0,0,56,52,56,0,0,0,0,0,0,0
47,12,8,36,32,0,0,5,0,2,0.0211,0.0476,1,0,2,1,1,0,99,100,100,0,1,0,0,1,0,0
47,12,9,35,20,0,0,5,0,0,0.0211,0.0476,0,0,0,0,0,0,156,142,156,0,0,0,0,0,0,0
47,12,10,28,30,0,0,5,0,1,0.0211,0.0489,0,0,1,0,3,1,173,161,176,0,0,1,0,0,0,0
47,12,11,14,30,0,0,6,2,0,0.0225,0.0489,0,0,2,0,11,0,177,173,188,1,0,1,0,0,0,0
47,12,12,25,19,0,0,6,1,0,0.0238,0.0489,1,0,1,1,5,0,207,214,212,0,0,0,0,1,0,0
47,12,13,25,20,0,0,5,0,0,0.0225,0.0489,1,0,0,1,1,0,189,198,190,0,0,0,0,0,0,0
47,12,14,9,21,0,0,5,1,0,0.0185,0.0489,4,0,1,4,2,1,208,197,210,0,1,0,0,0,0,0
47,12,15,22,22,0,0,5,0,1,0.0185,0.0502,0,0,1,0,1,0,181,186,182,0,1,0,0,0,0,0
47,12,16,32,25,0,0,5,1,0,0.0185,0.0502,0,0,1,0,1,3,203,192,204,0,1,0,0,0,0,0
