seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
47,6,5,5,0,0,0,0,0,1,34,34,27,0,0,0,0,0,0,0.0134,0.032
47,7,5,5,362,372,2,7,105,77,3062,2957,2958,8,16,24,6,10,16,0.016,0.0426
47,8,5,5,368,388,2,11,149,60,3018,2869,2870,7,19,26,2,7,9,0.0227,0.0535
47,9,5,5,267,281,2,16,102,35,3170,3068,3067,7,12,19,12,18,30,0.016,0.048
47,10,5,5,353,364,2,8,172,57,3432,3260,3261,11,10,21,6,16,22,0.0224,0.0501
47,11,5,5,345,350,2,9,232,42,3062,2830,2831,6,11,17,8,8,16,0.0198,0.0528
47,12,5,5,279,298,2,12,49,18,2188,2139,2140,5,7,12,10,0,10,0.0134,0.047
47,13,5,5,275,284,2,15,13,9,1730,1717,1718,1,3,4,3,21,24,0.0107,0.0306
47,14,5,5,391,392,2,9,174,50,3212,3038,3032,17,13,30,5,9,14,0.0266,0.036
47,15,5,5,352,372,2,8,128,21,2970,2842,2845,15,10,25,8,6,14,0.0347,0.0387
47,16,5,5,374,382,2,6,183,42,3240,3057,3055,8,7,15,12,17,29,0.0289,0.0395
47,17,5,5,368,383,2,11,118,58,3364,3246,3251,15,9,24,13,0,13,0.032,0.0374
47,18,5,5,347,353,2,6,127,46,3024,2897,2898,10,12,22,13,17,30,0.0263,0.0447
47,19,5,5,309,310,2,10,34,10,2198,2164,2163,5,10,15,6,0,6,0.0253,0.0453
47,20,5,5,334,350,2,13,8,10,1678,1670,1662,4,5,9,11,16,27,0.0159,0.0345
47,21,5,5,368,378,2,7,109,61,3050,2941,2947,6,10,16,7,0,7,0.0147,0.0389
47,22,5,5,347,360,2,5,102,55,3112,3010,3002,11,7,18,4,20,24,0.0237,0.0407
47,23,5,5,334,341,2,13,213,54,3292,3079,3089,8,15,23,11,5,16,0.0199,0.0438
47,24,5,5,374,379,2,8,150,95,3418,3268,3265,14,4,18,12,13,25,0.0224,0.0383
47,25,5,5,338,345,2,8,154,72,3076,2922,2926,10,12,22,7,0,7,0.0267,0.044
47,26,5,5,333,333,2,6,92,33,2476,2384,2384,8,11,19,8,14,22,0.0264,0.0501
47,27,5,5,254,274,2,14,13,10,1596,1583,1583,6,5,11,8,2,10,0.0241,0.0389
