seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
47,6,23,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,0,0,0,0,-25,-24,-17,-29,-15,-12,-7
47,7,0,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7,1,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7,2,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7,3,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7,4,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,1,34,27,34,0,0,0,0,0,0,0
47,7,5,0,0,0,0,0,1,2,0.0147,0.0347,0,0,3,0,12,1,178,157,190,1,0,0,0,0,0,2
47,7,6,17,17,1,0,3,1,0,0.016,0.0347,0,0,1,0,4,5,188,187,192,0,0,0,0,0,1,0
47,7,7,27,35,0,0,5,1,0,0.0174,0.0347,1,0,1,1,4,3,150,158,154,0,0,1,0,0,0,0
47,7,8,23,31,0,0,5,0,0,0.016,0.0347,0,0,0,0,1,2,105,105,106,0,0,0,0,0,0,0
47,7,9,28,20,0,0,4,1,0,0.016,0.0347,1,0,1,1,0,0,166,148,166,0,1,0,0,0,0,0
47,7,10,31,43,0,0,7,0,0,0.016,0.0347,0,0,0,0,7,0,179,188,186,0,0,0,0,0,0,0
47,7,11,31,30,0,0,5,0,0,0.016,0.0347,0,0,0,0,0,1,156,161,156,0,0,0,0,0,0,0
47,7,12,27,15,0,0,6,1,0,0.0134,0.0347,2,0,1,2,1,1,243,235,244,1,0,0,0,0,0,0
47,7,13,23,26,0,0,5,1,2,0.016,0.0374,0,0,3,0,10,2,228,230,238,1,0,0,0,1,1,0
47,7,14,24,34,0,0,5,2,4,0.016,0.0401,1,0,6,1,19,8,345,322,364,2,0,2,1,0,1,0
47,7,15,36,24,0,0,5,1,1,0.0187,0.0441,0,0,2,0,5,6,235,239,240,0,0,0,0,0,0,2
47,7,16,20,23,0,0,7,1,1,0.0187,0.0441,0,0,2,0,10,0,198,200,208,0,1,0,1,0,0,0
47,7,17,18,27,0,0,5,0,1,0.0187,0.0467,1,0,1,1,0,6,164,184,164,0,0,0,0,0,1,0
47,7,18,26,18,0,0,5,0,1,0.0174,0.0481,1,0,1,1,1,3,169,168,170,0,0,0,0,0,0,1
47,7,19,16,16,1,12,5,0,1,0.0174,0.0334,0,12,1,12,0,0,106,112,106,0,0,1,0,0,0,0
47,7,20,0,0,0,0,0,0,0,0.0174,0.0334,0,0,0,0,1,0,71,80,72,0,0,0,0,0,0,0
47,7,21,0,0,0,0,0,2,0,0.02,0.0334,0,0,2,0,4,0,50,49,54,0,0,0,1,0,1,0
47,7,22,0,0,0,0,0,0,0,0.02,0.0334,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0
47,7,23,0,0,0,0,0,0,0,0.02,0.0334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,0,0,0,0,0,0,0,0,0.02,0.0334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,1,0,0,0,0,0,0,0,0.02,0.0334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,2,0,0,0,0,0,0,0,0.02,0.0334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,3,0,0,0,0,0,0,0,0.02,0.0334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,4,0,0,0,0,0,0,0,0.02,0.0334,0,0,0,0,4,0,48,41,52,0,0,0,0,0,0,0
47,8,5,0,0,0,0,0,1,0,0.0214,0.0334,0,0,1,0,4,4,218,185,222,0,0,1,0,0,0,0
47,8,6,16,36,1,0,4,1,1,0.0214,0.0347,1,0,2,1,14,11,206,203,220,0,0,1,0,0,0,1
47,8,7,33,33,0,0,5,1,0,0.02,0.0347,1,0,1,1,0,11,112,132,112,1,0,0,0,0,0,0
47,8,8,26,26,0,0,5,1,0,0.0214,0.0347,1,0,1,1,0,1,136,136,136,0,0,0,0,0,0,1
47,8,9,44,29,0,0,6,1,1,0.02,0.036,2,0,2,2,1,3,163,148,164,1,0,0,1,0,0,0
47,8,10,23,28,0,0,5,2,0,0.0214,0.036,0,0,2,0,6,4,150,159,156,0,0,0,0,1,0,1
47,8,11,25,33,0,0,5,0,1,0.0227,0.0374,0,0,1,0,5,2,185,184,190,0,1,0,0,0,0,0
47,8,12,30,20,0,0,7,0,1,0.0214,0.0374,1,0,1,1,5,0,231,217,236,0,0,1,0,0,0,0
47,8,13,24,24,0,0,6,2,0,0.024,0.0387,0,0,2,0,11,0,253,252,264,0,0,1,0,1,0,0
47,8,14,22,34,0,0,6,0,0,0.024,0.0387,0,0,0,0,21,7,345,322,366,0,0,0,0,0,0,0
47,8,15,33,22,0,0,5,5,2,0.0294,0.0414,0,0,7,0,16,5,204,227,220,1,0,3,1,1,0,1
47,8,16,21,32,0,0,5,1,0,0.028,0.0414,1,0,1,1,7,6,185,197,192,0,0,0,0,0,0,1
47,8,17,22,11,0,0,5,1,1,0.0307,0.0427,0,0,2,0,5,10,137,141,142,0,2,0,0,0,0,0
47,8,18,16,27,0,0,6,0,0,0.0294,0.0427,1,0,0,1,10,1,104,123,114,0,0,0,0,0,0,0
47,8,19,14,14,1,13,8,1,0,0.0305,0.0252,0,17,1,17,0,0,92,88,92,0,0,0,0,0,1,0
47,8,20,0,0,0,0,0,1,1,0.0319,0.0266,0,0,2,0,0,4,98,93,98,0,1,0,0,0,1,0
47,8,21,0,0,0,0,0,0,0,0.0319,0.0266,0,0,0,0,7,2,47,60,54,0,0,0,0,0,0,0
47,8,22,0,0,0,0,0,0,0,0.0319,0.0266,0,0,0,0,0,2,2,6,2,0,0,0,0,0,0,0
47,8,23,0,0,0,0,0,0,0,0.0319,0.0266,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0
47,9,0,0,0,0,0,0,0,0,0.0319,0.0266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,9,1,0,0,0,0,0,0,0,0.0319,0.0266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,9,2,0,0,0,0,0,0,0,0.0319,0.0266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,9,3,0,0,0,0,0,0,0,0.0319,0.0266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,9,4,0,0,0,0,0,0,0,0.0319,0.0266,0,0,0,0,0,0,36,32,36,0,0,0,0,0,0,0
47,9,5,0,0,0,0,0,2,0,0.0345,0.0266,0,0,2,0,16,1,168,134,184,1,0,1,0,0,0,0
47,9,6,12,29,1,0,5,0,2,0.0319,0.0292,2,0,2,2,1,6,203,208,204,0,2,0,0,0,0,0
47,9,7,33,20,0,0,6,0,2,0.0319,0.0319,0,0,2,0,12,2,122,134,134,0,0,1,0,1,0,0
47,9,8,32,26,0,0,4,0,0,0.0319,0.0319,0,0,0,0,6,3,144,139,150,0,0,0,0,0,0,0
47,9,9,23,42,0,0,6,0,0,0.0319,0.0319,0,0,0,0,6,0,160,157,166,0,0,0,0,0,0,0
47,9,10,26,26,0,0,6,2,0,0.0332,0.0319,1,0,2,1,0,0,154,164,154,0,0,0,2,0,0,0
47,9,11,34,25,0,0,5,1,0,0.0332,0.0319,1,0,1,1,0,1,152,141,152,0,0,0,0,1,0,0
47,9,12,27,30,0,0,6,0,0,0.0319,0.0319,1,0,0,1,2,5,204,202,206,0,0,0,0,0,0,0
47,9,13,19,15,0,0,4,3,1,0.0319,0.0332,2,0,4,2,4,2,298,277,302,0,3,0,1,0,0,0
47,9,14,22,32,0,0,6,2,0,0.0332,0.0332,2,0,2,2,2,5,324,317,326,0,1,0,0,0,0,1
47,9,15,36,24,0,0,5,0,1,0.0319,0.0345,1,0,1,1,6,5,244,263,250,0,0,0,1,0,0,0
47,9,16,32,44,0,0,7,0,0,0.0305,0.0345,1,0,0,1,9,3,211,213,220,0,0,0,0,0,0,0
47,9,17,19,19,0,0,6,3,0,0.0332,0.0345,1,0,3,1,3,1,205,201,208,0,0,0,0,1,1,1
47,9,18,32,24,0,0,6,1,0,0.0319,0.0345,2,0,1,2,1,2,155,174,156,0,0,0,0,1,0,0
47,9,19,21,17,1,8,5,0,1,0.0322,0.0242,0,0,1,0,3,4,103,112,106,0,0,0,1,0,0,0
47,9,20,0,0,0,0,0,0,1,0.0322,0.0268,0,0,1,0,1,1,121,115,122,0,0,0,0,0,1,0
47,9,21,0,0,0,0,0,0,0,0.0322,0.0268,0,0,0,0,2,0,88,97,90,0,0,0,0,0,0,0
47,9,22,0,0,0,0,0,0,0,0.0322,0.0268,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
47,9,23,0,0,0,0,0,0,0,0.0322,0.0268,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,10,0,0,0,0,0,0,0,0,0.0322,0.0268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,10,1,0,0,0,0,0,0,0,0.0322,0.0268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,10,2,0,0,0,0,0,0,0,0.0322,0.0268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,10,3,0,0,0,0,0,0,0,0.0322,0.0268,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,10,4,0,0,0,0,0,0,0,0.0322,0.0268,0,0,0,0,2,0,38,32,40,0,0,0,0,0,0,0
47,10,5,0,0,0,0,0,0,0,0.0322,0.0268,0,0,0,0,8,5,176,150,184,0,0,0,0,0,0,0
47,10,6,20,20,1,0,3,0,0,0.0319,0.0266,0,8,0,8,18,7,180,192,198,0,0,0,0,0,0,0
47,10,7,20,40,0,0,5,0,0,0.0319,0.0266,0,0,0,0,16,3,130,128,146,0,0,0,0,0,0,0
47,10,8,27,27,0,0,5,0,0,0.0319,0.0266,0,0,0,0,4,0,112,119,116,0,0,0,0,0,0,0
47,10,9,39,24,0,0,5,1,0,0.0319,0.0266,0,0,1,0,1,3,187,164,188,0,0,1,0,0,0,0
47,10,10,18,15,0,0,3,0,0,0.0319,0.0266,1,0,0,1,16,0,204,201,220,0,0,0,0,0,0,0
47,10,11,31,49,0,0,5,0,1,0.0319,0.0279,0,0,1,0,9,1,203,202,212,1,0,0,0,0,0,0
47,10,12,26,26,0,0,4,3,1,0.0345,0.0292,0,0,4,0,14,3,266,257,280,1,0,1,2,0,0,0
47,10,13,23,12,0,0,4,0,1,0.0345,0.0305,1,0,1,1,12,3,300,293,312,0,1,0,0,0,0,0
47,10,14,30,41,0,0,5,1,2,0.0332,0.0332,1,0,3,1,15,5,349,343,364,1,0,1,1,0,0,0
47,10,15,32,15,0,0,4,2,0,0.0345,0.0332,1,0,2,1,20,2,300,313,320,0,0,0,1,1,0,0
47,10,16,17,34,0,0,6,3,1,0.0372,0.0345,2,0,4,2,14,4,256,254,270,0,1,0,1,0,1,1
47,10,17,17,17,0,0,3,1,0,0.0385,0.0345,0,0,1,0,4,7,184,197,188,0,1,0,0,0,0,0
47,10,18,44,31,0,0,7,0,3,0.0359,0.0372,2,0,3,2,4,0,122,126,126,1,0,1,1,0,0,0
47,10,19,12,25,1,4,5,1,0,0.0367,0.0315,0,13,1,13,3,0,117,128,120,0,0,0,0,0,0,1
47,10,20,0,0,0,0,0,1,0,0.0381,0.0315,0,0,1,0,1,3,117,123,118,0,0,0,0,1,0,0
47,10,21,0,0,0,0,0,0,0,0.0381,0.0315,0,0,0,0,0,3,42,49,42,0,0,0,0,0,0,0
47,10,22,0,0,0,0,0,0,0,0.0381,0.0315,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0
47,10,23,0,0,0,0,0,0,0,0.0381,0.0315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,11,0,0,0,0,0,0,0,0,0.0381,0.0315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,11,1,0,0,0,0,0,0,0,0.0381,0.0315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,11,2,0,0,0,0,0,0,0,0.0381,0.0315,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,11,3,0,0,0,0,0,0,0,0.0381,0.0315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,11,4,0,0,0,0,0,0,0,0.0381,0.0315,0,0,0,0,0,0,28,25,28,0,0,0,0,0,0,0
47,11,5,0,0,0,0,0,0,3,0.0381,0.0354,0,0,3,0,17,4,183,156,200,1,0,0,0,1,1,0
47,11,6,20,13,1,0,3,1,0,0.0381,0.0354,1,0,1,1,28,13,170,168,198,0,0,0,0,0,1,0
47,11,7,16,16,0,0,4,0,0,0.0354,0.0354,2,0,0,2,13,12,153,161,166,0,0,0,0,0,0,0
47,11,8,34,38,0,0,5,0,0,0.0354,0.0354,0,0,0,0,2,2,116,111,118,0,0,0,0,0,0,0
47,11,9,40,36,0,0,5,1,1,0.0328,0.0367,2,0,2,2,1,3,145,153,146,1,0,1,0,0,0,0
47,11,10,14,20,0,0,4,1,2,0.0354,0.0381,0,0,3,0,13,3,171,161,184,0,1,1,1,0,0,0
47,11,11,22,36,0,0,6,1,0,0.0341,0.0394,2,0,1,2,5,2,199,194,204,0,0,0,0,0,0,1
47,11,12,25,25,0,0,4,0,1,0.0341,0.0407,0,0,1,0,8,1,182,193,190,0,0,0,0,1,0,0
47,11,13,30,30,0,0,5,2,1,0.0328,0.042,3,0,3,3,15,2,285,254,300,2,0,0,0,0,1,0
47,11,14,35,25,0,0,5,2,3,0.0354,0.0459,0,0,5,0,13,7,327,330,340,0,2,1,0,0,1,1
47,11,15,30,33,0,0,6,0,1,0.0354,0.0472,0,0,1,0,4,4,248,259,252,0,1,0,0,0,0,0
47,11,16,24,31,0,0,5,0,0,0.0341,0.0472,1,0,0,1,3,5,179,184,182,0,0,0,0,0,0,0
47,11,17,38,24,0,0,5,1,2,0.0354,0.0499,0,0,3,0,18,7,154,161,172,1,1,1,0,0,0,0
47,11,18,24,38,0,0,6,0,1,0.0354,0.0512,0,0,1,0,5,2,133,137,138,0,0,0,1,0,0,0
47,11,19,19,19,1,7,5,0,0,0.0356,0.0422,0,4,0,4,1,0,91,100,92,0,0,0,0,0,0,0
47,11,20,0,0,0,0,0,0,0,0.0356,0.0422,0,0,0,0,0,0,86,84,86,0,0,0,0,0,0,0
47,11,21,0,0,0,0,0,0,0,0.0356,0.0422,0,0,0,0,2,0,72,83,74,0,0,0,0,0,0,0
47,11,22,0,0,0,0,0,0,0,0.0356,0.0422,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
47,11,23,0,0,0,0,0,0,0,0.0356,0.0422,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
47,12,0,0,0,0,0,0,0,0,0.0356,0.0422,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,12,1,0,0,0,0,0,0,0,0.0356,0.0422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,12,2,0,0,0,0,0,0,0,0.0356,0.0422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,12,3,0,0,0,0,0,0,0,0.0356,0.0422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,12,4,0,0,0,0,0,0,0,0.0356,0.0422,0,0,0,0,1,0,19,15,20,0,0,0,0,0,0,0
47,12,5,0,0,0,0,0,0,1,0.0356,0.0435,0,0,1,0,0,0,18,17,18,0,0,0,0,0,1,0
47,12,6,31,19,1,0,5,0,0,0.0356,0.0435,0,0,0,0,1,0,43,39,44,0,0,0,0,0,0,0
47,12,7,18,34,0,0,5,1,0,0.0316,0.0435,3,0,1,3,1,0,55,47,56,1,0,0,0,0,0,0
47,12,8,46,27,0,0,7,0,0,0.0316,0.0435,1,0,0,1,0,0,100,95,100,0,0,0,0,0,0,0
47,12,9,25,41,0,0,6,0,0,0.0316,0.0435,0,0,0,0,1,0,155,145,156,0,0,0,0,0,0,0
47,12,10,24,27,0,0,5,1,2,0.0329,0.0461,0,0,3,0,3,1,173,176,176,0,0,0,2,1,0,0
47,12,11,24,24,0,0,4,0,1,0.0316,0.0474,1,0,1,1,15,0,173,154,188,0,0,1,0,0,0,0
47,12,12,29,22,0,0,5,2,0,0.0329,0.0474,2,0,2,2,12,2,200,217,212,0,0,0,0,1,0,1
47,12,13,20,25,0,0,5,0,0,0.0316,0.0474,0,0,0,0,6,0,184,187,190,0,0,0,0,0,0,0
47,12,14,22,24,0,0,5,1,0,0.0329,0.0474,0,0,1,0,2,0,208,196,210,0,0,0,1,0,0,0
47,12,15,25,12,0,0,3,0,1,0.029,0.0487,3,0,1,3,1,0,181,185,182,0,0,0,1,0,0,0
47,12,16,22,22,0,0,4,0,0,0.029,0.0487,0,0,0,0,0,0,204,195,204,0,0,0,0,0,0,0
