seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
46,6,5,5,0,0,0,0,0,0,20,20,17,0,0,0,0,0,0,0.0106,0.0265
46,7,5,5,396,416,2,2,157,61,3150,2993,2991,12,10,22,5,12,17,0.0196,0.0366
46,8,5,5,346,345,2,7,122,51,3028,2906,2906,17,16,33,13,0,13,0.0251,0.0475
46,9,5,5,310,325,2,13,75,77,3174,3099,3099,8,15,23,9,2,11,0.0241,0.0509
46,10,5,5,340,336,2,9,140,31,3332,3192,3190,13,11,24,10,16,26,0.0279,0.0531
46,11,5,5,377,397,2,9,144,61,3040,2896,2900,8,8,16,6,4,10,0.0307,0.0521
46,12,5,5,312,324,2,12,54,13,2232,2178,2176,9,5,14,8,18,26,0.0318,0.0424
46,13,5,5,303,311,2,9,49,15,1712,1663,1663,5,2,7,12,0,12,0.0228,0.0335
46,14,5,5,397,395,2,4,188,68,3096,2908,2907,12,18,30,9,16,25,0.0264,0.0515
46,15,5,5,383,397,2,8,108,55,2942,2834,2834,14,7,21,6,5,11,0.0371,0.0503
46,16,5,5,334,339,2,10,187,73,3300,3113,3116,13,3,16,13,4,17,0.0374,0.0414
46,17,5,5,369,387,2,2,152,67,3274,3122,3121,13,8,21,11,18,29,0.0392,0.0484
46,18,5,5,348,348,2,10,116,58,3112,2996,2994,8,5,13,12,2,14,0.0343,0.0423
46,19,5,5,305,312,2,10,36,34,2224,2188,2192,8,13,21,13,0,13,0.0281,0.0469
46,20,5,5,300,304,3,9,22,9,1658,1636,1633,6,6,12,14,19,33,0.0172,0.0423
46,21,5,5,353,373,2,11,120,77,3126,3006,3007,10,19,29,8,10,18,0.0185,0.0516
46,22,5,5,334,344,2,10,101,32,2916,2815,2817,13,14,27,7,11,18,0.0264,0.0581
46,23,5,5,380,381,2,9,157,52,3180,3023,3020,11,17,28,9,0,9,0.0294,0.0695
46,24,5,5,316,330,2,14,138,48,3428,3290,3290,8,19,27,7,10,17,0.0309,0.0766
46,25,5,5,280,291,2,16,87,32,3048,2961,2961,15,12,27,12,9,21,0.0353,0.0719
46,26,5,5,294,304,2,11,49,5,2322,2273,2275,9,5,14,13,26,39,0.0293,0.0625
46,27,5,5,337,357,2,10,24,10,1624,1600,1602,5,3,8,14,15,29,0.0172,0.0528
