seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
47,6,5,5,0,0,0,0,0,1,34,34,27,0,0,0,0,0,0,0.0134,0.032
47,7,5,5,371,398,3,8,116,86,3062,2946,2947,12,15,27,5,17,22,0.0224,0.0409
47,8,5,5,419,415,2,6,165,147,3018,2853,2852,16,9,25,1,6,7,0.0422,0.0449
47,9,5,5,363,371,3,9,139,79,3170,3031,3030,9,9,18,6,8,14,0.0462,0.0449
47,10,5,5,376,388,2,9,154,81,3432,3278,3285,11,5,16,19,9,28,0.0357,0.0396
47,11,5,5,351,368,3,7,145,40,3062,2917,2913,13,12,25,10,9,19,0.0395,0.0461
47,12,5,5,344,351,2,9,64,29,2188,2124,2126,5,8,13,10,1,11,0.0333,0.0453
47,13,5,5,335,340,2,8,39,30,1730,1691,1688,2,4,6,9,6,15,0.024,0.0401
47,14,5,5,383,381,2,5,204,32,3212,3008,3007,15,9,24,9,14,23,0.0317,0.0449
47,15,5,5,390,407,2,4,143,61,2970,2827,2830,5,11,16,10,3,13,0.0251,0.0542
47,16,5,5,378,379,2,8,168,72,3240,3072,3074,11,5,16,6,5,11,0.0318,0.0504
47,17,5,5,353,367,2,9,212,115,3364,3152,3151,13,11,24,12,12,24,0.033,0.0528
47,18,5,5,353,361,2,9,173,64,3024,2851,2853,9,15,24,8,0,8,0.0348,0.0615
47,19,5,5,285,287,2,13,61,29,2198,2137,2135,12,13,25,15,18,33,0.0305,0.0611
47,20,5,5,311,318,2,11,26,19,1678,1652,1643,3,5,8,15,11,26,0.0146,0.0531
47,21,5,5,353,373,2,10,174,60,3050,2876,2881,12,16,28,5,13,18,0.0238,0.0608
47,22,5,5,338,342,1,0,93,6,3112,3019,3012,5,6,11,9,0,9,0.0185,0.0675
47,23,5,5,355,374,2,21,112,112,3292,3180,3191,14,12,26,8,10,18,0.0255,0.0577
47,24,5,5,352,363,2,10,150,95,3418,3268,3263,13,12,25,11,21,32,0.0278,0.0595
47,25,5,5,324,326,2,12,145,48,3076,2931,2935,14,10,24,11,0,11,0.0323,0.0578
47,26,5,5,342,358,2,10,45,26,2476,2431,2432,7,14,21,7,10,17,0.0323,0.0632
47,27,5,5,344,347,2,9,17,35,1596,1579,1582,4,6,10,10,21,31,0.0238,0.0582
