seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
45,6,23,0,0,0,0,0,0,0,0.0106,0.0199,0,0,0,0,0,0,0,0,0,-28,-16,-19,-22,-16,-13,-8
45,7,0,0,0,0,0,0,0,0,0.0106,0.0199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,7,1,0,0,0,0,0,0,0,0.0106,0.0199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,7,2,0,0,0,0,0,0,0,0.0106,0.0199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,7,3,0,0,0,0,0,0,0,0.0106,0.0199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,7,4,0,0,0,0,0,1,0,0.0106,0.0199,0,0,1,0,4,1,46,38,50,0,1,0,0,0,0,0
45,7,5,0,0,0,0,0,0,0,0.0119,0.0199,0,0,0,0,11,0,203,185,214,0,0,0,0,0,0,0
45,7,6,16,20,1,0,3,1,1,0.0132,0.0211,0,4,2,4,16,5,170,155,186,1,0,0,0,0,1,0
45,7,7,47,43,0,0,6,0,1,0.0132,0.0224,0,0,1,0,2,6,120,135,122,0,1,0,0,0,0,0
45,7,8,27,28,0,0,4,0,0,0.0132,0.0224,0,0,0,0,8,2,120,122,128,0,0,0,0,0,0,0
45,7,9,26,44,0,0,5,2,0,0.0158,0.0224,0,0,2,0,2,0,158,158,160,0,2,0,0,0,0,0
45,7,10,36,25,0,0,5,0,3,0.0158,0.0237,0,0,3,0,1,0,185,176,186,2,0,0,0,0,1,0
45,7,11,30,37,0,0,7,1,0,0.0171,0.0264,0,0,1,0,1,0,187,187,188,1,0,0,0,0,0,0
45,7,12,31,36,0,0,6,1,0,0.0184,0.0264,0,0,1,0,2,0,204,211,206,0,0,1,0,0,0,0
45,7,13,32,32,0,0,5,1,0,0.0171,0.0264,3,0,1,3,3,0,245,236,248,1,0,0,0,0,0,0
45,7,14,16,16,0,0,2,1,4,0.0158,0.0316,1,0,5,1,29,9,387,351,416,2,1,2,0,0,0,0
45,7,15,26,26,0,0,4,0,2,0.0132,0.0343,2,0,2,2,20,7,190,219,210,1,1,0,0,0,0,0
45,7,16,29,29,0,0,4,1,0,0.0145,0.0343,0,0,1,0,10,1,184,182,194,0,0,0,0,0,1,0
45,7,17,42,26,0,0,5,0,0,0.0145,0.0343,0,0,0,0,5,2,161,168,166,0,0,0,0,0,0,0
45,7,18,30,31,0,0,4,1,0,0.0158,0.0343,1,0,1,1,5,0,131,139,136,0,0,0,0,0,1,0
45,7,19,14,25,1,5,4,0,0,0.0144,0.0276,0,8,0,8,4,0,94,99,98,0,0,0,0,0,0,0
45,7,20,0,0,0,0,0,0,0,0.0144,0.0276,0,0,0,0,0,0,82,86,82,0,0,0,0,0,0,0
45,7,21,0,0,0,0,0,1,0,0.0144,0.0276,0,0,1,0,8,2,72,76,80,0,0,0,1,0,0,0
45,7,22,0,0,0,0,0,0,0,0.0157,0.0276,0,0,0,0,0,2,0,15,0,0,0,0,0,0,0,0
45,7,23,0,0,0,0,0,0,0,0.0157,0.0276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,8,0,0,0,0,0,0,0,0,0.0157,0.0276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,8,1,0,0,0,0,0,0,0,0.0157,0.0276,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,8,2,0,0,0,0,0,0,0,0.0157,0.0276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,8,3,0,0,0,0,0,0,0,0.0157,0.0276,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,8,4,0,0,0,0,0,0,0,0.0157,0.0276,0,0,0,0,0,0,28,20,28,0,0,0,0,0,0,0
45,8,5,0,0,0,0,0,2,1,0.0171,0.0289,0,0,3,0,27,4,227,203,254,0,1,0,1,1,0,0
45,8,6,20,32,1,0,4,1,1,0.0197,0.0302,0,0,2,0,31,1,187,185,218,0,0,0,0,1,1,0
45,8,7,31,30,0,0,4,0,1,0.0171,0.0315,2,0,1,2,5,13,143,144,148,0,0,0,0,0,1,0
45,8,8,47,34,0,0,7,0,0,0.0157,0.0315,1,0,0,1,3,2,97,111,100,0,0,0,0,0,0,0
45,8,9,18,30,0,0,3,0,2,0.0157,0.0341,0,0,2,0,10,9,186,176,196,0,1,1,0,0,0,0
45,8,10,30,32,0,0,5,0,0,0.0157,0.0341,0,0,0,0,3,2,149,152,152,0,0,0,0,0,0,0
45,8,11,46,28,0,0,9,0,1,0.0157,0.0354,0,0,1,0,1,1,195,186,196,0,0,0,0,0,0,1
45,8,12,19,27,0,0,4,0,1,0.0157,0.0367,0,0,1,0,7,0,247,238,254,1,0,0,0,0,0,0
45,8,13,30,40,0,0,5,0,2,0.0144,0.0381,1,0,2,1,6,12,274,272,280,1,0,0,0,1,0,0
45,8,14,28,28,0,0,4,0,2,0.0144,0.042,0,0,2,0,8,31,308,288,316,0,1,0,0,0,1,0
45,8,15,27,12,0,0,4,1,1,0.0157,0.042,0,0,2,0,4,23,226,257,230,0,1,1,0,0,0,0
45,8,16,14,29,0,0,3,0,1,0.0157,0.0446,0,0,1,0,6,8,200,201,206,0,0,0,0,0,1,0
45,8,17,26,26,0,0,4,1,0,0.0157,0.0446,0,0,1,0,8,1,146,149,154,0,0,1,0,0,0,0
45,8,18,39,39,0,0,6,0,0,0.0171,0.0446,0,0,0,0,2,0,172,169,174,0,0,0,0,0,0,0
45,8,19,28,14,1,6,4,2,0,0.0171,0.0368,1,5,2,6,3,8,105,115,108,0,1,0,0,0,1,0
45,8,20,0,0,0,0,0,0,1,0.0184,0.0381,0,0,1,0,0,4,80,88,80,1,0,0,0,0,0,0
