seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_global_depot_backlog,phi_demand_weighted_depot_backlog,phi_demand_weighted_onsite_backlog,phi_fleet_broken_fraction,phi_depot_idle_fraction,phi_recoverable_starvation,phi_maintenance_urgency,phi_rush_hour_onsite_backlog,phi_fleet_failure_risk,phi_fleet_health_deficit,phi_fleet_low_health_fraction,phi_depot_bound_health_deficit,phi_onsite_health_deficit,phi_maintenance_restoration_value,phi_onsite_shortage_pressure,phi_depot_shortage_pressure,phi_current_station_onsite_shortage_pressure,phi_current_station_depot_shortage_pressure,phi_broken_cargo_distance_pressure,phi_late_broken_cargo_pressure,phi_repaired_idle_away_pressure,phi_depot_pipeline_pressure,phi_depot_queue_pickup_opportunity,phi_degradation_demand_exposure,phi_destination_starv_ratio,phi_destination_cong_ratio,phi_destination_onsite_fraction,phi_destination_depot_fraction,phi_destination_travel_penalty,phi_destination_roi_starvation,phi_cur_station_onsite_fraction,phi_cur_station_func_deficit,phi_functional_load_late_pressure,phi_depot_load_late_pressure,phi_non_depot_late_load_pressure,phi_late_depot_return,phi_depot_slack_fraction,phi_can_return_to_depot,phi_depot_return_urgency
46,7,6,7,D0,True,20,0,20,0,0,0,0,0,0,[],0.0,S13,6.48,20,0,20,0.0,-5.860818,,,-5.860818,True,True,,,,,,,0.627325,0.218631,0.145506,,,,,,,0.035157,0.031462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,6,28,S13,False,20,0,20,19,0,0,0,0,0,"['B339', 'B551', 'B653', 'B764', 'B615', 'B247', 'B459', 'B202', 'B293', 'B330', 'B107', 'B222', 'B699', 'B113', 'B27', 'B170', 'B382', 'B88', 'B402']",9.5,S44,12.17,1,0,1,0.0,-5.874208,,,-5.874208,True,False,,,,,,,0.631174,0.233842,0.143647,,,,,,,0.048686,0.020702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,6,50,S44,False,1,0,1,0,19,0,0,0,0,"['B563', 'B595', 'B70', 'B189', 'B186', 'B631', 'B59', 'B533', 'B271', 'B588', 'B121', 'B154', 'B177', 'B378', 'B478', 'B51', 'B52', 'B169', 'B710']",9.5,S26,7.72,20,0,20,0.0,-5.872062,,,-5.872062,False,False,,,,,,,0.623477,0.221932,0.166954,,,,,,,0.116019,0.022554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,7,7,S26,False,20,0,20,20,0,0,0,0,0,"['B604', 'B563', 'B595', 'B70', 'B189', 'B186', 'B631', 'B59', 'B533', 'B271', 'B588', 'B121', 'B154', 'B177', 'B378', 'B478', 'B51', 'B52', 'B169', 'B710']",10.0,S29,5.02,0,0,0,0.0,-5.890013,,,-5.890013,False,False,,,,,,,0.632457,0.234242,0.168355,,,,,,,0.113169,0.028874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,7,22,S29,False,0,0,0,0,17,0,0,0,0,"['B35', 'B279', 'B606', 'B485', 'B178', 'B261', 'B656', 'B25', 'B443', 'B61', 'B463', 'B90', 'B621', 'B53', 'B607', 'B684', 'B510']",8.5,S24,7.96,17,0,17,0.0,-5.858535,,,-5.858535,False,False,,,,,,,0.614496,0.219631,0.170124,,,,,,,0.094041,0.032484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,7,39,S24,False,17,0,17,15,0,0,0,0,0,"['B35', 'B279', 'B606', 'B485', 'B178', 'B261', 'B656', 'B25', 'B443', 'B61', 'B463', 'B90', 'B621', 'B53', 'B607']",7.5,S33,8.48,2,0,2,0.0,-5.857796,,,-5.857796,False,False,,,,,,,0.614496,0.228204,0.151536,,,,,,,0.085814,0.028705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,7,55,S33,False,2,0,2,0,14,0,0,0,0,"['B290', 'B215', 'B144', 'B237', 'B146', 'B142', 'B91', 'B157', 'B473', 'B238', 'B728', 'B502', 'B365', 'B431']",7.0,S15,3.7,16,0,16,0.0,-5.832031,,,-5.832031,False,False,,,,,,,0.596536,0.228616,0.158921,,,,,,,0.03719,0.033699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,8,5,S15,False,16,0,16,16,0,0,0,0,0,"['B684', 'B510', 'B290', 'B215', 'B144', 'B237', 'B146', 'B142', 'B91', 'B157', 'B473', 'B238', 'B728', 'B502', 'B365', 'B431']",8.0,S0,9.01,0,0,0,0.0,-5.823725,,,-5.823725,False,False,,,,,,,0.587556,0.233022,0.151808,,,,,,,0.051579,0.033881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,8,22,S0,False,0,0,0,0,16,0,0,0,0,"['B167', 'B206', 'B495', 'B77', 'B358', 'B409', 'B50', 'B733', 'B433', 'B763', 'B333', 'B659', 'B256', 'B42', 'B767', 'B417']",8.0,S55,6.32,16,0,16,0.0,-5.819879,,,-5.819879,False,False,,,,,,,0.587556,0.224348,0.156896,,,,,,,0.049679,0.033116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7,8,37,S55,False,16,0,16,16,0,0,0,0,0,"['B167', 'B206', 'B495', 'B77', 'B358', 'B409', 'B50', 'B733', 'B433', 'B763', 'B333', 'B659', 'B256', 'B42', 'B767', 'B417']",8.0,S59,6.49,0,0,0,0.0,-5.786931,,,-5.786931,False,False,,,,,,,0.55805,0.223317,0.147371,,,,,,,0.094631,0.033058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
