seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
46,6,23,0,0,0,0,0,0,0,0.0106,0.0265,0,0,0,0,0,0,0,0,0,-34,-21,-15,-24,-14,-19,-11
46,7,0,0,0,0,0,0,0,0,0.0106,0.0265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,7,1,0,0,0,0,0,0,0,0.0106,0.0265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,7,2,0,0,0,0,0,0,0,0.0106,0.0265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,7,3,0,0,0,0,0,0,0,0.0106,0.0265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,7,4,0,0,0,0,0,0,0,0.0106,0.0265,0,0,0,0,0,0,20,17,20,0,0,0,0,0,0,0
46,7,5,0,0,0,0,0,2,1,0.0132,0.0278,0,0,3,0,18,0,174,150,192,0,0,3,0,0,0,0
46,7,6,19,19,1,0,3,0,1,0.0132,0.0291,0,0,1,0,24,3,186,182,210,0,1,0,0,0,0,0
46,7,7,31,35,0,0,4,0,1,0.0132,0.0291,0,0,1,0,13,2,121,131,134,0,0,0,0,1,0,0
46,7,8,34,32,0,0,4,0,1,0.0132,0.0318,0,0,1,0,5,3,149,146,154,0,0,0,0,1,0,0
46,7,9,29,33,0,0,4,0,1,0.0119,0.0331,1,0,1,1,7,4,143,140,150,0,0,0,1,0,0,0
46,7,10,32,39,0,0,5,1,0,0.0132,0.0331,0,0,1,0,7,8,183,178,190,0,1,0,0,0,0,0
46,7,11,32,19,0,0,3,1,0,0.0146,0.0331,0,0,1,0,13,0,145,153,158,0,0,0,1,0,0,0
46,7,12,19,38,0,0,4,0,0,0.0146,0.0331,0,0,0,0,12,3,212,200,224,0,0,0,0,0,0,0
46,7,13,40,27,0,0,5,1,1,0.0159,0.0344,0,0,2,0,5,2,277,273,282,0,1,0,0,1,0,0
