seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
47,6,23,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,0,0,0,0,-25,-24,-17,-29,-15,-12,-7
47,7,0,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7,1,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7,2,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7,3,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7,4,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,1,34,27,34,0,0,0,0,0,0,0
47,7,5,0,0,0,0,0,1,2,0.0147,0.0347,0,0,3,0,12,1,178,157,190,1,0,0,0,0,0,2
47,7,6,20,20,1,0,3,1,0,0.016,0.0347,0,0,1,0,10,3,182,176,192,0,0,0,0,0,1,0
47,7,7,22,35,0,0,6,1,0,0.0174,0.0347,1,0,1,1,8,2,146,162,154,0,0,1,0,0,0,0
47,7,8,28,28,0,0,4,0,0,0.016,0.0347,0,0,0,0,2,0,104,106,106,0,0,0,0,0,0,0
47,7,9,40,32,0,0,6,1,0,0.0174,0.0347,0,0,1,0,8,2,158,145,166,0,1,0,0,0,0,0
47,7,10,33,48,0,0,6,0,0,0.016,0.0347,1,0,0,1,4,0,182,182,186,0,0,0,0,0,0,0
47,7,11,27,27,0,0,6,0,0,0.016,0.0347,0,0,0,0,3,0,153,155,156,0,0,0,0,0,0,0
47,7,12,29,29,0,0,4,1,0,0.016,0.0347,0,0,1,0,4,6,240,238,244,1,0,0,0,0,0,0
47,7,13,25,10,0,0,3,0,2,0.0174,0.0374,0,0,2,0,13,9,225,224,238,0,0,0,0,0,2,0
47,7,14,30,30,0,0,4,0,0,0.016,0.0374,1,0,0,1,28,21,336,316,364,0,0,0,0,0,0,0
47,7,15,15,30,0,0,3,3,1,0.02,0.0387,0,0,4,0,5,11,235,239,240,0,0,0,0,1,3,0
47,7,16,27,26,0,0,4,0,1,0.02,0.0401,0,0,1,0,15,10,193,190,208,0,0,0,0,0,0,1
47,7,17,42,30,0,0,6,1,1,0.0187,0.0414,1,0,2,1,3,16,161,184,164,0,1,0,1,0,0,0
47,7,18,23,23,0,0,5,0,0,0.02,0.0414,3,0,0,3,6,3,164,161,170,0,0,0,0,0,0,0
47,7,19,24,24,1,7,5,0,1,0.0147,0.0334,1,7,1,8,3,8,103,111,106,0,1,0,0,0,0,0
47,7,20,0,0,0,0,0,0,0,0.0147,0.0334,0,0,0,0,1,3,71,73,72,0,0,0,0,0,0,0
47,7,21,0,0,0,0,0,0,0,0.0147,0.0334,0,0,0,0,2,9,52,53,54,0,0,0,0,0,0,0
47,7,22,0,0,0,0,0,0,0,0.0147,0.0334,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0
47,7,23,0,0,0,0,0,0,0,0.0147,0.0334,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
47,8,0,0,0,0,0,0,0,0,0.0147,0.0334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,1,0,0,0,0,0,0,0,0.0147,0.0334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,2,0,0,0,0,0,0,0,0.0147,0.0334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,3,0,0,0,0,0,0,0,0.0147,0.0334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,4,0,0,0,0,0,0,1,0.0147,0.0347,0,0,1,0,0,2,52,44,52,0,0,1,0,0,0,0
47,8,5,0,0,0,0,0,1,0,0.016,0.0347,0,0,1,0,20,3,202,170,222,0,0,1,0,0,0,0
47,8,6,20,20,1,0,3,0,1,0.0147,0.036,1,0,1,1,16,5,204,207,220,0,0,0,0,0,0,1
47,8,7,28,48,0,0,5,1,0,0.016,0.036,0,0,1,0,5,8,107,122,112,0,0,1,0,0,0,0
47,8,8,30,30,0,0,4,1,1,0.016,0.0374,0,0,2,0,11,2,125,128,136,1,0,0,0,0,0,1
47,8,9,41,41,0,0,7,1,2,0.0147,0.0387,2,0,3,2,9,0,155,142,164,1,0,1,1,0,0,0
47,8,10,25,24,0,0,4,0,0,0.016,0.0401,0,0,0,0,4,2,152,157,156,0,0,0,0,0,0,0
47,8,11,47,38,0,0,7,3,0,0.02,0.0401,0,0,3,0,3,4,187,182,190,0,0,0,2,0,1,0
47,8,12,27,25,0,0,4,0,0,0.02,0.0401,1,0,0,1,6,4,230,215,236,0,0,0,0,0,0,0
47,8,13,29,41,0,0,5,1,2,0.0174,0.0427,1,0,3,1,13,4,251,240,264,0,2,0,1,0,0,0
47,8,14,32,15,0,0,3,0,0,0.0174,0.0427,1,0,0,1,25,13,341,336,366,0,0,0,0,0,0,0
47,8,15,17,29,0,0,3,1,2,0.016,0.0427,1,0,3,1,17,14,203,230,220,0,0,0,2,1,0,0
47,8,16,25,30,0,0,4,1,0,0.0187,0.0454,0,0,1,0,13,10,179,172,192,1,0,0,0,0,0,0
47,8,17,37,34,0,0,6,1,1,0.02,0.0467,0,0,2,0,2,5,140,158,142,0,1,0,0,0,1,0
47,8,18,24,24,0,0,5,1,0,0.0214,0.0467,0,0,1,0,2,0,112,118,114,0,0,0,1,0,0,0
47,8,19,25,28,1,7,6,0,0,0.0199,0.0372,1,10,0,11,1,0,91,95,92,0,0,0,0,0,0,0
47,8,20,0,0,0,0,0,0,1,0.0199,0.0386,0,0,1,0,1,4,97,94,98,1,0,0,0,0,0,0
47,8,21,0,0,0,0,0,2,0,0.0226,0.0386,0,0,2,0,3,1,51,60,54,1,0,0,1,0,0,0
47,8,22,0,0,0,0,0,0,0,0.0226,0.0386,0,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0
47,8,23,0,0,0,0,0,0,0,0.0226,0.0386,0,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0
47,9,0,0,0,0,0,0,0,0,0.0226,0.0386,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,9,1,0,0,0,0,0,0,0,0.0226,0.0386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,9,2,0,0,0,0,0,0,0,0.0226,0.0386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,9,3,0,0,0,0,0,0,0,0.0226,0.0386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,9,4,0,0,0,0,0,0,1,0.0226,0.0399,0,0,1,0,0,0,36,30,36,0,1,0,0,0,0,0
47,9,5,0,0,0,0,0,0,1,0.0226,0.0412,0,0,1,0,6,1,178,149,184,0,0,0,1,0,0,0
47,9,6,18,34,1,0,4,0,0,0.0211,0.0408,1,7,0,8,7,15,197,209,204,0,0,0,0,0,0,0
47,9,7,35,25,0,0,5,1,0,0.0224,0.0408,0,0,1,0,7,1,127,127,134,0,0,0,0,1,0,0
47,9,8,34,33,0,0,6,0,0,0.0211,0.0408,3,0,0,3,7,2,143,140,150,0,0,0,0,0,0,0
47,9,9,27,24,0,0,4,0,0,0.0184,0.0408,0,0,0,0,8,1,158,166,166,0,0,0,0,0,0,0
47,9,10,22,36,0,0,5,0,1,0.0171,0.0422,1,0,1,1,3,2,151,148,154,0,0,1,0,0,0,0
47,9,11,40,41,0,0,8,0,2,0.0171,0.0435,0,0,2,0,2,3,150,141,152,0,0,1,0,1,0,0
47,9,12,29,29,0,0,5,0,0,0.0171,0.0448,0,0,0,0,4,0,202,199,206,0,0,0,0,0,0,0
47,9,13,25,25,0,0,4,1,0,0.0171,0.0448,0,0,1,0,7,1,295,271,302,0,1,0,0,0,0,0
47,9,14,27,27,0,0,4,2,3,0.0211,0.0474,0,0,5,0,1,8,325,330,326,2,0,0,0,1,2,0
47,9,15,25,15,0,0,3,0,1,0.0211,0.0501,0,0,1,0,10,3,240,241,250,0,1,0,0,0,0,0
47,9,16,27,23,0,0,4,0,0,0.0184,0.0501,2,0,0,2,8,1,212,228,220,0,0,0,0,0,0,0
47,9,17,28,40,0,0,5,0,0,0.0171,0.0501,1,0,0,1,1,7,207,201,208,0,0,0,0,0,0,0
47,9,18,36,25,0,0,6,1,2,0.0184,0.0527,0,0,3,0,1,3,155,173,156,0,0,0,2,1,0,0
47,9,19,13,26,1,7,4,0,0,0.0186,0.0439,0,0,0,0,2,3,104,104,106,0,0,0,0,0,0,0
47,9,20,0,0,0,0,0,0,0,0.0186,0.0439,0,0,0,0,3,2,119,117,122,0,0,0,0,0,0,0
47,9,21,0,0,0,0,0,0,0,0.0186,0.0439,0,0,0,0,1,1,89,103,90,0,0,0,0,0,0,0
47,9,22,0,0,0,0,0,0,0,0.0186,0.0439,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
47,9,23,0,0,0,0,0,0,0,0.0186,0.0439,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,10,0,0,0,0,0,0,0,0,0.0186,0.0439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,10,1,0,0,0,0,0,0,0,0.0186,0.0439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,10,2,0,0,0,0,0,0,0,0.0186,0.0439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,10,3,0,0,0,0,0,0,0,0.0186,0.0439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,10,4,0,0,0,0,0,0,0,0.0186,0.0439,0,0,0,0,2,2,38,32,40,0,0,0,0,0,0,0
47,10,5,0,0,0,0,0,0,0,0.0186,0.0439,0,0,0,0,10,8,174,146,184,0,0,0,0,0,0,0
47,10,6,13,19,1,0,3,0,0,0.0184,0.0435,0,7,0,7,25,6,173,182,198,0,0,0,0,0,0,0
47,10,7,27,28,0,0,4,0,0,0.0184,0.0435,0,0,0,0,5,15,141,142,146,0,0,0,0,0,0,0
47,10,8,36,36,0,0,6,0,0,0.0184,0.0435,0,0,0,0,2,0,114,123,116,0,0,0,0,0,0,0
47,10,9,42,25,0,0,6,0,0,0.0184,0.0435,0,0,0,0,3,0,185,170,188,0,0,0,0,0,0,0
47,10,10,15,32,0,0,3,0,1,0.0184,0.0448,0,0,1,0,15,1,205,200,220,0,0,0,1,0,0,0
47,10,11,33,15,0,0,4,0,0,0.0184,0.0448,0,0,0,0,4,6,208,199,212,0,0,0,0,0,0,0
47,10,12,29,46,0,0,5,3,2,0.0211,0.0474,0,0,5,0,9,5,271,264,280,1,1,0,2,1,0,0
47,10,13,30,31,0,0,4,1,1,0.0224,0.0487,1,0,2,1,22,1,290,291,312,0,1,0,1,0,0,0
47,10,14,31,31,0,0,4,0,2,0.0224,0.0501,0,0,2,0,26,10,338,317,364,0,0,1,1,0,0,0
47,10,15,27,27,0,0,4,1,0,0.0224,0.0514,1,0,1,1,17,2,303,326,320,1,0,0,0,0,0,0
47,10,16,15,15,0,0,3,1,0,0.0237,0.0514,0,0,1,0,7,1,263,257,270,0,0,0,1,0,0,0
47,10,17,37,28,0,0,7,1,1,0.025,0.0527,0,0,2,0,12,0,176,196,188,0,0,0,1,0,1,0
47,10,18,15,24,0,0,3,1,0,0.0264,0.0527,0,0,1,0,4,2,122,137,126,0,0,0,1,0,0,0
47,10,19,23,9,1,6,4,1,0,0.0277,0.0448,0,6,1,6,4,0,116,119,120,0,0,0,0,0,0,1
47,10,20,0,0,0,0,0,2,0,0.029,0.0448,0,0,2,0,3,2,115,113,118,0,0,1,0,1,0,0
47,10,21,0,0,0,0,0,0,0,0.0303,0.0448,0,0,0,0,0,2,42,49,42,0,0,0,0,0,0,0
47,10,22,0,0,0,0,0,0,0,0.0303,0.0448,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
47,10,23,0,0,0,0,0,0,0,0.0303,0.0448,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,11,0,0,0,0,0,0,0,0,0.0303,0.0448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,11,1,0,0,0,0,0,0,0,0.0303,0.0448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,11,2,0,0,0,0,0,0,0,0.0303,0.0448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,11,3,0,0,0,0,0,0,0,0.0303,0.0448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,11,4,0,0,0,0,0,0,0,0.0303,0.0448,0,0,0,0,0,1,28,23,28,0,0,0,0,0,0,0
47,11,5,0,0,0,0,0,0,3,0.0303,0.0474,0,0,3,0,20,3,180,152,200,0,0,1,1,0,1,0
47,11,6,20,20,1,0,3,0,1,0.0303,0.0501,0,0,1,0,23,15,175,176,198,0,0,0,1,0,0,0
47,11,7,18,36,0,0,3,1,0,0.0316,0.0501,0,0,1,0,17,8,149,153,166,0,0,1,0,0,0,0
47,11,8,43,36,0,0,6,0,0,0.0316,0.0501,0,0,0,0,2,3,116,122,118,0,0,0,0,0,0,0
47,11,9,23,16,0,0,3,0,0,0.0316,0.0501,0,0,0,0,6,1,140,135,146,0,0,0,0,0,0,0
47,11,10,27,38,0,0,6,0,0,0.0316,0.0501,0,0,0,0,10,5,174,168,184,0,0,0,0,0,0,0
47,11,11,27,31,0,0,4,1,1,0.0329,0.0514,0,0,2,0,6,4,198,192,204,1,0,0,1,0,0,0
47,11,12,43,30,0,0,5,1,1,0.0329,0.0527,1,0,2,1,11,1,179,186,190,0,0,0,1,0,1,0
47,11,13,13,14,0,0,2,1,1,0.0316,0.054,2,0,2,2,4,4,296,264,300,1,0,0,0,0,1,0
47,11,14,17,30,0,0,3,2,0,0.0329,0.054,0,0,2,0,13,9,327,340,340,0,0,1,0,1,0,0
47,11,15,38,22,0,0,5,1,0,0.0316,0.054,2,0,1,2,14,3,238,242,252,0,0,0,0,0,1,0
47,11,16,27,27,0,0,4,1,0,0.0316,0.054,2,0,1,2,1,1,181,194,182,0,0,1,0,0,0,0
47,11,17,28,28,0,0,4,1,1,0.0329,0.0553,0,0,2,0,4,0,168,157,172,1,0,0,0,1,0,0
47,11,18,33,43,0,0,8,0,1,0.0329,0.0567,0,0,1,0,2,3,136,152,138,1,0,0,0,0,0,0
47,11,19,26,16,1,4,4,0,0,0.0329,0.0514,0,4,0,4,2,0,90,99,92,0,0,0,0,0,0,0
47,11,20,0,0,0,0,0,0,0,0.0329,0.0514,0,0,0,0,3,0,83,86,86,0,0,0,0,0,0,0
47,11,21,0,0,0,0,0,0,0,0.0329,0.0514,0,0,0,0,0,1,74,77,74,0,0,0,0,0,0,0
47,11,22,0,0,0,0,0,0,0,0.0329,0.0514,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
47,11,23,0,0,0,0,0,0,0,0.0329,0.0514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,12,0,0,0,0,0,0,0,0,0.0329,0.0514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,12,1,0,0,0,0,0,0,0,0.0329,0.0514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,12,2,0,0,0,0,0,0,0,0.0329,0.0514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,12,3,0,0,0,0,0,0,0,0.0329,0.0514,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,12,4,0,0,0,0,0,0,0,0.0329,0.0514,0,0,0,0,0,0,20,17,20,0,0,0,0,0,0,0
47,12,5,0,0,0,0,0,0,0,0.0329,0.0514,0,0,0,0,0,0,18,18,18,0,0,0,0,0,0,0
47,12,6,13,13,1,0,4,0,0,0.0316,0.0514,1,0,0,1,0,0,44,40,44,0,0,0,0,0,0,0
47,12,7,25,31,0,0,7,1,1,0.0329,0.0527,0,0,2,0,0,0,56,50,56,0,1,0,1,0,0,0
47,12,8,14,25,0,0,4,0,0,0.0329,0.0527,0,0,0,0,2,0,98,99,100,0,0,0,0,0,0,0
47,12,9,27,30,0,0,5,0,1,0.0316,0.054,1,0,1,1,4,0,152,138,156,1,0,0,0,0,0,0
47,12,10,41,26,0,0,5,1,0,0.0316,0.054,0,0,1,0,14,0,162,162,176,0,0,0,0,0,0,1
47,12,11,29,35,0,0,6,1,0,0.0329,0.054,1,0,1,1,16,0,172,154,188,0,1,0,0,0,0,0
47,12,12,18,20,0,0,4,2,3,0.0329,0.058,2,0,5,2,8,3,204,212,212,0,2,0,0,2,0,1
47,12,13,28,21,0,0,5,0,0,0.0329,0.058,0,0,0,0,4,3,186,191,190,0,0,0,0,0,0,0
47,12,14,27,27,0,0,4,0,0,0.0329,0.058,0,0,0,0,2,3,208,208,210,0,0,0,0,0,0,0
47,12,15,22,26,0,0,4,1,1,0.0343,0.058,0,0,2,0,2,1,180,180,182,0,0,0,0,1,1,0
47,12,16,29,28,0,0,6,0,0,0.0343,0.0593,0,0,0,0,0,3,204,194,204,0,0,0,0,0,0,0
47,12,17,11,22,0,0,3,0,0,0.0343,0.0593,0,0,0,0,0,2,118,138,118,0,0,0,0,0,0,0
