seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
42,6,5,5,0,0,0,0,1,0,34,33,21,1,0,1,0,0,0,0.0171,0.0303
42,7,5,5,330,339,2,9,188,93,3274,3086,3090,2,14,16,3,7,10,0.0158,0.0356
42,8,5,5,354,371,3,5,122,43,3104,2982,2989,12,11,23,4,0,4,0.0266,0.0438
42,9,5,5,342,348,2,6,193,78,3204,3011,3012,8,11,19,7,14,21,0.0276,0.0499
42,10,5,5,362,362,2,10,179,57,3486,3307,3300,8,17,25,11,0,11,0.024,0.0599
42,11,5,5,344,359,2,9,132,43,3064,2932,2934,11,11,22,5,16,21,0.0317,0.062
42,12,5,5,255,265,2,14,45,19,2380,2335,2340,12,11,23,15,0,15,0.0282,0.0591
42,13,5,5,311,311,3,16,25,20,1706,1681,1675,14,3,17,10,9,19,0.0339,0.0407
42,14,5,5,373,393,2,8,226,73,3136,2910,2906,11,10,21,6,19,25,0.0388,0.0441
42,15,5,5,368,376,2,9,151,43,2974,2823,2825,16,9,25,13,19,32,0.0422,0.0435
42,16,5,5,352,358,2,6,194,23,3248,3054,3057,9,9,18,7,7,14,0.0448,0.0474
42,17,5,5,367,383,2,5,184,83,3518,3334,3332,16,9,25,7,2,9,0.0569,0.0529
42,18,5,5,337,349,2,9,123,51,3074,2951,2955,10,14,24,17,11,28,0.0475,0.0594
42,19,5,5,367,367,3,12,60,22,2422,2362,2364,8,12,20,7,0,7,0.0496,0.0603
42,20,5,5,290,304,2,11,25,48,1676,1651,1646,4,3,7,14,21,35,0.0357,0.0489
42,21,5,5,336,348,2,10,248,34,3088,2840,2836,13,11,24,9,0,9,0.0402,0.0509
42,22,5,5,327,338,2,8,190,62,3072,2882,2890,17,11,28,13,11,24,0.0454,0.0547
42,23,5,5,318,321,2,13,142,43,3342,3200,3196,7,14,21,14,10,24,0.0362,0.0563
42,24,5,5,352,362,2,13,179,70,3370,3191,3189,9,8,17,8,8,16,0.0378,0.0499
42,25,5,5,338,345,2,9,119,83,3066,2947,2951,11,12,23,6,13,19,0.0443,0.0537
42,26,5,5,323,334,2,11,75,23,2384,2309,2311,7,7,14,8,20,28,0.0424,0.0477
42,27,5,5,276,298,3,14,25,7,1660,1635,1635,8,7,15,19,2,21,0.0283,0.0391
