seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_global_depot_backlog,phi_demand_weighted_depot_backlog,phi_demand_weighted_onsite_backlog,phi_fleet_broken_fraction,phi_depot_idle_fraction,phi_recoverable_starvation,phi_maintenance_urgency,phi_rush_hour_onsite_backlog,phi_fleet_failure_risk,phi_fleet_health_deficit,phi_fleet_low_health_fraction,phi_depot_bound_health_deficit,phi_onsite_health_deficit,phi_maintenance_restoration_value,phi_onsite_shortage_pressure,phi_depot_shortage_pressure,phi_current_station_onsite_shortage_pressure,phi_current_station_depot_shortage_pressure,phi_broken_cargo_distance_pressure,phi_late_broken_cargo_pressure,phi_repaired_idle_away_pressure,phi_depot_pipeline_pressure,phi_depot_queue_pickup_opportunity,phi_degradation_demand_exposure,phi_destination_starv_ratio,phi_destination_cong_ratio,phi_destination_onsite_fraction,phi_destination_depot_fraction,phi_destination_travel_penalty,phi_destination_roi_starvation,phi_cur_station_onsite_fraction,phi_cur_station_func_deficit,phi_functional_load_late_pressure,phi_depot_load_late_pressure,phi_non_depot_late_load_pressure,phi_late_depot_return,phi_depot_slack_fraction,phi_can_return_to_depot,phi_depot_return_urgency
51,7,6,11,D0,True,3,0,3,0,0,0,0,0,9,"['B766', 'B535', 'B233', 'B666', 'B206', 'B435', 'B722', 'B411', 'B1']",4.5,S63,1.87,12,0,12,0.0,-8.605991,,,-8.605991,True,True,,,,,,,0.676074,,,1.0,0.796842,,,0.139836,0.091138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,6,33,S63,False,12,0,12,0,8,0,0,0,0,"['B164', 'B691', 'B381', 'B668', 'B765', 'B615', 'B151', 'B192']",4.0,S41,5.29,20,0,20,0.0,-8.653801,,,-8.653801,False,False,,,,,,,0.683772,,,1.0,0.842308,,,0.06839,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,6,42,S41,False,20,0,20,20,0,0,0,0,0,"['B264', 'B324', 'B719', 'B766', 'B535', 'B233', 'B666', 'B206', 'B435', 'B722', 'B411', 'B1', 'B164', 'B691', 'B381', 'B668', 'B765', 'B615', 'B151', 'B192']",10.0,S3,8.64,0,0,0,0.0,-8.653406,,,-8.653406,True,False,,,,,,,0.635022,,,0.978571,0.882222,,,0.156815,0.108996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,7,0,S3,False,0,0,0,0,0,0,0,0,0,[],0.0,S39,9.24,0,0,0,0.0,-8.829723,,,-8.829723,False,False,,,,,,,0.67864,,,1.0,0.941111,,,0.14934,0.118916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,7,10,S39,False,0,0,0,0,20,0,0,0,0,"['B651', 'B486', 'B156', 'B218', 'B703', 'B241', 'B473', 'B708', 'B756', 'B147', 'B316', 'B155', 'B522', 'B560', 'B762', 'B368', 'B564', 'B163', 'B230', 'B431']",10.0,S26,9.74,20,0,20,0.0,-8.81153,,,-8.81153,True,False,,,,,,,0.66068,,,1.0,0.941111,,,0.155757,0.113935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,7,29,S26,False,20,0,20,20,0,0,0,0,0,"['B651', 'B486', 'B156', 'B218', 'B703', 'B241', 'B473', 'B708', 'B756', 'B147', 'B316', 'B155', 'B522', 'B560', 'B762', 'B368', 'B564', 'B163', 'B230', 'B431']",10.0,S3,8.28,0,0,0,0.0,-8.764266,,,-8.764266,False,False,,,,,,,0.656831,,,0.978571,0.931905,,,0.193756,0.117001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,7,48,S3,False,0,0,0,0,18,0,0,0,0,"['B474', 'B665', 'B105', 'B683', 'B453', 'B185', 'B667', 'B403', 'B422', 'B15', 'B610', 'B114', 'B237', 'B636', 'B547', 'B425', 'B420', 'B602']",9.0,S51,4.7,18,0,18,0.0,-8.706685,,,-8.706685,False,False,,,,,,,0.605516,,,1.0,0.908333,,,0.147547,0.136208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,8,1,S51,False,18,0,18,13,0,0,0,0,0,"['B474', 'B665', 'B105', 'B683', 'B453', 'B185', 'B667', 'B403', 'B422', 'B15', 'B610', 'B114', 'B237']",6.5,S38,5.47,5,0,5,0.0,-8.720904,,,-8.720904,False,False,,,,,,,0.601668,,,1.0,0.916667,,,0.155284,0.151045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,8,13,S38,False,5,0,5,0,15,0,0,0,0,"['B456', 'B91', 'B337', 'B622', 'B140', 'B595', 'B96', 'B561', 'B634', 'B346', 'B559', 'B656', 'B195', 'B450', 'B297']",7.5,S34,7.05,20,0,20,0.0,-8.518856,,,-8.518856,False,False,,,,,,,0.574727,,,0.906364,0.928333,,,0.160068,0.145233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7,8,28,S34,False,20,0,20,13,0,0,0,0,0,"['B636', 'B547', 'B425', 'B420', 'B602', 'B456', 'B91', 'B337', 'B622', 'B140', 'B595', 'B96', 'B561']",6.5,S33,3.68,7,0,7,0.0,-8.507732,,,-8.507732,False,False,,,,,,,0.565747,,,0.923077,0.90303,,,0.171978,0.134043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
