seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
43,6,23,0,0,0,0,0,0,0,0.0079,0.0265,0,0,0,0,0,0,0,0,0,-24,-23,-23,-20,-6,-15,-15
43,7,0,0,0,0,0,0,0,0,0.0079,0.0265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,7,1,0,0,0,0,0,0,0,0.0079,0.0265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,7,2,0,0,0,0,0,0,0,0.0079,0.0265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,7,3,0,0,0,0,0,0,0,0.0079,0.0265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,7,4,0,0,0,0,0,0,0,0.0079,0.0265,0,0,0,0,2,0,24,18,26,0,0,0,0,0,0,0
43,7,5,0,0,0,0,0,0,0,0.0079,0.0265,0,0,0,0,9,4,189,159,198,0,0,0,0,0,0,0
43,7,6,15,17,1,0,3,2,0,0.0093,0.0265,0,0,2,0,11,2,183,192,194,0,0,1,1,0,0,0
43,7,7,33,32,0,0,6,0,1,0.0093,0.0278,0,0,1,0,4,2,102,109,106,0,0,0,0,0,1,0
43,7,8,32,32,0,0,5,0,0,0.0093,0.0278,0,0,0,0,4,1,138,123,142,0,0,0,0,0,0,0
43,7,9,33,52,0,0,6,1,0,0.0119,0.0278,0,0,1,0,0,5,124,137,124,1,0,0,0,0,0,0
43,7,10,31,31,0,0,6,0,0,0.0119,0.0278,0,0,0,0,5,7,163,155,168,0,0,0,0,0,0,0
43,7,11,37,28,0,0,8,0,2,0.0119,0.0304,0,0,2,0,0,2,156,154,156,0,0,1,0,0,1,0
43,7,12,25,17,0,0,3,1,1,0.0132,0.0317,0,0,2,0,16,3,236,228,252,1,0,0,0,1,0,0
43,7,13,34,34,0,0,4,1,0,0.0146,0.0317,0,0,1,0,5,0,259,240,264,0,0,0,0,1,0,0
43,7,14,20,30,0,0,4,0,4,0.0146,0.0357,0,0,4,0,44,6,366,355,410,1,2,0,1,0,0,0
43,7,15,26,33,0,0,4,0,0,0.0132,0.037,1,0,0,1,31,14,213,248,244,0,0,0,0,0,0,0
43,7,16,17,17,0,0,3,0,0,0.0119,0.037,1,0,0,1,20,8,156,158,176,0,0,0,0,0,0,0
43,7,17,24,24,0,0,5,1,0,0.0132,0.037,0,0,1,0,7,0,151,161,158,0,0,0,0,0,1,0
43,7,18,27,14,0,0,4,1,0,0.0146,0.037,0,0,1,0,6,0,136,135,142,0,0,0,0,0,1,0
