seed,exp_name,alpha,duration_hours,total_runtime_s,service_level,avg_bike_km_driven,starvations,congestions,total_trips,bike_departures,bike_arrivals,total_depot_deliveries,total_depot_visits,total_fixed_on_site,total_picked_up_to_depot,total_depot_fixes,total_bikes_redistributed_from_depot,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,broken_bikes_end_onsite,broken_bikes_end_depot,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
42,Imbalance_squared_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9445,400.7704,2459,889,60282,57823,57823,189,42,210,189,189,181,6987,7171,0.0157,0.0328,0.9514,0.0156,0.0613,0.9231,12,47,211,198,210,181
43,Imbalance_squared_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9447,397.5865,2529,793,60062,57533,57534,161,42,203,161,161,155,7248,7416,0.0079,0.0329,0.9593,0.0209,0.0601,0.9191,16,46,214,177,203,155
44,Imbalance_squared_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9408,397.6757,2802,715,59410,56608,56608,194,41,234,194,194,175,6923,7118,0.0157,0.0288,0.9556,0.0209,0.0967,0.8824,16,74,240,239,234,175
45,Imbalance_squared_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9426,396.1454,2579,837,59520,56941,56942,202,42,193,202,202,199,6901,7098,0.0105,0.0276,0.9619,0.0235,0.0717,0.9048,18,55,205,227,193,199
46,Imbalance_squared_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9447,397.2505,2333,928,58938,56605,56605,189,42,201,189,189,178,7047,7241,0.0105,0.0316,0.9578,0.0156,0.0939,0.8905,12,72,206,227,201,178
47,Imbalance_squared_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9455,397.6724,2324,913,59402,57078,57078,195,42,204,195,195,193,6989,7199,0.0132,0.0448,0.942,0.0235,0.0614,0.9151,18,47,213,209,204,193
48,Imbalance_squared_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9403,398.5422,2586,972,59646,57060,57059,162,43,203,162,162,157,7119,7270,0.0106,0.0317,0.9578,0.0264,0.1042,0.8694,20,79,215,216,203,157
49,Imbalance_squared_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9461,396.7963,2248,939,59136,56888,56889,200,42,183,200,200,195,6949,7148,0.0131,0.0327,0.9542,0.0248,0.0705,0.9047,19,54,193,224,183,195
50,Imbalance_squared_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9466,397.4939,2340,833,59402,57062,57061,178,42,208,178,178,171,7167,7345,0.0143,0.0261,0.9596,0.013,0.0717,0.9153,10,55,211,212,208,171
51,Imbalance_squared_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9413,399.2335,2530,981,59852,57322,57320,180,42,212,180,180,178,7238,7405,0.0119,0.0264,0.9618,0.0365,0.0703,0.8932,28,54,233,216,212,178
