seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
47,6,5,5,0,0,0,0,0,1,34,34,27,0,0,0,0,0,0,0.0134,0.032
47,7,5,5,396,410,2,0,147,103,3062,2915,2917,11,13,24,2,14,16,0.0249,0.0485
47,8,5,5,406,418,2,0,193,115,3018,2825,2827,10,13,23,8,3,11,0.0274,0.0653
47,9,5,5,380,383,2,3,141,44,3170,3029,3025,6,8,14,6,0,6,0.0275,0.0721
47,10,5,5,363,369,2,3,187,75,3432,3245,3250,8,10,18,6,3,9,0.0301,0.0813
47,11,5,5,374,379,2,5,200,54,3062,2862,2857,13,16,29,7,3,10,0.0381,0.0946
47,12,5,5,368,356,2,1,60,21,2188,2128,2133,8,3,11,8,0,8,0.0382,0.0974
47,13,5,5,361,372,2,0,37,39,1730,1693,1693,8,5,13,5,5,10,0.0418,0.1033
47,14,5,5,385,378,2,2,242,60,3212,2970,2964,13,15,28,12,1,13,0.0432,0.1204
47,15,5,5,382,379,2,0,166,56,2970,2804,2807,12,14,26,3,0,3,0.0537,0.1387
47,16,5,5,341,361,2,5,241,67,3240,2999,2999,9,14,23,13,2,15,0.0486,0.1511
47,17,5,5,338,340,2,10,186,94,3364,3178,3179,12,11,23,18,5,23,0.041,0.1534
47,18,5,5,352,343,2,4,178,36,3024,2846,2848,14,15,29,11,6,17,0.0435,0.1675
47,19,5,5,338,338,2,0,82,37,2198,2116,2115,10,11,21,13,0,13,0.0396,0.1821
47,20,5,5,344,354,2,4,60,38,1678,1618,1612,8,3,11,7,8,15,0.0407,0.1798
47,21,5,5,371,373,2,4,280,108,3050,2770,2773,12,10,22,4,0,4,0.0515,0.1887
47,22,5,5,379,398,2,2,169,64,3112,2943,2942,6,8,14,12,8,20,0.0432,0.195
47,23,5,5,330,334,2,9,257,78,3292,3035,3039,11,8,19,13,0,13,0.0411,0.196
47,24,5,5,349,352,2,2,194,94,3418,3224,3221,11,7,18,10,2,12,0.0424,0.2026
47,25,5,5,375,384,2,4,250,58,3076,2826,2828,14,9,23,15,11,26,0.0407,0.2073
47,26,5,5,349,350,2,10,124,45,2476,2352,2355,10,11,21,10,4,14,0.041,0.2103
47,27,5,5,407,396,2,3,59,24,1596,1537,1538,7,4,11,8,0,8,0.0398,0.2125
