seed,day,shift_hour_start,shift_hour_end,daily_functional_pickups,daily_functional_deliveries,daily_depot_visits,daily_depot_deliveries,daily_starvations,daily_congestions,daily_trips,daily_bike_departures,daily_bike_arrivals,daily_breakdowns_onsite,daily_breakdowns_depot,daily_total_breakdowns,daily_restored_onsite,daily_restored_depot,daily_total_restored,eod_damaged_fraction_onsite,eod_damaged_fraction_depot
43,6,5,5,0,0,0,0,2,0,26,24,18,0,0,0,0,0,0,0.0079,0.0265
43,7,5,5,342,362,2,0,175,103,3014,2839,2841,8,9,17,4,10,14,0.0131,0.0379
43,8,5,5,363,369,2,1,203,83,3138,2935,2935,8,9,17,5,0,5,0.017,0.0484
43,9,5,5,354,347,3,7,147,88,3148,3001,2998,13,10,23,6,0,6,0.0264,0.0528
43,10,5,5,344,356,2,2,161,57,3470,3309,3308,16,12,28,7,8,15,0.038,0.0654
43,11,5,5,320,326,2,5,132,92,3178,3046,3052,11,10,21,17,0,17,0.0303,0.0725
43,12,5,5,324,312,2,5,55,61,2370,2315,2314,8,8,16,12,7,19,0.025,0.0762
43,13,5,5,320,329,2,6,28,25,1692,1664,1658,9,3,12,11,0,11,0.0212,0.0728
43,14,5,5,324,323,3,5,149,65,3030,2881,2875,10,10,20,6,5,11,0.0265,0.0795
43,15,5,5,323,348,3,4,176,70,2938,2762,2772,10,10,20,8,11,19,0.0276,0.0853
43,16,5,5,314,317,2,2,210,71,3262,3052,3052,7,13,20,12,4,16,0.0223,0.1008
43,17,5,5,329,333,2,9,204,43,3470,3266,3264,13,11,24,11,0,11,0.0252,0.1046
43,18,5,5,344,346,2,6,175,24,3142,2967,2970,10,8,18,13,11,24,0.0211,0.1066
43,19,5,5,303,312,4,4,84,29,2326,2242,2248,10,11,21,12,0,12,0.0185,0.1164
43,20,5,5,323,323,2,6,30,24,1720,1690,1682,11,2,13,7,10,17,0.0237,0.1105
43,21,5,5,312,309,2,3,228,69,3236,3008,3009,13,8,21,10,0,10,0.0264,0.1176
43,22,5,5,329,338,2,4,205,51,3076,2871,2871,15,11,26,14,6,20,0.0264,0.1265
43,23,5,5,309,322,2,7,216,40,3268,3052,3052,15,11,26,19,3,22,0.0225,0.1325
43,24,5,5,271,275,2,13,267,87,3372,3105,3111,16,11,27,12,11,23,0.0279,0.1301
43,25,5,5,326,333,2,10,176,57,3304,3128,3120,8,11,19,12,13,25,0.0225,0.131
43,26,5,5,315,313,3,0,92,28,2308,2216,2221,8,3,11,5,0,5,0.0265,0.1349
43,27,5,5,289,309,2,9,41,38,1574,1533,1536,9,6,15,14,10,24,0.0198,0.1308
