seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
47,6,23,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,0,0,0,0,-25,-24,-17,-29,-15,-12,-7
47,7,0,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7,1,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7,2,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7,3,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7,4,0,0,0,0,0,0,0,0.0134,0.032,0,0,0,0,0,1,34,27,34,0,0,0,0,0,0,0
47,7,5,0,0,0,0,0,1,2,0.0147,0.0347,0,0,3,0,12,1,178,157,190,1,0,0,0,0,0,2
47,7,6,17,17,1,0,3,1,0,0.016,0.0347,0,0,1,0,4,5,188,187,192,0,0,0,0,0,1,0
47,7,7,24,32,0,0,6,1,0,0.016,0.0347,1,0,1,1,2,4,152,161,154,0,0,1,0,0,0,0
47,7,8,24,33,0,0,7,0,0,0.016,0.0347,0,0,0,0,1,1,105,105,106,0,0,0,0,0,0,0
47,7,9,36,28,0,0,5,1,0,0.016,0.0347,1,0,1,1,5,0,161,154,166,0,1,0,0,0,0,0
47,7,10,23,34,0,0,6,1,0,0.0174,0.0347,0,0,1,0,11,0,175,175,186,0,1,0,0,0,0,0
47,7,11,24,24,0,0,5,0,0,0.0147,0.0347,2,0,0,2,4,2,152,153,156,0,0,0,0,0,0,0
47,7,12,24,16,0,0,5,2,0,0.0147,0.0347,2,0,2,2,6,5,238,245,244,0,0,0,1,0,1,0
47,7,13,19,27,0,0,5,2,2,0.0147,0.036,2,0,4,2,16,2,222,207,238,1,1,2,0,0,0,0
47,7,14,48,28,0,0,5,1,0,0.0147,0.0374,0,0,1,0,16,14,348,317,364,1,0,0,0,0,0,0
47,7,15,13,29,0,0,3,2,1,0.0187,0.0387,0,0,3,0,1,18,239,252,240,3,0,0,0,0,0,0
47,7,16,31,31,0,0,5,0,1,0.0187,0.0401,0,0,1,0,11,7,197,202,208,0,0,1,0,0,0,0
47,7,17,27,31,0,0,5,1,2,0.02,0.0427,0,0,3,0,3,7,161,180,164,0,1,0,1,0,1,0
47,7,18,30,27,0,0,5,0,1,0.02,0.0441,0,0,1,0,5,3,165,167,170,0,0,0,0,0,0,1
47,7,19,23,26,1,1,6,0,1,0.0196,0.0431,0,17,1,17,10,0,96,98,106,0,0,1,0,0,0,0
47,7,20,0,0,0,0,0,0,0,0.0196,0.0431,0,0,0,0,2,1,70,83,72,0,0,0,0,0,0,0
47,7,21,0,0,0,0,0,0,0,0.0196,0.0431,0,0,0,0,3,3,51,52,54,0,0,0,0,0,0,0
47,7,22,0,0,0,0,0,0,0,0.0196,0.0431,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0
47,7,23,0,0,0,0,0,0,0,0.0196,0.0431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,0,0,0,0,0,0,0,0,0.0196,0.0431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,1,0,0,0,0,0,0,0,0.0196,0.0431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,2,0,0,0,0,0,0,0,0.0196,0.0431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,3,0,0,0,0,0,0,0,0.0196,0.0431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,4,0,0,0,0,0,2,0,0.0222,0.0431,0,0,2,0,2,2,50,44,52,0,0,0,1,0,1,0
47,8,5,0,0,0,0,0,2,0,0.0248,0.0431,0,0,2,0,11,1,211,182,222,0,0,2,0,0,0,0
47,8,6,20,33,1,0,5,3,0,0.0275,0.0431,0,0,3,0,10,9,210,207,220,1,0,0,1,0,1,0
47,8,7,38,29,0,0,6,0,0,0.0288,0.0431,0,0,0,0,8,4,104,125,112,0,0,0,0,0,0,0
47,8,8,23,32,0,0,5,1,0,0.0301,0.0431,0,0,1,0,6,3,130,127,136,0,0,0,0,0,1,0
47,8,9,17,21,0,0,6,1,1,0.0275,0.0444,2,0,2,2,2,4,162,155,164,0,0,1,0,0,0,1
47,8,10,30,30,0,0,4,0,1,0.0275,0.0458,1,0,1,1,7,4,149,150,156,1,0,0,0,0,0,0
47,8,11,35,17,0,0,3,1,2,0.0288,0.0471,0,0,3,0,7,4,183,184,190,0,0,1,0,2,0,0
47,8,12,20,38,0,0,6,0,0,0.0275,0.0484,1,0,0,1,3,0,233,209,236,0,0,0,0,0,0,0
47,8,13,22,6,0,0,6,1,1,0.0261,0.0497,2,0,2,2,7,1,257,260,264,0,1,0,1,0,0,0
47,8,14,27,43,0,0,6,0,0,0.0261,0.0497,0,0,0,0,22,32,344,335,366,0,0,0,0,0,0,0
47,8,15,36,21,0,0,5,0,2,0.0261,0.051,0,0,2,0,9,25,211,228,220,0,0,1,0,1,0,0
47,8,16,24,28,0,0,4,1,2,0.0275,0.0536,0,0,3,0,11,7,181,184,192,1,1,0,1,0,0,0
47,8,17,15,22,0,0,5,0,0,0.0261,0.0549,1,0,0,1,3,14,139,143,142,0,0,0,0,0,0,0
47,8,18,26,30,0,0,5,0,1,0.0248,0.0562,1,0,1,1,4,6,110,126,114,0,0,0,0,1,0,0
47,8,19,43,28,1,5,6,1,1,0.0263,0.0513,0,0,2,0,0,2,92,92,92,0,1,1,0,0,0,0
47,8,20,0,0,0,0,0,2,0,0.0289,0.0513,0,0,2,0,0,0,98,98,98,0,0,0,1,0,0,1
47,8,21,0,0,0,0,0,0,0,0.0289,0.0513,0,0,0,0,0,7,54,61,54,0,0,0,0,0,0,0
47,8,22,0,0,0,0,0,0,0,0.0289,0.0513,0,0,0,0,0,0,2,9,2,0,0,0,0,0,0,0
47,8,23,0,0,0,0,0,0,0,0.0289,0.0513,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0
47,9,0,0,0,0,0,0,0,0,0.0289,0.0513,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,9,1,0,0,0,0,0,0,0,0.0289,0.0513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,9,2,0,0,0,0,0,0,0,0.0289,0.0513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,9,3,0,0,0,0,0,0,0,0.0289,0.0513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,9,4,0,0,0,0,0,0,0,0.0289,0.0513,0,0,0,0,3,0,33,30,36,0,0,0,0,0,0,0
47,9,5,0,0,0,0,0,0,0,0.0289,0.0513,0,0,0,0,6,0,178,146,184,0,0,0,0,0,0,0
47,9,6,18,34,1,0,4,0,1,0.0276,0.0512,1,1,1,2,6,4,198,211,204,0,0,0,0,0,0,1
47,9,7,27,27,0,0,5,0,2,0.0276,0.0552,0,0,2,0,17,2,117,116,134,1,0,1,0,0,0,0
47,9,8,33,33,0,0,6,0,0,0.0276,0.0552,0,0,0,0,5,0,145,135,150,0,0,0,0,0,0,0
47,9,9,31,16,0,0,4,0,0,0.0276,0.0552,0,0,0,0,10,0,156,164,166,0,0,0,0,0,0,0
47,9,10,29,35,0,0,5,0,1,0.0276,0.0565,0,0,1,0,2,1,152,148,154,0,1,0,0,0,0,0
47,9,11,19,21,0,0,4,1,0,0.025,0.0565,3,0,1,3,1,3,151,153,152,0,0,0,1,0,0,0
47,9,12,36,31,0,0,8,0,0,0.025,0.0565,0,0,0,0,4,0,202,198,206,0,0,0,0,0,0,0
47,9,13,24,35,0,0,5,0,2,0.025,0.0578,0,0,2,0,2,0,300,275,302,2,0,0,0,0,0,0
47,9,14,27,15,0,0,3,2,0,0.0276,0.0591,0,0,2,0,8,1,318,319,326,1,1,0,0,0,0,0
47,9,15,25,30,0,0,5,0,0,0.0263,0.0591,1,0,0,1,6,9,244,254,250,0,0,0,0,0,0,0
47,9,16,29,32,0,0,8,0,1,0.0263,0.0604,0,0,1,0,9,2,211,220,220,0,1,0,0,0,0,0
47,9,17,20,25,0,0,5,4,0,0.0263,0.0604,0,0,4,0,8,5,200,187,208,0,1,0,0,1,2,0
47,9,18,23,23,0,0,6,0,0,0.0315,0.0604,0,0,0,0,0,3,156,183,156,0,0,0,0,0,0,0
47,9,19,31,21,1,7,8,0,0,0.0318,0.0517,0,0,0,0,2,1,104,97,106,0,0,0,0,0,0,0
47,9,20,0,0,0,0,0,0,0,0.0318,0.0517,0,0,0,0,0,0,122,126,122,0,0,0,0,0,0,0
47,9,21,0,0,0,0,0,0,0,0.0318,0.0517,0,0,0,0,0,0,90,103,90,0,0,0,0,0,0,0
47,9,22,0,0,0,0,0,0,0,0.0318,0.0517,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
47,9,23,0,0,0,0,0,0,0,0.0318,0.0517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,10,0,0,0,0,0,0,0,0,0.0318,0.0517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,10,1,0,0,0,0,0,0,0,0.0318,0.0517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,10,2,0,0,0,0,0,0,0,0.0318,0.0517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,10,3,0,0,0,0,0,0,0,0.0318,0.0517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,10,4,0,0,0,0,0,0,0,0.0318,0.0517,0,0,0,0,0,2,40,33,40,0,0,0,0,0,0,0
47,10,5,0,0,0,0,0,0,0,0.0318,0.0517,0,0,0,0,10,5,174,149,184,0,0,0,0,0,0,0
47,10,6,15,30,1,0,4,0,1,0.0303,0.0527,1,5,1,6,30,9,168,178,198,1,0,0,0,0,0,0
47,10,7,33,33,0,0,5,0,0,0.0303,0.0527,0,0,0,0,5,3,141,139,146,0,0,0,0,0,0,0
47,10,8,25,25,0,0,4,0,0,0.029,0.0527,1,0,0,1,6,0,110,119,116,0,0,0,0,0,0,0
47,10,9,28,28,0,0,5,0,1,0.029,0.054,0,0,1,0,1,0,187,169,188,0,0,1,0,0,0,0
47,10,10,20,20,0,0,5,0,1,0.0277,0.0553,1,0,1,1,8,1,212,215,220,0,0,0,1,0,0,0
47,10,11,38,27,0,0,5,0,0,0.0277,0.0553,0,0,0,0,1,1,211,197,212,0,0,0,0,0,0,0
47,10,12,22,33,0,0,6,0,0,0.0277,0.0553,0,0,0,0,2,2,278,273,280,0,0,0,0,0,0,0
47,10,13,17,17,0,0,5,1,1,0.025,0.0567,3,0,2,3,16,4,296,294,312,2,0,0,0,0,0,0
47,10,14,31,31,0,0,4,2,1,0.0237,0.058,1,0,3,1,14,0,350,340,364,1,1,0,0,0,1,0
47,10,15,42,24,0,0,5,1,1,0.0264,0.0593,1,0,2,1,3,4,317,334,320,0,0,2,0,0,0,0
47,10,16,16,34,0,0,4,1,0,0.0277,0.0593,0,0,1,0,10,1,260,253,270,1,0,0,0,0,0,0
47,10,17,45,35,0,0,7,1,1,0.029,0.0593,0,0,2,0,13,4,175,193,188,1,0,1,0,0,0,0
47,10,18,34,28,0,0,6,1,2,0.0303,0.0632,0,0,3,0,7,0,119,128,126,0,0,1,2,0,0,0
47,10,19,11,27,1,6,8,1,0,0.0316,0.0553,0,7,1,7,5,0,115,117,120,0,0,0,0,0,0,1
47,10,20,0,0,0,0,0,1,1,0.0329,0.0566,0,0,2,0,0,0,118,119,118,0,1,0,0,1,0,0
47,10,21,0,0,0,0,0,0,0,0.0329,0.0566,0,0,0,0,0,2,42,55,42,0,0,0,0,0,0,0
47,10,22,0,0,0,0,0,0,0,0.0329,0.0566,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
47,10,23,0,0,0,0,0,0,0,0.0329,0.0566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,11,0,0,0,0,0,0,0,0,0.0329,0.0566,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,11,1,0,0,0,0,0,0,0,0.0329,0.0566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,11,2,0,0,0,0,0,0,0,0.0329,0.0566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,11,3,0,0,0,0,0,0,0,0.0329,0.0566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,11,4,0,0,0,0,0,0,0,0.0329,0.0566,0,0,0,0,0,0,28,24,28,0,0,0,0,0,0,0
47,11,5,0,0,0,0,0,2,1,0.0355,0.0579,0,0,3,0,32,2,168,142,200,0,0,0,1,1,0,1
47,11,6,17,24,1,0,5,0,2,0.0355,0.0605,0,0,2,0,29,3,169,175,198,0,0,0,1,1,0,0
47,11,7,39,24,0,0,5,1,0,0.0355,0.0605,0,0,1,0,6,0,160,152,166,0,0,0,1,0,0,0
47,11,8,15,30,0,0,6,0,0,0.0342,0.0605,1,0,0,1,1,0,117,122,118,0,0,0,0,0,0,0
47,11,9,30,17,0,0,5,0,0,0.0355,0.0605,2,0,0,2,5,0,141,146,146,0,0,0,0,0,0,0
47,11,10,16,28,0,0,4,0,0,0.0316,0.0605,1,0,0,1,2,2,182,168,184,0,0,0,0,0,0,0
47,11,11,20,11,0,0,5,0,2,0.0276,0.0632,3,0,2,3,6,1,198,190,204,1,1,0,0,0,0,0
47,11,12,26,22,0,0,4,1,1,0.0289,0.0645,0,0,2,0,12,0,178,191,190,0,0,0,1,0,1,0
47,11,13,26,29,0,0,5,2,1,0.0303,0.0658,1,0,3,1,22,0,278,240,300,2,0,0,0,0,1,0
47,11,14,14,25,0,0,5,1,2,0.0316,0.0684,0,0,3,0,25,4,315,326,340,1,0,2,0,0,0,0
47,11,15,30,30,0,0,6,0,2,0.0316,0.0697,0,0,2,0,8,1,244,261,252,1,0,0,1,0,0,0
47,11,16,33,33,0,0,6,0,0,0.0276,0.0711,3,0,0,3,4,0,178,188,182,0,0,0,0,0,0,0
47,11,17,29,21,0,0,7,3,0,0.0303,0.0711,0,0,3,0,9,1,163,156,172,0,0,1,1,0,1,0
47,11,18,21,22,0,0,7,0,1,0.0316,0.0711,0,0,1,0,3,1,135,146,138,1,0,0,0,0,0,0
47,11,19,14,14,1,13,8,0,0,0.0321,0.0562,0,0,0,0,3,0,89,96,92,0,0,0,0,0,0,0
47,11,20,0,0,0,0,0,0,0,0.0321,0.0562,0,0,0,0,3,0,83,83,86,0,0,0,0,0,0,0
47,11,21,0,0,0,0,0,0,0,0.0321,0.0562,0,0,0,0,0,5,74,83,74,0,0,0,0,0,0,0
47,11,22,0,0,0,0,0,0,0,0.0321,0.0562,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
47,11,23,0,0,0,0,0,0,0,0.0321,0.0562,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
47,12,0,0,0,0,0,0,0,0,0.0321,0.0562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,12,1,0,0,0,0,0,0,0,0.0321,0.0562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,12,2,0,0,0,0,0,0,0,0.0321,0.0562,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,12,3,0,0,0,0,0,0,0,0.0321,0.0562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,12,4,0,0,0,0,0,0,0,0.0321,0.0562,0,0,0,0,0,1,20,14,20,0,0,0,0,0,0,0
47,12,5,0,0,0,0,0,0,0,0.0321,0.0562,0,0,0,0,0,0,18,20,18,0,0,0,0,0,0,0
47,12,6,20,13,1,0,4,1,0,0.0319,0.0558,1,6,1,7,1,0,43,36,44,0,0,0,0,0,0,1
47,12,7,16,28,0,0,5,1,0,0.0332,0.0558,0,0,1,0,1,0,55,50,56,0,1,0,0,0,0,0
47,12,8,30,35,0,0,5,1,0,0.0345,0.0558,0,0,1,0,0,0,100,94,100,1,0,0,0,0,0,0
47,12,9,26,16,0,0,6,0,1,0.0319,0.0571,2,0,1,2,5,0,151,144,156,1,0,0,0,0,0,0
47,12,10,29,42,0,0,5,0,2,0.0305,0.0598,1,0,2,1,13,2,163,153,176,0,0,2,0,0,0,0
47,12,11,35,29,0,0,6,1,1,0.0305,0.0611,0,0,2,0,12,0,176,170,188,2,0,0,0,0,0,0
47,12,12,15,16,0,0,5,1,2,0.0319,0.0637,1,0,3,1,14,0,198,211,212,1,0,0,1,0,1,0
47,12,13,29,20,0,0,5,0,0,0.0319,0.0637,0,0,0,0,6,0,184,189,190,0,0,0,0,0,0,0
47,12,14,19,23,0,0,5,0,0,0.0319,0.0637,0,0,0,0,3,1,207,201,210,0,0,0,0,0,0,0
47,12,15,24,34,0,0,5,1,0,0.0332,0.0637,0,0,1,0,0,3,182,183,182,0,0,1,0,0,0,0
47,12,16,18,18,0,0,5,0,0,0.0319,0.0637,1,0,0,1,0,6,204,196,204,0,0,0,0,0,0,0
